,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
220,106.2,37.0644502006,340.402775201,37.7551839935,222.935905341,30.7772986359,258,38,6,0.0169801562826,"[1048413, array([ 3.66686756, -1.87729916,  1.79542026]), array([ 0.82104266, -0.42240725,  0.38400659])]"
33,96.16,48.0188973082,194.221436628,7.18583507218,290.530963546,41.077939616,78,8,154,0.017008977134,"[316787, array([ 4.18649064, -2.20091399,  1.88489177]), array([ 0.82104266, -0.42240725,  0.38400659])]"
154,97.57,48.6636631733,194.420067987,5.98533083701,289.595438379,40.7072900429,194,86,84,0.0171580409134,"[793572, array([ 4.21117425, -2.07504555,  1.91878467]), array([ 0.82104266, -0.42240725,  0.38400659])]"
270,104.19,46.5578737013,3.7927098549,9.70004098525,264.998567224,41.8097395515,288,10,14,0.0171662532422,"[1167397, array([ 4.06313095, -1.99595277,  1.87696206]), array([ 0.82104266, -0.42240725,  0.38400659])]"
207,101.6,33.2696763803,-37.3398144992,48.97353863,206.292488069,21.1283605977,248,50,10,0.0173348085355,"[1008995, array([ 3.57465925, -1.89654757,  1.74430831]), array([ 0.82104266, -0.42240725,  0.38400659])]"
190,90.39,34.9373830208,265.165941324,54.9503551702,358.675856151,2.45915300527,230,68,28,0.0173838912577,"[937724, array([ 3.82535175, -1.92882764,  1.86108509]), array([ 0.82104266, -0.42240725,  0.38400659])]"
62,90.54,47.2944924214,207.578890277,22.7573670772,313.923221692,33.8554088397,98,24,162,0.0174412369842,"[399231, array([ 4.24940523, -2.08591287,  1.97586683]), array([ 0.82104266, -0.42240725,  0.38400659])]"
292,101.64,46.8903295463,7.93945398062,3.46339714439,274.715432965,42.900062403,308,4,30,0.0175140620939,"[1247865, array([ 4.0611335 , -2.18773804,  1.91714115]), array([ 0.82104266, -0.42240725,  0.38400659])]"
186,87.56,37.8642494423,247.041282036,50.3019132154,349.536042356,10.1820674032,224,72,36,0.0175435044542,"[913788, array([ 3.99289934, -1.9592773 ,  1.8532026 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
254,106.04,44.7475058737,1.81771973201,13.9217561486,258.953449213,41.9299524188,278,14,6,0.0176426762173,"[1127253, array([ 3.92860146, -2.08058572,  1.92145785]), array([ 0.82104266, -0.42240725,  0.38400659])]"
