,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
224,73.19,29.3903486562,252.248900936,60.6063049856,342.967768412,0.404939423202,212,70,22,0.024196785909,"[865001, array([ 3.82708469, -1.93452905,  1.90177023]), array([ 0.82104266, -0.42240725,  0.38400659])]"
124,82.71,43.4986076023,173.982639346,1.33811109518,265.391639729,46.470105169,132,2,-132,0.0242094442623,"[534804, array([ 4.17683247, -2.03283246,  2.00284902]), array([ 0.82104266, -0.42240725,  0.38400659])]"
112,81.04,42.4554418384,173.932185541,3.15107141932,267.360947946,47.3707953875,122,4,-142,0.0242748998555,"[494479, array([ 4.12767419, -2.26049943,  1.981787  ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
136,80.92,43.3314173981,171.98381615,1.11822968946,263.168479028,46.6467245368,138,2,-124,0.0242888173922,"[559108, array([ 4.22604558, -2.08282573,  1.85913761]), array([ 0.82104266, -0.42240725,  0.38400659])]"
348,83.85,42.8652873386,350.139824947,3.99755934526,255.863670334,46.8555751683,350,88,-94,0.0243809763369,"[1425463, array([ 4.16017507, -2.00328807,  1.91662394]), array([ 0.82104266, -0.42240725,  0.38400659])]"
15,74.39,43.1025451437,186.467359675,21.8732439152,295.366611555,38.8975496568,90,22,174,0.0244162180822,"[366657, array([ 4.28659855, -2.0829    ,  2.05167477]), array([ 0.82104266, -0.42240725,  0.38400659])]"
330,86.19,40.2309183042,342.394374663,15.7505569216,235.700446847,45.5252746791,242,16,-10,0.0244781843822,"[981625, array([ 4.0516582 , -1.96674404,  1.81173574]), array([ 0.82104266, -0.42240725,  0.38400659])]"
156,83.47,43.0749384987,173.990751675,0.55117126736,264.580181764,46.9197475733,158,2,-106,0.0244944494869,"[640117, array([ 4.12702699, -2.07957058,  2.04924774]), array([ 0.82104266, -0.42240725,  0.38400659])]"
352,80.06,42.9662839224,171.930172678,1.99878115941,264.072261075,46.9638462448,352,88,-88,0.0245706916211,"[1433566, array([ 4.2148159 , -2.1711031 ,  1.83654165]), array([ 0.82104266, -0.42240725,  0.38400659])]"
97,70.5,30.5667899456,241.823922977,59.1432069853,338.245158911,3.82274824792,110,66,160,0.0245982790347,"[451610, array([ 3.9481339 , -1.99132903,  1.7185828 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
19,80.2,43.896715002,177.960819194,7.98038523789,276.019376564,44.998641734,92,8,-176,0.0246017346378,"[373322, array([ 4.21953198, -2.06520266,  2.04439015]), array([ 0.82104266, -0.42240725,  0.38400659])]"
289,86.7,35.1287731551,332.919798291,29.8189506069,213.621506309,40.4910174989,236,30,-6,0.0247365623107,"[958587, array([ 3.8366603 , -2.04475661,  1.70310962]), array([ 0.82104266, -0.42240725,  0.38400659])]"
262,82.92,30.6506827619,-47.9659816,47.8452241989,189.629590913,25.8802043608,228,48,4,0.0248306588814,"[927812, array([ 3.77159112, -1.82854281,  1.68653593]), array([ 0.82104266, -0.42240725,  0.38400659])]"
93,69.9,30.26880473,229.415888085,58.075289123,334.482851948,9.19967490345,108,62,164,0.0248361932621,"[443152, array([ 3.87393537, -2.11597477,  1.88677999]), array([ 0.82104266, -0.42240725,  0.38400659])]"
217,71.07,29.5295476325,237.472542615,59.7660156447,337.713256082,5.91553612456,208,74,26,0.0248454721703,"[849163, array([ 3.83158298, -2.06539394,  1.9000251 ]), array([ 0.82104266, -0.42240725,  0.38400659])]"
314,84.61,41.002235022,344.300071823,11.638483739,241.695629787,46.6539350153,240,12,-14,0.0249207412336,"[973163, array([ 4.09959209, -2.05540128,  1.78487245]), array([ 0.82104266, -0.42240725,  0.38400659])]"
333,87.52,39.1095196926,340.506132857,19.7971809441,229.958364574,44.2764700979,242,20,-8,0.0249812172538,"[981986, array([ 3.98332966, -1.91490812,  1.84191894]), array([ 0.82104266, -0.42240725,  0.38400659])]"
158,83.53,43.0574541556,173.991806715,0.483751286381,264.50946985,46.9384522163,160,2,-104,0.025077105645,"[648218, array([ 4.12426564, -2.08025944,  2.05232838]), array([ 0.82104266, -0.42240725,  0.38400659])]"
122,82.66,43.5450260097,173.982553983,1.38917071788,265.442855296,46.4212568312,130,2,-134,0.0251183796542,"[526703, array([ 4.18154879, -2.02647563,  1.99891138]), array([ 0.82104266, -0.42240725,  0.38400659])]"
50,68.36,39.0431502951,193.854960904,35.59591284,309.270305879,30.94515344,94,36,172,0.0251926677151,"[384116, array([ 4.24045849, -2.22260245,  1.85666901]), array([ 0.82104266, -0.42240725,  0.38400659])]"
77,67.99,33.4485810515,211.047186959,50.4249577212,325.121216954,18.6319882657,102,52,168,0.0252388191284,"[417954, array([ 4.01881384, -2.20838809,  1.90169636]), array([ 0.82104266, -0.42240725,  0.38400659])]"
