,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
675,187.39,4.33440906403,82.1537924221,73.915238424,278.594601934,15.4591725916,322,76,-8,0.010235036685,"[1311026, array([ 1.03683563, -0.28298343, -0.31455391]), array([ 0.92322091, -0.26257841, -0.28056324])]"
127,351.59,26.1881338219,87.9657253477,12.7200889444,201.427920238,60.4488754799,54,22,-126,0.0103389528272,"[220707, array([ 1.82745679, -0.51117726, -0.53525179]), array([ 0.92322091, -0.26257841, -0.28056324])]"
672,185.69,4.40889580887,82.6073075861,71.2015487444,277.154435857,18.236272326,320,74,-10,0.0104128608111,"[1302745, array([ 1.00873664, -0.28318661, -0.29504767]), array([ 0.92322091, -0.26257841, -0.28056324])]"
146,192.28,4.1957042584,79.5841785943,79.2372329772,283.018704839,9.89330414976,58,86,-170,0.0105237344653,"[242645, array([ 1.12436722, -0.30913377, -0.33291455]), array([ 0.92322091, -0.26257841, -0.28056324])]"
474,24.22,14.2544767327,271.530355322,56.6329542782,122.472198801,29.4592638225,256,80,-148,0.0105727311194,"[1044016, array([ 1.97483278, -0.55404279, -0.57734383]), array([ 0.92322091, -0.26257841, -0.28056324])]"
408,25.21,8.68720048011,275.206323142,65.9370243465,118.79999716,22.2552691306,160,68,-10,0.0105816348639,"[654205, array([ 1.73144286, -0.51308151, -0.52954315]), array([ 0.92322091, -0.26257841, -0.28056324])]"
36,346.12,18.2865517253,87.4376783287,30.6909099643,229.920236429,53.1918250002,38,38,-146,0.0105886543749,"[157337, array([ 1.44559629, -0.41528942, -0.42291308]), array([ 0.92322091, -0.26257841, -0.28056324])]"
441,23.9,4.14596527506,276.186471756,76.6032954287,114.842633221,12.7162682789,250,84,-168,0.0107013093136,"[1020066, array([ 1.60509563, -0.44758288, -0.46996601]), array([ 0.92322091, -0.26257841, -0.28056324])]"
236,3.36,28.4313085953,269.115241355,7.78545936846,165.228883665,60.3301615283,114,18,-64,0.0107603423197,"[463378, array([ 2.05856467, -0.60891476, -0.61873713]), array([ 0.92322091, -0.26257841, -0.28056324])]"
476,22.66,16.6500163853,269.44188242,52.8186057424,123.495241133,32.1474828901,256,80,-144,0.0108451442651,"[1044018, array([ 2.04222593, -0.55860368, -0.60776245]), array([ 0.92322091, -0.26257841, -0.28056324])]"
98,176.99,1.9148584987,83.4103461829,61.8607804236,268.015579464,28.0622376328,46,72,-158,0.0109200758939,"[192791, array([ 0.93139611, -0.27354508, -0.27619874]), array([ 0.92322091, -0.26257841, -0.28056324])]"
358,21.12,1.42438908007,279.781488848,82.792958188,111.298303734,7.06341688454,156,84,-4,0.0109578076818,"[639448, array([ 1.43893233, -0.3989688 , -0.45098416]), array([ 0.92322091, -0.26257841, -0.28056324])]"
522,9.41,27.7153169081,267.582516626,21.3140185667,145.336000879,53.8240304733,262,76,-112,0.0109651381884,"[1067974, array([ 2.11594376, -0.60641932, -0.66926808]), array([ 0.92322091, -0.26257841, -0.28056324])]"
631,346.74,9.00590510215,85.9421641087,45.2564023725,248.139014743,43.3387172307,290,68,-40,0.0109865635997,"[1180690, array([ 1.12061361, -0.32937836, -0.33250626]), array([ 0.92322091, -0.26257841, -0.28056324])]"
212,358.67,29.3799684574,266.522175222,3.82347508747,169.787180616,60.3229838075,100,16,-76,0.0110375980223,"[406492, array([ 1.99519738, -0.56231632, -0.63029543]), array([ 0.92322091, -0.26257841, -0.28056324])]"
24,345.58,11.5497287348,86.402684446,42.5611812129,243.736415219,45.1390361289,36,50,-152,0.0110413242395,"[150314, array([ 1.20838188, -0.33177361, -0.35720156]), array([ 0.92322091, -0.26257841, -0.28056324])]"
518,14.96,25.0315808001,269.951271751,29.0221604523,138.68645391,49.9289685768,262,76,-120,0.0110578373924,"[1067970, array([ 2.12353678, -0.63030615, -0.6507163 ]), array([ 0.92322091, -0.26257841, -0.28056324])]"
