,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
73,23.92,53.6099859441,276.881808642,12.1897809325,178.607442558,33.6716092952,228,16,40,0.0157121954477,"[924950, array([ 4.66026553, -1.25320358, -1.37169879]), array([ 0.92322091, -0.26257841, -0.28056324])]"
57,29.78,49.0305419234,247.235586892,34.5794009043,143.374011312,19.1650941529,192,40,28,0.01581240755,"[781304, array([ 4.59288236, -1.35513356, -1.46607374]), array([ 0.92322091, -0.26257841, -0.28056324])]"
62,28.42,52.1060674159,260.309932474,25.6589062733,156.867573148,25.8232078224,204,30,30,0.0159275270818,"[829005, array([ 4.67252498, -1.24804594, -1.3934047 ]), array([ 0.92322091, -0.26257841, -0.28056324])]"
35,25.6,52.8406512578,267.672466241,19.5449439127,165.751347462,30.1938481569,92,78,110,0.0161501937253,"[379765, array([ 4.64032971, -1.29325356, -1.4886157 ]), array([ 0.92322091, -0.26257841, -0.28056324])]"
60,28.89,50.5204366236,255.325614484,29.5865688585,150.953044322,23.6147399944,198,34,28,0.0161624478489,"[805064, array([ 4.61632491, -1.35169654, -1.48131252]), array([ 0.92322091, -0.26257841, -0.28056324])]"
94,19.3,52.9771832644,110.038803194,0.556249043429,200.458245704,37.0172001319,294,8,94,0.0162035797057,"[1191557, array([ 4.60589272, -1.24006124, -1.34839018]), array([ 0.92322091, -0.26257841, -0.28056324])]"
13,17.65,46.1748187491,147.702791938,31.6998514368,255.886569542,26.8065908969,34,34,160,0.0164401699037,"[140930, array([ 4.43925817, -1.19333908, -1.30019762]), array([ 0.92322091, -0.26257841, -0.28056324])]"
1,15.25,50.4633040329,122.948605633,14.0857235282,223.464302981,36.0302491278,4,16,152,0.0166536237658,"[17806, array([ 4.50128423, -1.20151894, -1.39152865]), array([ 0.92322091, -0.26257841, -0.28056324])]"
101,19.26,52.6385656846,112.147850108,2.19848033979,203.822126767,37.2739932041,308,8,106,0.0166868292919,"[1248263, array([ 4.59919544, -1.26601419, -1.31930834]), array([ 0.92322091, -0.26257841, -0.28056324])]"
28,29.48,48.6643189079,239.987104506,37.1585541441,137.857643144,15.495544768,76,70,130,0.0167035969079,"[314255, array([ 4.59670795, -1.27196138, -1.4733766 ]), array([ 0.92322091, -0.26257841, -0.28056324])]"
70,24.95,52.6256681855,274.654963096,14.8439140109,174.595013603,33.3883090883,220,18,34,0.0167726148031,"[892727, array([ 4.62092954, -1.4011254 , -1.42393945]), array([ 0.92322091, -0.26257841, -0.28056324])]"
48,18.68,44.1588283203,159.474924446,38.5863997713,267.084043104,20.7640621612,148,76,50,0.0167962503314,"[606355, array([ 4.37382415, -1.20675605, -1.40045532]), array([ 0.92322091, -0.26257841, -0.28056324])]"
100,17.26,52.6385656846,110.147850108,2.19848033979,201.822126767,37.2739932041,306,8,106,0.017239675996,"[1240163, array([ 4.55813578, -1.2442833 , -1.45282346]), array([ 0.92322091, -0.26257841, -0.28056324])]"
45,15.12,46.6996479881,135.883238113,25.7283540558,243.456438837,32.0695336394,132,82,64,0.0173156294201,"[542102, array([ 4.38064359, -1.31819649, -1.38381554]), array([ 0.92322091, -0.26257841, -0.28056324])]"
80,21.33,52.7215795546,283.5838989,5.85825825915,189.204563224,36.6572547845,248,10,54,0.0175435315386,"[1005417, array([ 4.58781783, -1.39446653, -1.41832407]), array([ 0.92322091, -0.26257841, -0.28056324])]"
111,17.14,51.1257525134,116.436495486,7.41445304289,212.249649766,37.8940434581,344,10,138,0.0176488737439,"[1394259, array([ 4.51431236, -1.37413575, -1.38078723]), array([ 0.92322091, -0.26257841, -0.28056324])]"
6,16.31,49.011946523,131.545469024,20.3240428984,235.90549571,33.8064821862,18,22,158,0.017717671964,"[75049, array([ 4.49369618, -1.21714841, -1.29571634]), array([ 0.92322091, -0.26257841, -0.28056324])]"
20,24.52,44.1813410055,184.815179498,44.0887833944,284.655576273,10.0056454788,54,52,152,0.0177624466929,"[223546, array([ 4.46476137, -1.22514985, -1.27649276]), array([ 0.92322091, -0.26257841, -0.28056324])]"
42,16.3,49.1484415729,130.899831497,19.7971809441,234.96640517,34.0271905551,128,82,70,0.0178112320972,"[525905, array([ 4.49677525, -1.2166864 , -1.29709239]), array([ 0.92322091, -0.26257841, -0.28056324])]"
93,19.65,52.9942929478,110.019448285,0.278290773503,200.229190297,37.0043009782,292,8,92,0.0178375956155,"[1183456, array([ 4.61167872, -1.24571718, -1.33193822]), array([ 0.92322091, -0.26257841, -0.28056324])]"
34,29.81,50.9737292634,260.670170657,27.0987992546,156.369366415,25.7679939621,88,76,118,0.0179359026244,"[363389, array([ 4.64710498, -1.37371808, -1.33824334]), array([ 0.92322091, -0.26257841, -0.28056324])]"
