,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
217,18.66,43.5450260097,109.982553983,1.38917071788,201.442855296,46.4212568312,66,2,-134,0.0265658526959,"[267503, array([ 4.48645724, -1.57994738, -1.60724144]), array([ 0.88304528, -0.31909995, -0.34410209])]"
538,25.55,42.7408585026,269.112852748,25.7283540558,158.360273696,36.3277293808,188,26,8,0.0265947320372,"[763834, array([ 4.50350994, -1.71937319, -1.88033275]), array([ 0.88304528, -0.31909995, -0.34410209])]"
600,26.14,44.1002944577,271.075457826,23.6130288381,162.140128448,36.5862281216,192,24,10,0.0266303992725,"[779855, array([ 4.60155369, -1.54759568, -1.68972301]), array([ 0.88304528, -0.31909995, -0.34410209])]"
237,18.87,43.370346232,109.983399124,1.17541423184,201.226876127,46.6055052201,74,2,-126,0.026658079482,"[299907, array([ 4.48080867, -1.61946148, -1.60338885]), array([ 0.88304528, -0.31909995, -0.34410209])]"
421,19.61,43.8582385407,288.016187545,1.6579698209,196.29293666,46.0937615856,164,2,-34,0.0267103954644,"[664453, array([ 4.50648206, -1.59677479, -1.61216348]), array([ 0.88304528, -0.31909995, -0.34410209])]"
378,17.99,31.4208028414,150.429993516,47.8452241989,271.437966478,25.0032046141,146,86,42,0.0267368502011,"[599151, array([ 4.06519972, -1.6000939 , -1.61941058]), array([ 0.88304528, -0.31909995, -0.34410209])]"
553,21.79,43.896715002,284.039180806,7.98038523789,185.980623436,44.998641734,190,8,-4,0.0267726056499,"[770308, array([ 4.5255546 , -1.68376575, -1.6325327 ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
96,13.84,37.095269334,125.330171462,25.8470136981,241.101929229,41.9086253742,42,26,-174,0.0269863929446,"[172443, array([ 4.18218559, -1.64837878, -1.63948722]), array([ 0.88304528, -0.31909995, -0.34410209])]"
633,18.14,42.8652873386,111.860175053,3.99755934526,206.136329666,46.8555751683,292,88,-86,0.0269949561561,"[1190567, array([ 4.45509923, -1.63144821, -1.59645412]), array([ 0.88304528, -0.31909995, -0.34410209])]"
211,18.61,43.5931911269,109.982553612,1.43853858517,201.492111427,46.3706562639,64,2,-136,0.0270215057329,"[259402, array([ 4.48816087, -1.56934433, -1.6078811 ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
442,27.32,34.4611808409,219.284783304,54.9503551702,121.208013823,5.62892463186,170,62,22,0.02708995237,"[694181, array([ 4.32212528, -1.54939236, -1.82466265]), array([ 0.88304528, -0.31909995, -0.34410209])]"
242,18.92,43.3314173981,109.98381615,1.11822968946,201.168479028,46.6467245368,76,2,-124,0.0270908295313,"[308008, array([ 4.47970223, -1.628557  , -1.6021091 ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
484,29.6,37.8975333721,250.255833269,44.2645496064,137.555236787,21.6012020999,180,46,14,0.0270973850173,"[733237, array([ 4.43461239, -1.73214182, -1.81313155]), array([ 0.88304528, -0.31909995, -0.34410209])]"
489,17.91,44.4836709027,286.008197694,1.94056837734,194.035718655,45.4506191466,182,2,-14,0.027372703333,"[737363, array([ 4.48670834, -1.47500258, -1.72756435]), array([ 0.88304528, -0.31909995, -0.34410209])]"
5,14.56,42.8252528645,111.885536464,7.82407349508,210.09814626,46.1111392358,34,8,-168,0.0274529377213,"[138426, array([ 4.37903253, -1.45528347, -1.75858077]), array([ 0.88304528, -0.31909995, -0.34410209])]"
561,23.61,43.3550081224,277.91947059,15.9899919647,172.809325218,42.2922587643,190,16,2,0.0276127958239,"[771031, array([ 4.50309721, -1.77767349, -1.75807981]), array([ 0.88304528, -0.31909995, -0.34410209])]"
429,26.3,32.110290946,206.076591951,57.8895081335,296.238832645,0.101814556717,166,68,24,0.0276180970874,"[678522, array([ 4.21588372, -1.62372021, -1.7565057 ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
249,18.98,43.2944756377,109.984311994,1.05968372362,201.108466786,46.6858933981,78,2,-122,0.0276500285197,"[316109, array([ 4.47872327, -1.63731726, -1.60070572]), array([ 0.88304528, -0.31909995, -0.34410209])]"
543,26.11,43.3048786283,264.20996366,29.2797233241,153.191054398,32.6063774176,188,30,12,0.0276571304332,"[764196, array([ 4.55415723, -1.53889201, -1.8691842 ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
137,16.31,43.9744237597,107.984879632,1.73196284128,199.777540425,45.9732057544,48,2,-150,0.027680665483,"[194595, array([ 4.44087864, -1.46468422, -1.75773757]), array([ 0.88304528, -0.31909995, -0.34410209])]"
204,18.56,43.6430484295,109.98263824,1.48615447677,201.539349257,46.3183698565,62,2,-138,0.0276810316996,"[251301, array([ 4.48997499, -1.55847613, -1.60838891]), array([ 0.88304528, -0.31909995, -0.34410209])]"
353,16.77,43.1673707989,286.012970314,0.813335412897,195.146126533,46.8210608573,130,2,-66,0.027684337232,"[526737, array([ 4.38323487, -1.67733045, -1.83508831]), array([ 0.88304528, -0.31909995, -0.34410209])]"
552,17.93,44.4794705666,282.011007538,5.99633155493,186.003655022,44.8952379164,190,6,-2,0.0277230581934,"[770129, array([ 4.45056756, -1.54482605, -1.86175411]), array([ 0.88304528, -0.31909995, -0.34410209])]"
531,17.88,44.2729468151,282.021961007,5.98533083701,185.981733891,45.1039964594,188,6,-4,0.0278604680185,"[762028, array([ 4.43726713, -1.58068295, -1.87493617]), array([ 0.88304528, -0.31909995, -0.34410209])]"
41,13.38,41.002235022,113.699928177,11.638483739,216.304370213,46.6539350153,38,12,-166,0.0278784818103,"[154987, array([ 4.27059397, -1.61373775, -1.80036542]), array([ 0.88304528, -0.31909995, -0.34410209])]"
289,29.63,41.0653581615,263.967015481,33.7885531674,150.651716684,30.6034963813,88,84,124,0.0279141152328,"[364112, array([ 4.55226033, -1.72169574, -1.65139283]), array([ 0.88304528, -0.31909995, -0.34410209])]"
379,18.84,32.6377948705,150.131581306,45.8556595272,270.515975555,26.1470100802,146,86,44,0.0279946755638,"[599152, array([ 4.1596649 , -1.57726805, -1.51138336]), array([ 0.88304528, -0.31909995, -0.34410209])]"
508,30.3,39.5071965151,258.492107981,38.9573084166,144.649081942,26.5625985142,184,40,12,0.0280024703612,"[748896, array([ 4.50944364, -1.74854832, -1.67668984]), array([ 0.88304528, -0.31909995, -0.34410209])]"
306,23.48,43.5301292724,273.272246491,19.9872968445,165.667113029,39.7456464548,94,88,110,0.0280191194268,"[388765, array([ 4.49197498, -1.70688813, -1.89013198]), array([ 0.88304528, -0.31909995, -0.34410209])]"
426,19.64,43.9156691733,288.015692197,1.69599943625,196.25654969,46.0341082602,166,2,-32,0.0280315459338,"[672554, array([ 4.51058309, -1.58733413, -1.60794601]), array([ 0.88304528, -0.31909995, -0.34410209])]"
371,17.49,33.3560580108,143.799850144,41.9685809159,265.128573294,30.0320902049,142,88,48,0.0280407963955,"[583134, array([ 4.15705042, -1.58822307, -1.51974166]), array([ 0.88304528, -0.31909995, -0.34410209])]"
101,12.67,35.9946563885,127.383694255,29.9194520932,245.781290945,39.5710860129,42,30,-176,0.0280620371164,"[172802, array([ 4.11009366, -1.56010207, -1.73055643]), array([ 0.88304528, -0.31909995, -0.34410209])]"
293,25.12,43.1036658534,268.051405647,25.9319470342,157.53705959,35.779676047,90,86,116,0.0280899908195,"[372388, array([ 4.50947907, -1.65903825, -1.91276723]), array([ 0.88304528, -0.31909995, -0.34410209])]"
15,16.56,42.8252528645,113.885536464,7.82407349508,212.09814626,46.1111392358,36,8,-168,0.0281926956429,"[146526, array([ 4.44140744, -1.49434764, -1.61755997]), array([ 0.88304528, -0.31909995, -0.34410209])]"
632,14.22,42.6974619793,109.789835158,5.99633155493,206.184174168,46.675752611,290,88,-84,0.0282631509116,"[1182468, array([ 4.34118703, -1.53628409, -1.83320671]), array([ 0.88304528, -0.31909995, -0.34410209])]"
255,19.04,43.2595622835,109.984884238,0.999847679693,201.046917639,46.7229595892,80,2,-120,0.0283153499059,"[324210, array([ 4.47787413, -1.64573196, -1.59918037]), array([ 0.88304528, -0.31909995, -0.34410209])]"
145,17.42,34.9863240576,143.215674299,39.8829873456,262.912123442,30.6618011323,48,40,176,0.0284249518705,"[198178, array([ 4.24194835, -1.44300586, -1.53027688]), array([ 0.88304528, -0.31909995, -0.34410209])]"
92,15.31,41.1795390247,113.740618131,9.50590370253,214.176606615,47.2487549227,42,10,-162,0.0284689721451,"[171009, array([ 4.32085555, -1.71114355, -1.70827425]), array([ 0.88304528, -0.31909995, -0.34410209])]"
198,17.13,42.3516220038,109.931177021,3.06314827421,203.277244803,47.4841130093,60,4,-140,0.0284857550081,"[243380, array([ 4.38396195, -1.73567454, -1.71517563]), array([ 0.88304528, -0.31909995, -0.34410209])]"
239,28.87,37.8342425171,234.56717222,49.2429407033,129.132678214,12.9187497235,74,74,142,0.0284897082775,"[306521, array([ 4.47869112, -1.46986633, -1.7607942 ]), array([ 0.88304528, -0.31909995, -0.34410209])]"
387,19.62,33.2646038555,159.417349291,49.3399955401,275.354933765,20.5904659018,150,82,40,0.0284971678813,"[614990, array([ 4.2072034 , -1.38169127, -1.65834567]), array([ 0.88304528, -0.31909995, -0.34410209])]"
619,20.01,44.998641734,281.960819194,7.98038523789,184.208325681,43.896715002,196,8,4,0.0285105806767,"[794612, array([ 4.53191917, -1.48473743, -1.73080507]), array([ 0.88304528, -0.31909995, -0.34410209])]"
261,28.93,38.587590674,250.480633916,43.1652570493,137.954406601,22.218190045,80,80,134,0.028521412203,"[331357, array([ 4.44472125, -1.68441305, -1.87570149]), array([ 0.88304528, -0.31909995, -0.34410209])]"
196,18.51,43.6945413492,109.982807462,1.53196029964,201.58451341,46.2644660055,60,2,-140,0.0285420005053,"[243200, array([ 4.49189632, -1.54735572, -1.60876379]), array([ 0.88304528, -0.31909995, -0.34410209])]"
81,13.4,37.7888131057,127.73511988,27.9814433215,243.697848169,39.4885269141,40,28,-178,0.0285892803132,"[164521, array([ 4.22710664, -1.39574665, -1.69075451]), array([ 0.88304528, -0.31909995, -0.34410209])]"
