,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
104,45.7169808695,39.9696078895,310.266851715,6.46483564242,212.698256264,49.2942909627,184,8,-36,0.0179525198973,"[745992,,array([,4.5568762,,,-2.30947345,,,0.43091057]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
95,45.72809159,40.5464852886,312.157255842,4.16400117278,217.327846033,49.1479882767,176,6,-46,0.0122248828509,"[713407,,array([,4.58618753,,-2.23314,,,,,,0.49020343]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
160,45.7399347195,40.8696808827,312.279477877,3.99024039816,217.701136124,48.8501621439,312,86,-94,0.0163739676585,"[1271383,,array([,4.60681843,,-2.17474421,,,0.4943757,]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
98,45.8739344242,40.684179369,312.157285992,4.31222459066,217.183028044,48.9884498512,178,6,-44,0.014268198187,"[721508,,array([,4.59465594,,-2.20431556,,,0.4985825,]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
106,45.889462461,40.1802942362,310.260237097,6.62552775844,212.568312543,49.0477064808,186,8,-34,0.00955491882329,"[754093,,array([,4.57074034,,-2.266085,,,,,0.44219906]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
114,45.9612177284,39.9813039918,308.347219772,8.97908703203,208.019912373,48.6069144091,192,10,-26,0.011467874097,"[778577,,array([,4.56811557,,-2.26306939,,,0.39066683]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
123,45.996619815,39.8942357797,306.410311754,11.2665188018,203.675033158,47.8966939372,196,12,-20,0.0171597642363,"[794960,,array([,4.57406042,,-2.2346372,,,,0.34122256]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
101,46.016532607,40.826894942,312.156549656,4.4552121786,217.046038596,48.8239764124,180,6,-42,0.0182652258077,"[729609,,array([,4.60333309,,-2.17451481,,,0.50679244]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
108,46.0573237667,40.3966807605,310.252347723,6.77816127476,212.450260302,48.7965069546,188,8,-32,0.00498630343057,"[762194,,array([,4.58469122,,-2.22159078,,,0.45327873]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
112,46.0807727274,31.1506910543,259.18754549,54.186024465,145.978361789,15.8742819765,190,56,12,0.0199061627634,"[774636,,array([,4.32210598,,-2.00542086,,,0.34726528]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
117,46.1512613164,40.2723716343,308.327585723,9.12770486605,207.949016483,48.2714438489,194,10,-24,0.00531400305621,"[786678,,array([,4.58708311,,-2.20383527,,,0.40541377]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
128,46.2104752549,40.2575413079,306.375382767,11.4045840672,203.665668169,47.4837053023,198,12,-18,0.0173405825022,"[803061,,array([,4.59754412,,-2.16130321,,,0.36058225]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
110,46.2203447535,40.6185606524,310.243221079,6.92254366238,212.344048572,48.5410604358,190,8,-30,0.0115914561601,"[770295,,array([,4.59869544,,-2.17603997,,,0.46412645]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
121,46.3350505479,40.5692868207,308.306331158,9.26516438158,207.892841432,47.9329577019,196,10,-22,0.0154994322553,"[794779,,array([,4.60586472,,-2.1434834,,,,0.41985202]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
113,46.3783009497,40.845720357,310.23290083,7.05849236046,212.249602036,48.2817348352,192,8,-28,0.0207512525827,"[778396,,array([,4.61272022,,-2.12948342,,,0.47471827]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
111,46.6206917134,29.8152425214,262.49868263,54.7302565238,146.758465384,17.0744088477,190,56,10,0.0178597971606,"[774635,,array([,4.23226003,,-2.12492541,,,0.34592966]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
154,46.7950583401,39.4278541888,304.99640162,13.9652040128,199.416942899,47.202258958,304,86,-104,0.0162023778933,"[1238978,,array([,4.55311655,,-2.2449679,,,,0.35154215]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
156,47.0384264709,39.8399091875,306.849473518,11.9703351884,203.389349162,47.6714154556,306,86,-102,0.00152016065087,"[1247079,,array([,4.56704408,,-2.21155492,,,0.41824955]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
157,47.2498212255,40.1913715324,308.704699595,9.97539103803,207.411002991,48.0726958269,308,86,-100,0.012341825305,"[1255180,,array([,4.57717954,,-2.18568686,,,0.48219492]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
115,47.3453869839,30.8563056861,269.141077381,51.2918889303,150.578666083,20.9645387827,192,52,8,0.019309517628,"[782374,,array([,4.27475269,,-2.11887932,,,0.31877973]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
134,47.3874958662,38.8341450637,302.598292637,17.5936489988,193.509519119,45.8837487955,200,18,-12,0.0202246219102,"[811704,,array([,4.53311785,,-2.24310184,,,0.3310455,]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
57,47.5592026851,31.7317039926,-89.1008794387,49.6273829307,152.188855974,22.2170808104,98,84,140,0.0164744590307,"[404620,,array([,4.3205353,,,-2.07202759,,,0.32510879]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
133,47.6430776563,39.2394602778,304.540710611,15.5125682076,197.457385019,46.6243376692,200,16,-14,0.0066662712565,"[811523,,array([,4.54452732,,-2.22200334,,,0.39637479]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
129,47.6675662832,39.2896308046,306.513980631,13.3018638711,201.484806633,47.6432865399,198,14,-18,0.0133476967699,"[803241,,array([,4.53285878,,-2.26897801,,,0.44143329]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
116,47.6728642967,30.995072648,265.301524408,52.8186057424,149.226858813,18.4386783575,192,54,10,0.0154341422739,"[782555,,array([,4.29213858,,-2.02747476,,,0.45584033]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
56,47.6861071899,30.6633187449,265.156048026,53.2394565423,148.960723376,18.2504847594,96,82,144,0.0130617294295,"[396342,,array([,4.2724863,,,-2.05010159,,,0.45773063]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
141,47.7099315538,39.3869870012,302.503440664,17.7173984234,193.688615451,45.2708914993,202,18,-10,0.0178551071448,"[819805,,array([,4.56894001,,-2.13290254,,,0.36883945]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
122,47.7756172131,39.5373970971,308.443190633,11.1146205259,205.701345583,48.3077259159,196,12,-22,0.0197408040154,"[794959,,array([,4.53483172,,-2.27289497,,,0.49957478]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
132,47.9190732219,39.7136344379,306.46365904,13.4472623619,201.521224169,47.1599274617,200,14,-16,0.00923390853102,"[811342,,array([,4.5605259,,,-2.1831223,,,,0.46529596]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
139,47.9252086847,39.7315675068,304.468747879,15.6412999873,197.569985717,46.0741089452,202,16,-12,0.0166077482874,"[819624,,array([,4.57596241,,-2.12312857,,,0.42653938]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
127,47.996619815,39.8942357797,308.410311754,11.2665188018,205.675033158,47.8966939372,198,12,-20,0.0182651399913,"[803060,,array([,4.55805656,,-2.200097,,,,,0.51788747]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
118,48.0944568421,31.8754616632,-84.9268413933,47.6525772307,154.731709591,24.7221892504,194,48,6,0.0187596883787,"[790113,,array([,4.31117064,,-2.11932126,,,0.31712256]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
152,48.1962063369,38.4283198204,303.298400991,17.9546569002,193.642069834,46.0698072821,302,86,-108,0.0195845213751,"[1230876,,array([,4.50212654,,-2.28523032,,,0.39224769]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
58,48.270289765,30.4553240544,-89.620368551,51.6000452835,151.343544139,21.041299315,98,84,142,0.0139807059085,"[404621,,array([,4.24276724,,-2.12303254,,,0.42472292]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
120,48.3422523595,31.9991104552,-88.3332214367,49.3399955401,153.175913943,22.2799802005,194,50,8,0.0152776809939,"[790294,,array([,4.33074469,,-2.02186164,,,0.42803716]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
153,48.515553344,38.9567542695,305.145897256,15.9599830538,197.499559098,46.6675472635,304,86,-106,0.011932624905,"[1238977,,array([,4.52134385,,-2.24108286,,,0.4630677,]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
145,48.7935272261,38.0181559323,298.56307518,23.8603307148,184.62198997,42.5347486553,202,24,-6,0.0123372950538,"[820347,,array([,4.51662873,,-2.14779666,,,0.36932549]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
155,48.7950583401,39.4278541888,306.99640162,13.9652040128,201.416942899,47.202258958,306,86,-104,0.0209658006892,"[1247078,,array([,4.53666536,,-2.20386702,,,0.52995552]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
124,48.8646234336,32.8822468149,280.447739266,43.8653717835,159.252929007,28.319369352,196,44,4,0.0139121970912,"[797852,,array([,4.34315448,,-2.12154275,,,0.34008374]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
143,48.9576728211,38.2251191505,300.619177982,21.7748936299,188.072690409,43.8269919409,202,22,-8,0.0027191550314,"[820166,,array([,4.51258012,,-2.1789793,,,,0.40842305]),,array([,0.89682653,,-0.43440035,,,0.0836571,])]"
