Index,,,,,,,Strike,Dip,Rake,Misfit,Extra
59,173,67,266,1,357,23,90,22,94,0.020369142
52,173,75,80,1,349,15,78,30,88,0.025237583
61,174,65,268,2,359,25,94,20,96,0.014963535
58,174,67,266,1,356,23,88,22,92,0.022785397
65,175,63,270,3,2,27,100,18,100,0.01901053
60,175,65,268,1,359,25,92,20,94,0.015002389
284,175,65,269,2,360,25,268,70,88,0.014988932
54,175,73,82,1,351,17,80,28,88,0.020132194
280,175,75,79,2,349,15,260,60,92,0.02438458
75,176,58,275,5,8,32,116,14,112,0.0237054
68,176,60,273,4,5,29,106,16,104,0.016464357
63,176,63,270,2,2,27,98,18,98,0.009357741
56,176,71,84,1,353,19,82,26,88,0.019369668
48,176,77,77,2,347,13,74,32,86,0.02312649
73,177,58,275,5,7,32,114,14,110,0.018485169
67,177,61,272,3,4,29,104,16,102,0.009591446
62,177,63,270,2,1,27,96,18,96,0.014479582
285,177,63,271,2,2,27,270,72,88,0.000827549
282,177,73,81,2,351,17,262,62,92,0.014113933
50,177,75,79,2,349,15,76,30,86,0.010819312
71,178,58,274,4,7,31,110,14,106,0.019206633
72,178,58,275,4,7,32,112,14,108,0.016472077
64,178,61,272,2,4,29,100,16,98,0.024139689
57,178,69,86,1,356,21,84,24,88,0.021915672
283,178,71,83,2,353,19,264,64,92,0.015042957
51,178,73,82,2,351,17,78,28,86,0.001052892
83,179,54,279,7,13,35,132,12,124,0.025089346
287,179,59,275,4,7,31,274,76,86,0.014463287
286,179,61,273,2,4,29,272,74,88,0.020264546
53,179,71,84,2,353,19,80,26,86,0.011904306
80,180,55,279,6,12,34,126,12,118,0.010538457
81,180,55,279,6,13,34,128,12,120,0.015471685
82,180,55,279,6,13,35,130,12,122,0.020361506
55,180,69,86,2,355,21,82,24,86,0.022331828
49,180,73,81,3,350,17,76,28,84,0.021642966
47,180,75,79,3,348,15,74,30,84,0.021872232
79,181,55,278,5,12,34,124,12,116,0.00616857
289,181,55,279,6,13,35,278,80,84,0.009224529
78,181,56,278,5,12,34,122,12,114,0.005458986
288,181,57,277,4,9,33,276,78,86,0.015810376
70,181,58,276,3,8,31,110,14,104,0.025053002
77,182,56,278,4,11,34,120,12,112,0.009833268
69,182,59,276,3,8,31,108,14,102,0.024869745
279,182,77,78,3,347,13,260,58,94,0.007553585
278,182,79,76,3,345,11,258,56,94,0.012792528
94,183,51,282,7,18,38,148,10,136,0.020830442
74,183,56,278,4,11,33,116,12,108,0.022393698
281,183,75,80,3,349,15,262,60,94,0.018575324
104,184,50,284,8,21,39,160,10,146,0.021080026
88,184,52,282,6,17,37,142,10,130,0.012974548
90,184,52,282,7,18,37,144,10,132,0.014216182
102,185,50,284,8,21,39,158,10,144,0.014794452
291,185,50,285,8,21,38,284,84,82,0.006726699
97,185,51,284,7,20,38,152,10,138,0.002281445
