Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Angle1,Angle2,Angle3,Sum
60,30,-100,-0.143556232079,-1.89170240239,-2.12945471211,1.12568166612,0.075887323449,0.0674145504305,63.3653933247,64.5966097054,0.00845641146257,0.0643539933654,0.0320930208714,0.104903425699
65,20,-100,-0.117913778583,-1.36277657909,-2.27093554349,1.66640341368,0.0865246588411,0.0519229966349,63.3653933247,64.5966097054,0.00881601328478,0.0591040947666,0.0378619762706,0.105782084322
65,25,-100,-0.159259637484,-1.70051828781,-2.05083312284,1.20600474428,0.0936535870418,0.0776560685071,63.3653933247,64.5966097054,0.00335261219773,0.0557157458737,0.0285466103884,0.0876149684598
70,15,-100,-0.14319265905,-1.24723788161,-2.19734557914,1.76176943591,0.114807817467,0.0651661988948,63.3653933247,64.5966097054,0.0139521397995,0.0462747599003,0.0329000699946,0.0931269696944
70,20,-100,-0.179444377034,-1.58047036713,-1.98515023176,1.25605027025,0.113538590009,0.0903933486561,63.3653933247,64.5966097054,0.00144430347606,0.0468153644586,0.0244326921113,0.072692360046
70,25,-100,-0.2134819414,-1.87794567805,-1.70723011533,0.909094514971,0.113678443362,0.125045791708,63.3653933247,64.5966097054,0.0394405586677,0.0467556349466,0.014898123745,0.101094317359
75,10,-100,-0.171455654224,-1.17821853328,-2.16985601697,1.84164138968,0.145521097642,0.0790170651339,63.3653933247,64.5966097054,0.018751056815,0.0341940332132,0.0280913443024,0.0810364343307
75,15,-100,-0.203660938774,-1.51431454841,-1.95762298244,1.29274527838,0.134490511887,0.104034811913,63.3653933247,64.5966097054,0.000576922466722,0.0383120777987,0.0203907126665,0.0592797129319
75,20,-100,-0.23281286642,-1.81770509727,-1.68118042577,0.924891737549,0.128080658832,0.138481785091,63.3653933247,64.5966097054,0.0361057123925,0.0408185204163,0.0118486163537,0.0887728491625
75,20,-90,-0.0992371169545,-1.27181052988,-1.99240012176,1.56658564696,0.0780282240344,0.0498078251807,63.3653933247,64.5966097054,0.00438967644456,0.063278707487,0.038687449275,0.106355833207
75,25,-90,-0.128427546073,-1.56059084714,-1.72562470436,1.10575088116,0.0822941812767,0.0744237989574,63.3653933247,64.5966097054,0.0101681941813,0.0611641552927,0.0296428900443,0.100975239518
80,5,-100,-0.203030562844,-1.12532348208,-2.20198066593,1.95675350332,0.180419733594,0.0922036083174,63.3653933247,64.5966097054,0.0262225830653,0.02277792357,0.0238746715998,0.0728751782351
80,10,-100,-0.232153994078,-1.47532768166,-1.98583063284,1.34602682342,0.157357580261,0.116905233628,63.3653933247,64.5966097054,2.09428590031e-05,0.030048591321,0.0169210582804,0.0469905924604
80,15,-100,-0.257298126635,-1.794407753,-1.70549926614,0.9504524617,0.143388884831,0.150863815508,63.3653933247,64.5966097054,0.0311215396389,0.0349708383131,0.00935539759057,0.0754477755425
80,15,-90,-0.127812696225,-1.21134932171,-1.97861656138,1.63339882717,0.105512665863,0.0645970011168,63.3653933247,64.5966097054,0.00722945327997,0.0503101904085,0.0331060121498,0.0906456558382
80,20,-90,-0.153093923206,-1.50770093202,-1.70930512387,1.13371630114,0.101541307003,0.0895650057256,63.3653933247,64.5966097054,0.00781967446207,0.0520882815855,0.0246902434476,0.0845981994952
85,0,-100,-0.238465952008,-1.053852606,-2.29548694215,2.17818595228,0.226280174904,0.103884691143,63.3653933247,64.5966097054,0.0416115584467,0.0114255664697,0.0204331496254,0.0734702745418
85,5,-100,-0.265518745448,-1.43051597816,-2.07659924524,1.45164351671,0.185610471677,0.127862295075,63.3653933247,64.5966097054,0.000971121344574,0.0212871212641,0.0142290776527,0.0364873202614
85,10,-100,-0.287566116897,-1.77774291182,-1.79172138665,1.00786304631,0.161759113191,0.160497116929,63.3653933247,64.5966097054,0.02163818527,0.0285789317586,0.00762443644809,0.0578415534766
85,10,-90,-0.160137560545,-1.17834211511,-2.02248478558,1.71638165151,0.135900735866,0.0791786230911,63.3653933247,64.5966097054,0.0114147890537,0.0377718456313,0.0280375510427,0.0772241857277
85,15,-90,-0.182331268171,-1.49381527432,-1.74585896467,1.16872480465,0.122057439969,0.104436424626,63.3653933247,64.5966097054,0.00538354657057,0.0432500131274,0.0202774058921,0.06891096559
90,0,-100,-0.304246225398,-1.34455537489,-2.22440034615,1.65437615118,0.226280174904,0.13677673892,63.3653933247,64.5966097054,0.00822507935589,0.0114255664697,0.0122157091605,0.031866354986
90,5,-100,-0.324291729353,-1.73296487121,-1.93959059078,1.11923249167,0.187131161595,0.167195969549,63.3653933247,64.5966097054,0.00898940728812,0.0208604361594,0.00652772237384,0.0363775658214
