Strike,Dip,Rake,Misfit,Extra
144,86,25,0.175200015322,"[131345, array([-0.95484899,  1.01424145, -0.22428376]), array([-0.77351944,  0.59096885, -0.22896176])]"
166,70,65,0.177597995498,"[150833, array([-0.98655323,  0.55038617, -0.13998702]), array([-0.77351944,  0.59096885, -0.22896176])]"
156,74,50,0.179450857938,"[141910, array([-0.97801046,  0.75881771, -0.06406913]), array([-0.77351944,  0.59096885, -0.22896176])]"
10,26,95,0.183641572523,"[9559, array([-0.96541863,  1.07818973, -0.36890444]), array([-0.77351944,  0.59096885, -0.22896176])]"
176,66,80,0.184894676727,"[159756, array([-0.98013894,  0.80806594, -0.06329334]), array([-0.77351944,  0.59096885, -0.22896176])]"
4,24,85,0.187243294578,"[4117, array([-0.97508598,  0.72513702, -0.53952991]), array([-0.77351944,  0.59096885, -0.22896176])]"
0,24,80,0.188456472638,"[516, array([-0.9764411 ,  0.70187301, -0.53332127]), array([-0.77351944,  0.59096885, -0.22896176])]"
8,24,90,0.191817476764,"[7718, array([-0.97462688,  0.7200046 , -0.54435906]), array([-0.77351944,  0.59096885, -0.22896176])]"
150,82,35,0.193580480637,"[136667, array([-0.97068874,  0.65215556, -0.51640296]), array([-0.77351944,  0.59096885, -0.22896176])]"
152,80,40,0.193631139114,"[138428, array([-0.97796262,  0.55132003, -0.438122  ]), array([-0.77351944,  0.59096885, -0.22896176])]"
148,84,30,0.194046703543,"[134906, array([-0.9617531 ,  0.78518025, -0.55839404]), array([-0.77351944,  0.59096885, -0.22896176])]"
154,78,45,0.194243613814,"[140189, array([-0.98354134,  0.48852511, -0.32845191]), array([-0.77351944,  0.59096885, -0.22896176])]"
2,26,85,0.195222112978,"[2357, array([-0.96528012,  1.10514999, -0.36478362]), array([-0.77351944,  0.59096885, -0.22896176])]"
144,86,30,0.19561837588,"[131346, array([-0.97579399,  0.7421872 , -0.0434228 ]), array([-0.77351944,  0.59096885, -0.22896176])]"
6,26,90,0.196435098179,"[5958, array([-0.96468774,  1.10716777, -0.36658858]), array([-0.77351944,  0.59096885, -0.22896176])]"
178,66,75,0.200709709591,"[161555, array([-0.96716718,  0.79745039, -0.57283202]), array([-0.77351944,  0.59096885, -0.22896176])]"
12,24,95,0.204270316192,"[11319, array([-0.97504312,  0.68643119, -0.5496793 ]), array([-0.77351944,  0.59096885, -0.22896176])]"
170,66,65,0.204306255751,"[154353, array([-0.95594589,  1.1116761 , -0.39430644]), array([-0.77351944,  0.59096885, -0.22896176])]"
168,68,60,0.204904846481,"[152592, array([-0.9574169 ,  0.91621317, -0.57098126]), array([-0.77351944,  0.59096885, -0.22896176])]"
146,86,25,0.205746542048,"[133145, array([-0.95105215,  0.94348638, -0.56056504]), array([-0.77351944,  0.59096885, -0.22896176])]"
168,70,65,0.207167806737,"[152633, array([-0.98440381,  0.48042362, -0.35226519]), array([-0.77351944,  0.59096885, -0.22896176])]"
152,76,40,0.20865119836,"[138348, array([-0.95777984,  1.04629901, -0.16587353]), array([-0.77351944,  0.59096885, -0.22896176])]"
150,78,35,0.212598886508,"[136587, array([-0.95016841,  1.10162357, -0.24440545]), array([-0.77351944,  0.59096885, -0.22896176])]"
156,76,50,0.212602925684,"[141950, array([-0.98725297,  0.46829475, -0.19339239]), array([-0.77351944,  0.59096885, -0.22896176])]"
152,78,35,0.21336035062,"[138387, array([-0.94654671,  1.00855948, -0.54523636]), array([-0.77351944,  0.59096885, -0.22896176])]"
166,68,65,0.213982482532,"[150793, array([-0.97481261,  0.89896604, -0.04988923]), array([-0.77351944,  0.59096885, -0.22896176])]"
8,26,95,0.216569767719,"[7759, array([-0.96843982,  1.08708053, -0.17960981]), array([-0.77351944,  0.59096885, -0.22896176])]"
158,74,45,0.218860380665,"[143709, array([-0.95708806,  0.83694143, -0.59983811]), array([-0.77351944,  0.59096885, -0.22896176])]"
152,78,45,0.219901709592,"[138389, array([-0.98485791,  0.58074937, -0.0522066 ]), array([-0.77351944,  0.59096885, -0.22896176])]"
146,84,25,0.221057747387,"[133105, array([-0.94053631,  1.12289735, -0.43329581]), array([-0.77351944,  0.59096885, -0.22896176])]"
148,80,35,0.221629174066,"[134827, array([-0.96356394,  0.96321814, -0.07153995]), array([-0.77351944,  0.59096885, -0.22896176])]"
158,72,45,0.222264671411,"[143669, array([-0.94462258,  1.11210911, -0.47361692]), array([-0.77351944,  0.59096885, -0.22896176])]"
0,26,85,0.223773791198,"[557, array([-0.96837609,  1.10008736, -0.17458804]), array([-0.77351944,  0.59096885, -0.22896176])]"
146,84,35,0.223853925368,"[133107, array([-0.98313017,  0.60317022, -0.03606714]), array([-0.77351944,  0.59096885, -0.22896176])]"
12,26,95,0.225240019374,"[11359, array([-0.96027802,  1.06802024, -0.55645551]), array([-0.77351944,  0.59096885, -0.22896176])]"
0,26,80,0.22644637592,"[556, array([-0.96193764,  1.08289909, -0.55142749]), array([-0.77351944,  0.59096885, -0.22896176])]"
154,78,40,0.226860222077,"[140188, array([-0.96525054,  0.70158895, -0.58640643]), array([-0.77351944,  0.59096885, -0.22896176])]"
4,26,90,0.226944644101,"[4158, array([-0.96774408,  1.10909222, -0.17697576]), array([-0.77351944,  0.59096885, -0.22896176])]"
160,70,50,0.229494110476,"[145430, array([-0.94873402,  1.16503514, -0.33137348]), array([-0.77351944,  0.59096885, -0.22896176])]"
8,26,90,0.234209560641,"[7758, array([-0.95950698,  1.10392343, -0.55477018]), array([-0.77351944,  0.59096885, -0.22896176])]"
164,68,60,0.234619050589,"[148992, array([-0.96387922,  1.07475372, -0.12512077]), array([-0.77351944,  0.59096885, -0.22896176])]"
162,72,60,0.234744108582,"[147272, array([-0.98856925,  0.4884265 , -0.10422113]), array([-0.77351944,  0.59096885, -0.22896176])]"
4,26,85,0.234961376312,"[4157, array([-0.96005162,  1.10886598, -0.55385973]), array([-0.77351944,  0.59096885, -0.22896176])]"
178,64,80,0.236282787181,"[161516, array([-0.96318852,  1.1578528 , -0.22143259]), array([-0.77351944,  0.59096885, -0.22896176])]"
172,68,75,0.236334944359,"[156195, array([-0.98805527,  0.55746594, -0.04381387]), array([-0.77351944,  0.59096885, -0.22896176])]"
164,68,55,0.236497410253,"[148991, array([-0.94687213,  1.17689665, -0.41740535]), array([-0.77351944,  0.59096885, -0.22896176])]"
162,70,60,0.237228680175,"[147232, array([-0.97796524,  0.81945973,  0.00252625]), array([-0.77351944,  0.59096885, -0.22896176])]"
6,24,95,0.238064336273,"[5919, array([-0.98407181,  0.70995482,  0.00666914]), array([-0.77351944,  0.59096885, -0.22896176])]"
170,66,70,0.238079901026,"[154354, array([-0.96858696,  1.04574827, -0.09068309]), array([-0.77351944,  0.59096885, -0.22896176])]"
144,88,20,0.239195738623,"[131384, array([-0.9383562 ,  1.11942521, -0.52097503]), array([-0.77351944,  0.59096885, -0.22896176])]"
150,78,40,0.241445537066,"[136588, array([-0.97031181,  0.88827165, -0.00815486]), array([-0.77351944,  0.59096885, -0.22896176])]"
162,70,50,0.241532268413,"[147230, array([-0.94444657,  1.07022193, -0.57880077]), array([-0.77351944,  0.59096885, -0.22896176])]"
172,66,65,0.241951098102,"[156153, array([-0.95094507,  1.04119496, -0.60301505]), array([-0.77351944,  0.59096885, -0.22896176])]"
142,88,25,0.242331220658,"[129585, array([-0.96611436,  0.89880092, -0.01123351]), array([-0.77351944,  0.59096885, -0.22896176])]"
2,24,90,0.242380328359,"[2318, array([-0.98362895,  0.72374129,  0.01307614]), array([-0.77351944,  0.59096885, -0.22896176])]"
146,82,30,0.245280744179,"[133066, array([-0.95445222,  1.06731435, -0.10264891]), array([-0.77351944,  0.59096885, -0.22896176])]"
176,64,75,0.246385088094,"[159715, array([-0.95617635,  1.21532116, -0.33186841]), array([-0.77351944,  0.59096885, -0.22896176])]"
176,68,75,0.246404953255,"[159795, array([-0.98348907,  0.46753057, -0.43059757]), array([-0.77351944,  0.59096885, -0.22896176])]"
148,80,30,0.247234343445,"[134826, array([-0.94017123,  1.18953677, -0.29316102]), array([-0.77351944,  0.59096885, -0.22896176])]"
