Strike,Dip,Rake,Misfit
10,23,96,0.0103706581273
174,68,74,0.0154415371081
144,89,28,0.0163101089922
170,69,68,0.0194587191272
2,23,86,0.0213773338079
8,23,94,0.0246011287723
156,76,48,0.0258516540271
146,86,32,0.0283682792813
0,23,84,0.0310815073448
168,70,66,0.0386372920022
150,81,38,0.0387124304603
4,23,88,0.0387531156071
154,78,44,0.0408442945798
158,75,50,0.0431320602846
12,23,98,0.0439765972598
162,72,56,0.0489639743401
148,84,34,0.0502180453259
152,79,42,0.0547215964362
6,23,92,0.0554667835646
