Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Angle1,Angle2,Angle3,Sum
45,10,-100,0.979672234937,0.885958790147,-0.681392648871,-0.769101967777,1.10577630228,-1.43774993252,57.101920704,59.6389581368,0.0154402136902,0.0761765504904,0.158807378036,0.250424142217
50,5,-100,0.931408915454,1.77360743869,-0.913393081816,-0.51499168412,0.525149418715,-1.01972407499,57.101920704,59.6389581368,0.0926012029676,0.00577939827121,0.0531736789945,0.151554280233
50,10,-100,0.956006126377,0.853558549594,-1.04566013104,-1.22505964182,1.12002407665,-0.914260855895,57.101920704,59.6389581368,0.0113059954937,0.0797304439982,0.0310002920837,0.122036731576
55,0,-100,0.853267863727,2.56421560465,-1.00090249204,-0.390334763668,0.332759796867,-0.852498490628,57.101920704,59.6389581368,0.166241101505,0.0568117707975,0.0199864342523,0.243039306555
55,5,-100,0.90204374256,1.71608841587,-1.21010285019,-0.70515180861,0.525639433387,-0.745427334892,57.101920704,59.6389581368,0.0274558820809,0.00572115871261,0.00577581462382,0.0389528554173
55,10,-100,0.922656361225,0.814122836338,-1.3950538635,-1.71356680004,1.13331345105,-0.66137687251,57.101920704,59.6389581368,0.0689933966877,0.0830717991456,0.000390540530578,0.152455736364
55,10,-90,0.974138370709,0.887687020467,-0.795294882062,-0.895918114973,1.09738944949,-1.22487695153,57.101920704,59.6389581368,0.00243226746953,0.0740993750823,0.103401192951,0.179932835503
60,0,-100,0.821934732636,2.47005419638,-1.22807480971,-0.497185370068,0.332759796867,-0.669287185223,57.101920704,59.6389581368,0.101429501993,0.0568117707975,0.000637321207305,0.158878593998
60,5,-100,0.864698529107,1.64486211391,-1.49261775645,-0.907442480329,0.525696665874,-0.579316791168,57.101920704,59.6389581368,0.00184569665868,0.00571437724114,0.00156001162635,0.00912008552617
60,5,-90,0.927006627715,1.78088168767,-0.973116317781,-0.546423900316,0.520532404893,-0.952616466065,57.101920704,59.6389581368,0.0782767689944,0.00634383524373,0.0386385240404,0.123259128279
60,10,-100,0.880090632375,0.767210194765,-1.72397602183,-2.24707131578,1.14713104489,-0.510500506521,57.101920704,59.6389581368,0.138544030001,0.0865708286821,0.00856674463936,0.233681603323
60,10,-90,0.947739516977,0.868790402579,-1.15055228663,-1.32431514347,1.09087245228,-0.823725725452,57.101920704,59.6389581368,0.0207824541632,0.0724933262844,0.0154932693115,0.108769049759
65,0,-100,0.784346181933,2.35709418421,-1.44590073656,-0.613425100381,0.332759796867,-0.542461983802,57.101920704,59.6389581368,0.0527349418287,0.0568117707975,0.00456056321285,0.114107275839
65,0,-90,0.853267863727,2.56421560465,-1.00090249204,-0.390334763668,0.332759796867,-0.852498490628,57.101920704,59.6389581368,0.166241101505,0.0568117707975,0.0199864342523,0.243039306555
