Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
40,20,-100,0.175723904881,3.05181657516,3.87367760013,1.26930223515,0.0575801004264,0.0453635854658
45,20,-100,0.0996508406613,2.84167940503,4.00724224522,1.41016690276,0.0350675873165,0.0248676856959
50,20,-90,0.170879583164,2.96707939658,3.74609992524,1.26255466219,0.057591847175,0.045615329696
50,20,0,0.845457580763,1.65359667792,2.27513860293,1.37587274655,0.511284034404,0.371607065905
50,20,90,0.170879583164,2.96707939658,3.74609992524,1.26255466219,0.057591847175,0.045615329696
50,80,45,0.873245283647,1.46086031488,2.05350261022,1.40568033048,0.597760973278,0.425246736626
50,80,45,0.873245283647,1.46086031488,2.05350261022,1.40568033048,0.597760973278,0.425246736626
50,90,45,0.698613491488,2.36172310837,2.97080909151,1.25789898104,0.295806688351,0.235159335376
50,90,45,0.698613491488,2.36172310837,2.97080909151,1.25789898104,0.295806688351,0.235159335376
110,20,-90,0.631784587586,1.761489603,2.30522623636,1.30868001289,0.358664954088,0.274066196897
110,20,90,0.631784587586,1.761489603,2.30522623636,1.30868001289,0.358664954088,0.274066196897
110,90,0,0.263925466205,1.89735174967,2.68108259466,1.41306565592,0.139102022728,0.0984398864585
112,20,-90,0.649752086557,1.78135002499,2.20281508772,1.23659867899,0.364752618768,0.294964425374
112,20,90,0.649752086557,1.78135002499,2.20281508772,1.23659867899,0.364752618768,0.294964425374
112,20,100,0.510657069414,1.78048076704,2.59933556984,1.45990657016,0.286808528835,0.196456769699
112,60,45,0.34302905238,3.04712602379,4.36671418986,1.43305992458,0.112574619396,0.0785554166053
112,60,45,0.34302905238,3.04712602379,4.36671418986,1.43305992458,0.112574619396,0.0785554166053
112,80,0,0.123486857777,1.84847477418,2.76318856611,1.49484786306,0.0668047297708,0.0446899857982
112,90,0,0.283205909329,2.03595823968,2.50172997576,1.22877273561,0.139102022728,0.113204027642
115,0,45,0.923905737702,0.930659921994,1.38886662666,1.49234601581,0.99274258606,0.665222793871
115,0,45,0.923905737702,0.930659921994,1.38886662666,1.49234601581,0.99274258606,0.665222793871
115,20,100,0.540827969525,1.80120817311,2.46533960766,1.36871442428,0.300258447412,0.219372604019
