Model,Depth,173a Pa,173a Sa,235b Pa,235b Sa,325a Pa,325a Sa,325ab Pa,325ab Sa,173ab Pa,173ab Sa
Gudkova,45,1.88733055899,1.9215213467,1.8667862239,1.90613608233,1.78499379386,1.8444541881,1.78499379386,1.8444541881,1.88733055899,1.9215213467
Gudkova,35,1.89048113904,1.92395710349,1.86981430283,1.90866990537,1.7881713016,1.84712380337,1.7881713016,1.84712380337,1.89048113904,1.92395710349
Gudkova,25,1.89358748991,1.92638320708,1.87292415318,1.91117683509,1.79130967887,1.84977139989,1.79130967887,1.84977139989,1.89358748991,1.92638320708
Gudkova,15,1.89663917678,1.92879300072,1.87608494098,1.91364980772,1.79439757784,1.85240540409,1.79439757784,1.85240540409,1.89663917678,1.92879300072
Gudkova,10,1.89818120702,1.9299901931,1.87765521912,1.91488833118,1.79598447821,1.85372974965,1.79598447821,1.85372974965,1.89818120702,1.9299901931
Gudkova,5,1.89890388308,1.93049303085,1.87841213159,1.91542589174,1.79681736238,1.85434717305,1.79681736238,1.85434717305,1.89890388308,1.93049303085
