Exit Angle,Plunge,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Ratio1,Ratio2,Ratio3,Sum
5,85,60,110,20,0,-0.107446011,3.497887814,4.0482352,1.15733706,-0.030717398,-0.026541445,0.007236348,1.109000321,1.115927948,2.232164618
5,85,70,110,20,0,-0.127558557,4.137190323,3.343516904,0.80816125,-0.03083217,-0.038151013,0.008828567,1.109515035,1.168935483,2.287279085
5,85,80,110,20,0,-0.143564442,4.63599689,2.539825289,0.547848791,-0.030967329,-0.056525322,0.078388965,1.110121481,1.25814006,2.446650507
5,85,90,110,20,0,-0.155005179,4.980935361,1.66649988,0.334575689,-0.031119693,-0.093012416,0.23665118,1.110805528,1.456719995,2.804176703
5,85,100,110,20,0,-0.16158548,5.164877466,0.754086856,0.146002855,-0.031285443,-0.214279667,0.537378087,1.111550156,2.394074354,4.043002597
5,85,110,110,20,0,-0.163175911,5.18675104,-0.167072827,-0.032211461,-0.031460139,0.976675349,1.111825919,1.112335521,0.000186176,2.224347617
5,85,120,110,20,0,-0.159808325,5.051027809,-1.06808106,-0.211458163,-0.031638773,0.149621907,2.323159656,1.113139169,0.549892127,3.986190952
5,85,130,110,20,0,-0.15166522,4.766967996,-1.922470301,-0.403289953,-0.031815867,0.0788908,5.473616054,1.113936465,0.732052107,7.319604627
5,85,140,110,20,0,-0.139064527,4.347719438,-2.706898116,-0.622601838,-0.031985626,0.051374127,18.38100385,1.114701281,0.817427776,20.31313291
5,85,150,110,20,0,-0.122441443,3.809373301,-3.401540688,-0.892939709,-0.032142149,0.035995878,312.1909837,1.115406936,0.86928458,314.1756752
5,85,160,110,20,0,-0.102328897,3.170070792,-3.990211417,-1.258713662,-0.032279688,0.025644981,76.43462539,1.116027381,0.905994034,78.45664681
5,85,170,110,20,0,-0.079337998,2.449236794,-4.460259342,-1.821081306,-0.032392947,0.017787754,11.88834507,1.116538558,0.934878107,13.93976173
5,85,180,110,20,0,-0.054139469,1.666989652,-4.802322056,-2.880834954,-0.032477387,0.011273602,4.307671642,1.11691982,0.959515967,6.384107429
5,85,190,110,20,0,-0.027446622,0.843745038,-5.010016784,-5.937832593,-0.032529521,0.005478349,2.00837532,1.117155277,0.98197736,4.107507958
5,85,200,110,20,0,-9.67E-18,2.97E-16,-5.079650578,-1.71E+16,-0.032547149,1.90E-18,1.02441844,1.117234906,1.003692821,3.145346167
5,85,210,110,20,0,0.027446622,-0.843745038,-5.010016784,5.937832593,-0.032529521,-0.005478349,0.523974915,1.117155277,1.025888951,2.667019143
5,85,220,110,20,0,0.054139469,-1.666989652,-4.802322056,2.880834954,-0.032477387,-0.011273602,0.246792919,1.11691982,1.049905573,2.413618312
5,85,230,110,20,0,0.079337998,-2.449236794,-4.460259342,1.821081306,-0.032392947,-0.017787754,0.0919227,1.116538558,1.077577878,2.286039136
5,85,240,110,20,0,0.102328897,-3.170070792,-3.990211417,1.258713662,-0.032279688,-0.025644981,0.016046771,1.116027381,1.111937816,2.244011967
5,85,250,110,20,0,0.122441443,-3.809373301,-3.401540688,0.892939709,-0.032142149,-0.035995878,0.001973323,1.115406936,1.158905287,2.276285547
5,85,260,110,20,0,0.139064527,-4.347719438,-2.706898116,0.622601838,-0.031985626,-0.051374127,0.048599389,1.114701281,1.232449528,2.395750198
5,85,270,110,20,0,0.15166522,-4.766967996,-1.922470301,0.403289953,-0.031815867,-0.0788908,0.170640555,1.113936465,1.376257285,2.660834306
5,85,280,110,20,0,0.159808325,-5.051027809,-1.06808106,0.211458163,-0.031638773,-0.149621907,0.408023901,1.113139169,1.832611245,3.353774315
5,85,290,110,20,0,0.163175911,-5.18675104,-0.167072827,0.032211461,-0.031460139,-0.976675349,0.856461207,1.112335521,7182.229408,7184.198205
5,85,300,110,20,0,0.16158548,-5.164877466,0.754086856,-0.146002855,-0.031285443,0.214279667,1.768348412,1.111550156,0.421086441,3.300985008
5,85,310,110,20,0,0.155005179,-4.980935361,1.66649988,-0.334575689,-0.031119693,0.093012416,3.973904518,1.110805528,0.691641873,5.776351918
5,85,320,110,20,0,0.143564442,-4.63599689,2.539825289,-0.547848791,-0.030967329,0.056525322,11.63603596,1.110121481,0.80074293,13.54690037
5,85,330,110,20,0,0.127558557,-4.137190323,3.343516904,-0.80816125,-0.03083217,0.038151013,88.60996873,1.109515035,0.861827606,90.58131137
5,85,340,110,20,0,0.107446011,-3.497887814,4.0482352,-1.15733706,-0.030717398,0.026541445,188.3399107,1.109000321,0.902755166,190.3516662
5,85,350,110,20,0,0.083837913,-2.737514246,4.627332168,-1.690340854,-0.030625562,0.01811798,15.28227588,1.108588647,0.933645996,17.32451052
5,85,360,110,20,0,0.057479428,-1.880957017,5.058292477,-2.689212157,-0.030558608,0.011363405,4.822940793,1.108288606,0.959171964,6.890401363
10,80,0,110,20,0,0.116552333,-1.903422374,5.128948054,-2.694592711,-0.061233037,0.022724413,4.806443166,1.254765829,0.916625738,6.977834732
10,80,10,110,20,0,0.05933676,-0.971529208,5.420751999,-5.579607851,-0.061075632,0.010946223,2.099178491,1.253965805,0.960771079,4.313915376
10,80,20,110,20,0,-2.09E-17,3.43E-16,5.519625168,1.61E+16,-0.061023,-3.79E-18,1.02441844,1.253698419,1.003692821,3.281809681
10,80,30,110,20,0,-0.05933676,0.971529208,5.420751999,5.579607851,-0.061075632,-0.010946223,0.501499226,1.253965805,1.048533907,2.803998938
10,80,40,110,20,0,-0.116552333,1.903422374,5.128948054,2.694592711,-0.061233037,-0.022724413,0.221656336,1.254765829,1.099038452,2.575460617
10,80,50,110,20,0,-0.169628369,2.758467989,4.658295228,1.688725498,-0.061493688,-0.036414259,0.071978843,1.256091757,1.160845586,2.488916186
10,80,60,110,20,0,-0.216744445,3.504082769,4.031084798,1.15039657,-0.06185483,-0.053768267,0.006736236,1.257931262,1.244322075,2.508989573
10,80,70,110,20,0,-0.256358427,4.114098123,3.276176317,0.796329164,-0.062312181,-0.078249277,0.010250774,1.260264779,1.372713905,2.643229457
10,80,80,110,20,0,-0.287266666,4.569979043,2.426938456,0.531061178,-0.062859515,-0.118365864,0.086523014,1.263063252,1.613813032,2.963399298
