Exit Angle,Azimuth,Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
0,0,50,90,90,1.22464679915e-16,-4.31968225404,3.62464378617,-0.839099631177,-2.83503907724e-17,3.37866800545e-17
0,20,50,90,90,1.22464679915e-16,-2.81947235101,4.88346936249,-1.73205080757,-4.34353186229e-17,2.50773928993e-17
0,40,50,90,90,1.22464679915e-16,-0.979192471471,5.55327646136,-5.67128181962,-1.25067015406e-16,2.20526892127e-17
0,60,50,90,90,1.22464679915e-16,0.979192471471,5.55327646136,5.67128181962,1.25067015406e-16,2.20526892127e-17
0,80,50,90,90,1.22464679915e-16,2.81947235101,4.88346936249,1.73205080757,4.34353186229e-17,2.50773928993e-17
0,100,50,90,90,1.22464679915e-16,4.31968225404,3.62464378617,0.839099631177,2.83503907724e-17,3.37866800545e-17
0,120,50,90,90,1.22464679915e-16,5.29887472551,1.92863267519,0.363970234266,2.31114503095e-17,6.34981878561e-17
0,140,50,90,90,1.22464679915e-16,5.63894470203,3.45285778995e-16,6.12323399574e-17,2.17176593115e-17,0.354676292407
0,160,50,90,90,1.22464679915e-16,5.29887472551,-1.92863267519,-0.363970234266,2.31114503095e-17,-6.34981878561e-17
0,180,50,90,90,1.22464679915e-16,4.31968225404,-3.62464378617,-0.839099631177,2.83503907724e-17,-3.37866800545e-17
0,200,50,90,90,1.22464679915e-16,2.81947235101,-4.88346936249,-1.73205080757,4.34353186229e-17,-2.50773928993e-17
0,220,50,90,90,1.22464679915e-16,0.979192471471,-5.55327646136,-5.67128181962,1.25067015406e-16,-2.20526892127e-17
0,240,50,90,90,1.22464679915e-16,-0.979192471471,-5.55327646136,5.67128181962,-1.25067015406e-16,-2.20526892127e-17
0,260,50,90,90,1.22464679915e-16,-2.81947235101,-4.88346936249,1.73205080757,-4.34353186229e-17,-2.50773928993e-17
0,280,50,90,90,1.22464679915e-16,-4.31968225404,-3.62464378617,0.839099631177,-2.83503907724e-17,-3.37866800545e-17
0,300,50,90,90,1.22464679915e-16,-5.29887472551,-1.92863267519,0.363970234266,-2.31114503095e-17,-6.34981878561e-17
0,320,50,90,90,1.22464679915e-16,-5.63894470203,-1.03585733699e-15,1.83697019872e-16,-2.17176593115e-17,-0.118225430802
0,340,50,90,90,1.22464679915e-16,-5.29887472551,1.92863267519,-0.363970234266,-2.31114503095e-17,6.34981878561e-17
0,360,50,90,90,1.22464679915e-16,-4.31968225404,3.62464378617,-0.839099631177,-2.83503907724e-17,3.37866800545e-17
10,0,50,90,90,0.262002630229,-4.05917353826,3.56957730253,-0.879385241572,-0.0645458066179,0.0733987831119
10,20,50,90,90,0.171010071663,-2.64943736276,4.80927848978,-1.8152074691,-0.0645458066179,0.0355583632818
10,40,50,90,90,0.0593911746139,-0.920139939771,5.46890971377,-5.94356301405,-0.0645458066179,0.010859783343
10,60,50,90,90,-0.0593911746139,0.920139939771,5.46890971377,5.94356301405,-0.0645458066179,-0.010859783343
10,80,50,90,90,-0.171010071663,2.64943736276,4.80927848978,1.8152074691,-0.0645458066179,-0.0355583632818
10,100,50,90,90,-0.262002630229,4.05917353826,3.56957730253,0.879385241572,-0.0645458066179,-0.0733987831119
10,120,50,90,90,-0.321393804843,4.97931347803,1.89933241124,0.381444634812,-0.0645458066179,-0.169214089614
10,140,50,90,90,-0.342020143326,5.29887472551,3.99998358456e-16,7.54874155696e-17,-0.0645458066179,-8.55053867335e+14
