Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum
105,10,-100,0.886689530168,-1.15614165781,-1.38563881045,1.19850262387,-0.766938483861,-0.639913896377,45.7589778265,48.2718102366,0.0143202075709,0.00401612596499,0.0028964178467,0.0212327513826
110,10,-100,0.847569181512,-1.13243847534,-1.74204227315,1.53831074366,-0.748446118677,-0.486537665919,45.7589778265,48.2718102366,5.39746144447e-07,0.00564315330774,0.00392049681084,0.00956418986472
115,10,-90,0.878450965168,-1.1341587121,-1.45338931862,1.28146907758,-0.774539714588,-0.604415454217,45.7589778265,48.2718102366,0.00756225824889,0.00343447208381,0.000796713151256,0.011793443484
120,10,-90,0.837937738036,-1.09979642863,-1.79808598141,1.63492618688,-0.761902581441,-0.466016501268,45.7589778265,48.2718102366,0.000715285813322,0.00442909756036,0.00629492998046,0.0114393133541
125,10,-80,0.873201830497,-1.0610158669,-1.51262349495,1.42563701651,-0.822986590249,-0.577276389935,45.7589778265,48.2718102366,0.00129650166156,0.00084250634033,6.57662242054e-05,0.00220477422609
130,10,-80,0.83150686929,-1.01753006162,-1.84398185399,1.81221363726,-0.817181625049,-0.450930071514,45.7589778265,48.2718102366,0.00510546563902,0.00105603653661,0.00842845575705,0.0145899579327
130,10,-70,0.905124679345,-0.986522066598,-1.22286805564,1.23957496446,-0.917490555955,-0.740165445627,45.7589778265,48.2718102366,0.0106388256763,0.000613452601042,0.0148214795033,0.0260737577807
135,10,-70,0.870692223336,-0.938805355688,-1.56403190055,1.66598101627,-0.927447013442,-0.556697227871,45.7589778265,48.2718102366,0.00123090716159,0.000908848001267,5.569987859e-05,0.00219545504145
140,10,-70,0.828002353077,-0.888001405945,-1.88062323961,2.11781561045,-0.932433605999,-0.440280825865,45.7589778265,48.2718102366,0.0181000934451,0.00107723033538,0.0101387983229,0.0293161221034
140,10,-60,0.905983534776,-0.826191673101,-1.28102574722,1.55051883108,-1.09657790592,-0.707232884851,45.7589778265,48.2718102366,8.24633780349e-06,0.0129512046838,0.0100260261387,0.0229854771603
145,10,-60,0.870382245122,-0.771141913746,-1.60771470052,2.08484932781,-1.12869269535,-0.541378544864,45.7589778265,48.2718102366,0.0164991645567,0.0164234665712,0.000369937629597,0.0332925687575
145,80,40,0.938200666338,-0.814272508147,-1.25050338765,1.53573082124,-1.15219494328,-0.750258396423,45.7589778265,48.2718102366,2.25586249126e-06,0.0191462517283,0.016443634414,0.0355921420048
145,85,40,0.882838342271,-1.24993779941,-1.68457040325,1.34772338595,-0.706305819926,-0.524073283353,45.7589778265,48.2718102366,0.00392764605499,0.0105434441296,0.00107017194442,0.0155412621291
150,15,-50,0.854439165557,-1.19751491042,-1.48630513977,1.24115794036,-0.713510252042,-0.574874662474,45.7589778265,48.2718102366,0.0105105755805,0.00958264621043,3.97700955644e-05,0.0201329918865
