Strike,Dip,Rake,P,SV,SH,SH/SV
110,0,-90,-0.31405061436,-0.771456717122,-2.59543731462,3.36433302999
110,0,0,0.86566649936,2.12648600316,-0.941585106725,-0.442789233189
110,0,90,0.31405061436,0.771456717122,2.59543731462,3.36433302999
110,20,-90,-0.384717828675,-2.2692818697,-1.08110442376,0.476408170444
110,20,0,0.661063885289,2.51116947884,-2.04014469244,-0.812428117512
110,20,90,0.384717828675,2.2692818697,1.08110442376,0.476408170444
110,45,-90,-0.224243744768,-2.61098956039,1.41122183268,-0.540493096596
110,45,0,0.297047664768,2.56409795165,-3.05440806903,-1.19122128976
110,45,90,0.224243744768,2.61098956039,-1.41122183268,-0.540493096596
110,60,-90,-0.0371754724291,-1.87545492975,2.51987261478,-1.34360606315
110,60,0,0.0469516740125,2.36201791808,-3.39622654879,-1.43784961274
110,60,90,0.0371754724291,1.87545492975,-2.51987261478,-1.34360606315
110,70,-90,0.0964356273016,-1.08734160718,2.89533624089,-2.66276598059
110,70,0,-0.122630661888,2.13655440177,-3.49632294305,-1.63643057258
110,70,90,-0.0964356273016,1.08734160718,-2.89533624089,-2.66276598059
110,80,-90,0.218415167142,-0.168078839332,2.92157958574,-17.3821975291
110,80,0,-0.288486927181,1.84617276111,-3.49018533391,-1.89049768658
110,80,90,-0.218415167142,0.168078839332,-2.92157958574,-17.3821975291
110,90,-90,0.31405061436,0.771456717122,2.59543731462,3.36433302999
110,90,0,-0.445577663174,1.49969609532,-3.37800020951,-2.25245649439
110,90,90,-0.31405061436,-0.771456717122,-2.59543731462,3.36433302999
111,0,-90,-0.329110746516,-0.808451518537,-2.57860909097,3.18956552352
111,0,0,0.860053715195,2.11269835286,-0.98673832565,-0.467051211695
111,0,90,0.329110746516,0.808451518537,2.57860909097,3.18956552352
111,20,-90,-0.391152336854,-2.3147942574,-1.0308765684,0.445342632546
111,20,0,0.649516986041,2.51932525643,-2.04818141322,-0.812988084009
111,20,90,0.391152336854,2.3147942574,1.0308765684,0.445342632546
111,45,-90,-0.216306095854,-2.63770557887,1.46930740805,-0.557039959206
111,45,0,0.280110575576,2.59799630141,-3.015229806,-1.16059819037
111,45,90,0.216306095854,2.63770557887,-1.46930740805,-0.557039959206
111,60,-90,-0.0227712007453,-1.88009427974,2.56176208682,-1.36257107659
111,60,0,0.028262482479,2.40858137836,-3.33171594689,-1.38326899677
111,60,90,0.0227712007453,1.88009427974,-2.56176208682,-1.36257107659
111,70,-90,0.113074580224,-1.07617467079,2.91978176183,-2.71311139453
111,70,0,-0.141784194288,2.18984330088,-3.41727109255,-1.56050941689
111,70,90,-0.113074580224,1.07617467079,-2.91978176183,-2.71311139453
111,80,-90,0.235281898016,-0.142452513903,2.92563266496,-20.5375994063
111,80,0,-0.307522830058,1.90456794282,-3.39899418528,-1.78465367859
111,80,90,-0.235281898016,0.142452513903,-2.92563266496,-20.5375994063
111,90,-90,0.329110746516,0.808451518537,2.57860909097,3.18956552352
111,90,0,-0.463917540251,1.56142325158,-3.27744055967,-2.09900842475
111,90,90,-0.329110746516,-0.808451518537,-2.57860909097,3.18956552352
