Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum
50,20,-80,0.279575867087,1.9999274047,3.46820487272,1.73416538249,0.139793007701,0.0806111165132,45.5848646826,48.0450821615,0.0362260175063,0.0106635708603,0.016943142371,0.0638327307376
50,20,-70,0.438775914339,1.9597019396,3.16265515618,1.61384498953,0.223899311152,0.138736565535,45.5848646826,48.0450821615,0.0251754102281,0.00047921349708,0.00529204349719,0.0309466672224
50,20,-60,0.584643977466,1.85993192272,2.76100976311,1.48446818369,0.31433622399,0.211750057996,45.5848646826,48.0450821615,0.0145409493786,0.00389368035865,3.745268909e-06,0.0184383750061
50,20,-50,0.712747929181,1.70364881553,2.27547248552,1.33564644589,0.418365523858,0.313230739426,45.5848646826,48.0450821615,0.00500310630915,0.0237407398696,0.008639227349,0.0373830735277
50,25,-100,0.162431468043,2.31111152069,3.51769858226,1.52208084758,0.0702828342939,0.0461754935066,45.5848646826,48.0450821615,0.0174569660285,0.0295805733543,0.0270471887902,0.074084728173
50,25,-80,0.177845912779,2.48309947216,3.31586951718,1.33537522534,0.0716225486625,0.0536347741844,45.5848646826,48.0450821615,0.00498933205504,0.0291238236214,0.0246551485757,0.0587683042522
50,25,-70,0.342461948797,2.45666651081,3.06149456584,1.24619868117,0.139401073483,0.111861034351,45.5848646826,48.0450821615,0.00138196673284,0.0107431172237,0.00984164688742,0.021966730844
50,25,-60,0.496672451794,2.35558898065,2.71409765131,1.15219491754,0.210848520635,0.182997266717,45.5848646826,48.0450821615,1.95327896887e-06,0.00118011164021,0.00087665712183,0.00205872204101
50,25,-50,0.635791813672,2.18293807131,2.28423425304,1.04640359847,0.291255085075,0.278339147058,45.5848646826,48.0450821615,0.00243289786356,0.00170216182325,0.00370453831909,0.0078395980059
50,25,-40,0.755592963018,1.94395969328,1.78496555288,0.918211194936,0.388687566738,0.423309548916,45.5848646826,48.0450821615,0.0131350995003,0.01652739389,0.0360373031123,0.0656997965026
50,25,50,0.623801504196,1.54629606498,3.03133810435,1.96038661224,0.403416601983,0.205784205761,45.5848646826,48.0450821615,0.0584209590287,0.0199630787036,5.85523926456e-05,0.0784425901249
50,25,60,0.483117216587,1.86036941144,3.29524128262,1.77128330661,0.259688862661,0.146610574204,45.5848646826,48.0450821615,0.0397791708391,0.000142065193913,0.00422884158569,0.0441500776187
50,25,70,0.327753656821,2.11791637473,3.45902022199,1.63321850818,0.154752879165,0.0947533219774,45.5848646826,48.0450821615,0.0268947401002,0.00785395135769,0.0134865820026,0.0482352734605
50,25,80,0.162431468043,2.31111152069,3.51769858226,1.52208084758,0.0702828342939,0.0461754935066,45.5848646826,48.0450821615,0.0174569660285,0.0295805733543,0.0270471887902,0.074084728173
50,30,-100,0.264589039008,2.65134054405,3.17372860019,1.19702789871,0.0997944377994,0.0833685145579,45.5848646826,48.0450821615,0.000304286810442,0.0203611119875,0.016237600172,0.03690299897
50,30,-90,0.0964666038492,2.81482490523,3.16519316025,1.1244724865,0.0342709074621,0.0304773196975,45.5848646826,48.0450821615,0.000181529370733,0.0432224057892,0.0324486630136,0.0758525981735
50,30,-80,0.0745869202532,2.89278223603,3.0604849278,1.05797280199,0.0257838005655,0.0243709483996,45.5848646826,48.0450821615,0.00192140213996,0.0468200450309,0.0346841783331,0.083425625504
50,30,-70,0.243374158527,2.88284384241,2.8627854095,0.993042136857,0.0844215544893,0.0850130637522,45.5848646826,48.0450821615,0.00569832859178,0.0249436662078,0.0158240972921,0.0464660920916
50,30,-60,0.404766596146,2.78531169743,2.57810160517,0.925606138639,0.145321831133,0.157001801378,45.5848646826,48.0450821615,0.0122347942552,0.00957381594254,0.00301098806098,0.0248195982587
50,30,-50,0.553860405564,2.60314926596,2.21508348814,0.850924500223,0.212765519368,0.250040419934,45.5848646826,48.0450821615,0.0232147384303,0.00105742442194,0.00118430221373,0.0254564650659
50,30,-40,0.686125446825,2.3418914613,1.78476118022,0.76210243289,0.292979182923,0.384435438438,45.5848646826,48.0450821615,0.0425153870182,0.00183576319596,0.0244653563879,0.068816506602
50,30,50,0.701655817214,1.70941268804,2.63427377547,1.54104026131,0.41046601685,0.266356452297,45.5848646826,48.0450821615,0.0189865641278,0.0217086715608,0.00247105798717,0.0431662936758
50,30,60,0.571851655247,2.09010805283,2.90417376416,1.38948498869,0.273599087125,0.19690683192,45.5848646826,48.0450821615,0.00802499864603,0.000620300750021,0.000261902904267,0.00890720230032
50,30,70,0.424672070105,2.40729654208,3.0858319026,1.28186613018,0.176410368512,0.137619962302,45.5848646826,48.0450821615,0.00259138165939,0.00456215038015,0.00545265807768,0.0126061901172
50,30,80,0.264589039008,2.65134054405,3.17372860019,1.19702789871,0.0997944377994,0.0833685145579,45.5848646826,48.0450821615,0.000304286810442,0.0203611119875,0.016237600172,0.03690299897
50,30,90,0.0964666038492,2.81482490523,3.16519316025,1.1244724865,0.0342709074621,0.0304773196975,45.5848646826,48.0450821615,0.000181529370733,0.0432224057892,0.0324486630136,0.0758525981735
50,35,-100,0.362569383932,2.90826064333,2.73461598007,0.940292606283,0.124668806684,0.132585118559,45.5848646826,48.0450821615,0.01055938533,0.0139543676846,0.00620734377709,0.0307210967917
50,35,-90,0.197828237451,3.11003806751,2.76472007684,0.888966635399,0.0636095871357,0.0715545270236,45.5848646826,48.0450821615,0.0170847395118,0.0319099226427,0.0193683537321,0.0683630158867
