Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
90,60,100,0.596837933318,3.1021763293,3.3404455211,1.07680710782,0.192393297467,0.178670159279
110,60,-100,0.537745576664,4.08574534222,4.46241696829,1.09219165526,0.131615049794,0.120505452647
110,70,-90,0.232762119919,4.29604125355,5.34547945334,1.24428028919,0.054180606326,0.0435437311004
110,70,90,0.232762119919,4.29604125355,5.34547945334,1.24428028919,0.054180606326,0.0435437311004
110,70,100,0.214957243709,4.14947693119,4.84880765824,1.16853467043,0.0518034555376,0.0443319799133
112,20,0,0.512167261952,3.59215090371,4.00200075551,1.11409594496,0.142579550715,0.127977802415
112,70,-100,0.22310286956,4.504643054,5.58964635278,1.24086332386,0.0495273136819,0.0399135930038
112,70,-90,0.213596230187,4.47308692944,5.2696852655,1.17808693384,0.0477514149749,0.0405330146726
112,70,90,0.213596230187,4.47308692944,5.2696852655,1.17808693384,0.0477514149749,0.0405330146726
112,70,100,0.197599577444,4.30561832203,4.78960745802,1.11240874128,0.0458934263711,0.041255902321
112,80,0,0.0330808128585,1.46213796481,1.69709926809,1.16069708122,0.0226249599249,0.0194925620914
112,90,45,0.377648971044,3.82065619284,4.86638222827,1.27370325479,0.0988440079356,0.0776036392806
112,90,45,0.377648971044,3.82065619284,4.86638222827,1.27370325479,0.0988440079356,0.0776036392806
113,0,-100,0.501842713542,3.92915892875,4.99527002279,1.27133315637,0.127722681276,0.100463580798
113,20,0,0.504928915937,3.52959715719,4.06758057901,1.15242062985,0.143055678439,0.124134951018
113,70,-100,0.213032348739,4.59988983368,5.5407381989,1.20453715181,0.0463124893077,0.0384483693492
113,70,-90,0.20411530107,4.56112125666,5.22829223536,1.14627345803,0.0447511235909,0.0390405302307
113,70,90,0.20411530107,4.56112125666,5.22829223536,1.14627345803,0.0447511235909,0.0390405302307
113,70,100,0.188996313265,4.3837653183,4.75698725788,1.08513729921,0.0431127808042,0.0397302542595
113,80,0,0.036216213239,1.50362123802,1.62921313304,1.08352628431,0.024085994746,0.0222292666959
113,90,45,0.386334403482,3.90081788539,4.75647855839,1.21935417088,0.0990393335022,0.0812227783095
113,90,45,0.386334403482,3.90081788539,4.75647855839,1.21935417088,0.0990393335022,0.0812227783095
115,0,-100,0.519303529514,4.06586774036,4.82037193773,1.18557027566,0.127722681276,0.107731008358
115,20,0,0.490125363699,3.40348579206,4.19413840046,1.23230671632,0.144006878137,0.116859606647
115,70,-100,0.193165866898,4.78801994638,5.43527972867,1.13518318418,0.04034358024,0.0355392687295
115,70,-90,0.185379065344,4.73595977542,5.13852632292,1.08500210445,0.0391428715899,0.0360763093725
115,70,90,0.185379065344,4.73595977542,5.13852632292,1.08500210445,0.0391428715899,0.0360763093725
115,80,45,0.12032251677,4.1535235202,5.10555907872,1.22921154868,0.0289687818512,0.0235669619948
115,80,45,0.12032251677,4.1535235202,5.10555907872,1.22921154868,0.0289687818512,0.0235669619948
115,90,45,0.403076078332,4.05299962463,4.530569875,1.11783130881,0.0994512992016,0.0889680745367
115,90,45,0.403076078332,4.05299962463,4.530569875,1.11783130881,0.0994512992016,0.0889680745367
125,0,-90,0.519303529514,4.06586774036,4.82037193773,1.18557027566,0.127722681276,0.107731008358
125,0,90,0.519303529514,4.06586774036,4.82037193773,1.18557027566,0.127722681276,0.107731008358
125,60,45,0.369853253941,3.94921227025,4.23383353618,1.07207038935,0.0936524118309,0.0873565884867
125,60,45,0.369853253941,3.94921227025,4.23383353618,1.07207038935,0.0936524118309,0.0873565884867
125,90,-100,0.53748354418,4.43801300912,4.72133351902,1.06383949513,0.121109051072,0.113841469156
125,90,-90,0.519303529514,4.06586774036,4.82037193773,1.18557027566,0.127722681276,0.107731008358
125,90,90,0.519303529514,4.06586774036,4.82037193773,1.18557027566,0.127722681276,0.107731008358
130,70,0,0.0143293768315,1.10050474051,1.30586151538,1.18660235373,0.0130207315825,0.010973121317
130,90,100,0.526211241839,3.89585424289,4.39778116127,1.12883616457,0.135069540345,0.119653803257
150,20,-90,0.978707383877,1.0110960367,1.18096499644,1.16800477262,0.967966788864,0.828735302764
150,20,90,0.978707383877,1.0110960367,1.18096499644,1.16800477262,0.967966788864,0.828735302764
90,45,100,0.752038399368,3.11638658649,0.0438142233318,0.0140593030152,0.241317429175,17.16425266
90,60,-90,0.658745748046,2.81708338855,3.89228720896,1.38167269907,0.23383963383,0.169243869396
90,60,90,0.658745748046,2.81708338855,3.89228720896,1.38167269907,0.23383963383,0.169243869396
110,45,-90,0.808381378657,3.18941651548,1.19540387388,0.374803312168,0.253457450519,0.676241223839
110,45,90,0.808381378657,3.18941651548,1.19540387388,0.374803312168,0.253457450519,0.676241223839
112,45,-90,0.803618619986,3.26869075854,1.2346503563,0.377720147762,0.245853364343,0.650887610312
112,45,90,0.803618619986,3.26869075854,1.2346503563,0.377720147762,0.245853364343,0.650887610312
113,45,-90,0.801182492453,3.30923914228,1.25202875339,0.378343389388,0.242104743116,0.639907422481
113,45,90,0.801182492453,3.30923914228,1.25202875339,0.378343389388,0.242104743116,0.639907422481
115,45,-100,0.836922804716,3.08274249988,1.87129181559,0.607021772225,0.271486445835,0.447243341601
115,45,-90,0.796215577604,3.39191148456,1.2821900206,0.37801399784,0.234739491649,0.620980950415
115,45,90,0.796215577604,3.39191148456,1.2821900206,0.37801399784,0.234739491649,0.620980950415
125,45,0,0.241211763936,0.952775410242,3.49806219703,3.67144466516,0.253167495029,0.0689558247823
130,60,0,0.095276638709,0.371661827216,2.21917315991,5.97094723593,0.256353038521,0.042933395388
110,20,-90,0.806472948286,0.195806416992,3.80869785593,19.4513433954,4.11872583481,0.211745057968
110,20,90,0.806472948286,0.195806416992,3.80869785593,19.4513433954,4.11872583481,0.211745057968
112,20,-90,0.819515953494,0.270939090463,3.68244936285,13.591428821,3.02472394107,0.222546428408
112,20,90,0.819515953494,0.270939090463,3.68244936285,13.591428821,3.02472394107,0.222546428408
113,20,-90,0.825865057423,0.30684542036,3.61871509606,11.7932837056,2.69146939347,0.228220524551
113,20,90,0.825865057423,0.30684542036,3.61871509606,11.7932837056,2.69146939347,0.228220524551
115,45,45,0.778028878795,1.34932383242,3.38482762986,2.50853616348,0.576606489934,0.229857754626
115,45,45,0.778028878795,1.34932383242,3.38482762986,2.50853616348,0.576606489934,0.229857754626
125,20,100,0.808132766156,0.167800129051,3.61255112876,21.528893626,4.81604377021,0.223701405836
125,45,45,0.715240265658,2.02985263152,3.4192114557,1.68446290268,0.352360685969,0.209182811571
125,45,45,0.715240265658,2.02985263152,3.4192114557,1.68446290268,0.352360685969,0.209182811571
130,45,45,0.684367893894,2.33598379695,3.36497261026,1.4404948419,0.292967740097,0.20337992999
130,45,45,0.684367893894,2.33598379695,3.36497261026,1.4404948419,0.292967740097,0.20337992999
150,0,45,0.639238759208,5.00489617678,3.13965091914,0.627315893926,0.127722681276,0.203601857554
150,0,45,0.639238759208,5.00489617678,3.13965091914,0.627315893926,0.127722681276,0.203601857554
150,45,45,0.57289506338,3.22894995607,2.82303177794,0.87428786954,0.177424571819,0.202936101484
150,45,45,0.57289506338,3.22894995607,2.82303177794,0.87428786954,0.177424571819,0.202936101484
175,90,45,0.477890819547,3.52793054225,2.41365076423,0.684154842427,0.135459248368,0.197995015115
175,90,45,0.477890819547,3.52793054225,2.41365076423,0.684154842427,0.135459248368,0.197995015115
