Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
90,20,-90,0.462233883415,1.97087798062,2.31107097876,1.17260987311,0.234531963906,0.200008518848
90,20,90,0.462233883415,1.97087798062,2.31107097876,1.17260987311,0.234531963906,0.200008518848
90,60,-100,0.34709981987,2.67769473832,3.21774276596,1.20168394101,0.12962635916,0.107870592871
90,60,-90,0.298542873506,2.49951386812,2.61665992032,1.0468675344,0.119440374912,0.114093112058
90,60,90,0.298542873506,2.49951386812,2.61665992032,1.0468675344,0.119440374912,0.114093112058
110,60,-100,0.0357389614933,3.37882212122,3.64481507137,1.07872357307,0.0105773432904,0.00980542518442
110,60,-90,0.0320082193672,3.00680920084,3.24660628954,1.07975134858,0.0106452445863,0.00985897781025
110,60,45,0.0398052068197,3.82700893876,4.11807711979,1.07605631073,0.0104011272136,0.00966596925261
110,60,0,0.0242848439703,2.40539874368,2.57723422416,1.07143742007,0.0100959743303,0.00942283155434
110,60,45,0.0398052068197,3.82700893876,4.11807711979,1.07605631073,0.0104011272136,0.00966596925261
110,60,90,0.0320082193672,3.00680920084,3.24660628954,1.07975134858,0.0106452445863,0.00985897781025
110,60,100,0.0273049236926,2.54343590442,2.74975101847,1.08111669482,0.0107354479211,0.00992996220717
112,45,0,0.249027160014,2.13461142053,2.60459328394,1.22017209263,0.116661588905,0.0956107663909
112,60,-100,0.00364189624906,3.45984275941,3.62796495564,1.04859243842,0.00105261900679,0.00100383997464
112,60,-90,0.00327534131917,3.07788160877,3.26035659151,1.05928590048,0.00106415442031,0.00100459603949
112,60,90,0.00327534131917,3.07788160877,3.26035659151,1.05928590048,0.00106415442031,0.00100459603949
112,60,100,0.0028092668007,2.60240058293,2.79368394218,1.0735026577,0.00107949053621,0.00100557788886
112,70,45,0.270669384114,3.37784746474,4.13281402683,1.22350522632,0.0801307302772,0.0654927568377
112,70,45,0.270669384114,3.37784746474,4.13281402683,1.22350522632,0.0801307302772,0.0654927568377
113,45,0,0.237576898489,2.15566490866,2.54711499281,1.18159134222,0.110210495859,0.0932729378766
113,60,-90,0.0111164646813,3.11432264164,3.26345386787,1.04788560576,0.00356946468314,0.00340634957053
113,60,90,0.0111164646813,3.11432264164,3.26345386787,1.04788560576,0.00356946468314,0.00340634957053
113,60,100,0.00956040823166,2.63350681658,2.81244771594,1.06794776388,0.00363029560867,0.00339931945311
113,70,45,0.2887874351,3.41685048252,4.04660261393,1.18430778129,0.084518604656,0.0713654051688
113,70,45,0.2887874351,3.41685048252,4.04660261393,1.18430778129,0.084518604656,0.0713654051688
115,0,45,0.99058763621,0.476141203894,0.518051234127,1.0880201711,2.08044930392,1.91214221867
115,0,45,0.99058763621,0.476141203894,0.518051234127,1.0880201711,2.08044930392,1.91214221867
115,45,0,0.215398273316,2.19062790079,2.42723372351,1.10800822113,0.0983271842919,0.0887422876625
115,60,100,0.034496431455,2.69876401839,2.8433482856,1.05357425334,0.0127823074637,0.0121323270982
115,70,45,0.323880514202,3.48919069336,3.86559591721,1.10787751571,0.0928239648289,0.0837854036321
115,70,45,0.323880514202,3.48919069336,3.86559591721,1.10787751571,0.0928239648289,0.0837854036321
125,70,-100,0.460235202956,2.95729762801,3.38999357109,1.14631464178,0.155626947588,0.135762854207
130,70,-90,0.495392806731,2.65261327843,3.09294822643,1.16600043119,0.186756513194,0.160168476956
130,70,90,0.495392806731,2.65261327843,3.09294822643,1.16600043119,0.186756513194,0.160168476956
150,0,-100,0.99058763621,0.476141203894,0.518051234127,1.0880201711,2.08044930392,1.91214221867
150,70,0,0.174415250009,1.59052713227,1.93911816568,1.21916698328,0.10965877065,0.0899456531822
150,80,-90,0.885349026134,1.40815420759,1.51254976815,1.07413645466,0.628730164186,0.585335467815
150,80,90,0.885349026134,1.40815420759,1.51254976815,1.07413645466,0.628730164186,0.585335467815
175,70,45,0.488752428865,1.80212871517,2.25987599836,1.25400365653,0.271208390805,0.216274003184
175,70,45,0.488752428865,1.80212871517,2.25987599836,1.25400365653,0.271208390805,0.216274003184
90,20,45,0.925066015059,1.98773877026,0.178459632971,0.089780224465,0.46538611054,5.18361491424
90,20,45,0.925066015059,1.98773877026,0.178459632971,0.089780224465,0.46538611054,5.18361491424
90,45,0,0.541667527552,1.15672683379,3.2553053466,2.8142386357,0.468276097457,0.166395305472
90,90,45,0.298912024092,0.752689326096,5.32726479456,7.07764094675,0.397125365976,0.0561098491664
90,90,45,0.298912024092,0.752689326096,5.32726479456,7.07764094675,0.397125365976,0.0561098491664
110,90,45,0.702410429727,1.61684458865,3.56064695238,2.20221966748,0.434432866746,0.197270450882
110,90,45,0.702410429727,1.61684458865,3.56064695238,2.20221966748,0.434432866746,0.197270450882
112,80,-90,0.416026873349,1.01495889953,3.63634366535,3.58274967294,0.409895290874,0.114408018503
112,80,90,0.416026873349,1.01495889953,3.63634366535,3.58274967294,0.409895290874,0.114408018503
112,90,45,0.733119689969,1.66252741054,3.32037727725,1.9971864862,0.440966979145,0.220794093187
112,90,45,0.733119689969,1.66252741054,3.32037727725,1.9971864862,0.440966979145,0.220794093187
113,20,0,0.603075919114,1.2773153421,2.55111234739,1.99724552215,0.472143330026,0.236397240494
113,80,-90,0.432356008794,1.02423372761,3.60933080253,3.52393277553,0.422126314666,0.119788412991
113,80,90,0.432356008794,1.02423372761,3.60933080253,3.52393277553,0.422126314666,0.119788412991
113,90,45,0.747683952615,1.68208410607,3.19717938926,1.90072504562,0.444498553857,0.23385736663
113,90,45,0.747683952615,1.68208410607,3.19717938926,1.90072504562,0.444498553857,0.23385736663
115,20,0,0.580024050281,1.28830271049,2.55753519583,1.98519740354,0.450223418425,0.2267902515
115,80,-90,0.464618345217,1.04359372886,3.55016760218,3.40186751223,0.445209981976,0.130872228379
115,80,90,0.464618345217,1.04359372886,3.55016760218,3.40186751223,0.445209981976,0.130872228379
