Strike,Dip,Rake,P,SV,SH,SH/SV
110,0,-90,-0.533124004449,1.83636183469,-4.00836495321,-2.18277513586
110,0,0,0.845931550788,-2.91383693411,-2.52615660589,0.866951947897
110,0,90,0.533124004449,-1.83636183469,4.00836495321,-2.18277513586
110,20,-90,-0.643943485156,-0.199175846757,-2.4520065323,12.3107624354
110,20,0,0.642703422705,-2.13787845765,-2.68863991708,1.25762056653
110,20,90,0.643943485156,0.199175846757,2.4520065323,12.3107624354
110,45,-90,-0.366445775409,-2.49835342433,0.962338347499,-0.385189036158
110,45,0,0.283474025823,-0.819447801943,-2.43715354238,2.97414128954
110,45,90,0.366445775409,2.49835342433,-0.962338347499,-0.385189036158
110,60,-90,-0.0507893483886,-3.08181845045,2.83759193258,-0.920752464235
110,60,0,0.0375509218481,0.0629238475688,-2.06025381013,-32.74201896
110,60,90,0.0507893483886,3.08181845045,-2.83759193258,-0.920752464235
110,70,-90,0.172849877047,-3.0126454048,3.6891648645,-1.22455993614
110,70,0,-0.128873988653,0.652534609712,-1.72898255025,-2.64964114472
110,70,90,-0.172849877047,3.0126454048,-3.6891648645,-1.22455993614
110,80,-90,0.375640856319,-2.58010286142,4.09577006749,-1.58744448864
110,80,0,-0.291383128223,1.22231843794,-1.34517703048,-1.10051275407
110,80,90,-0.375640856319,2.58010286142,-4.09577006749,-1.58744448864
110,90,-90,0.533124004449,-1.83636183469,4.00836495321,-2.18277513586
110,90,0,-0.445038738889,1.75496273895,-0.920498987334,-0.52451198359
110,90,90,-0.533124004449,1.83636183469,-4.00836495321,-2.18277513586
111,0,-90,-0.547806348324,1.88693561435,-3.963666948,-2.10058409935
111,0,0,0.836498414508,-2.88134420953,-2.59572747431,0.900873788604
111,0,90,0.547806348324,-1.88693561435,3.963666948,-2.10058409935
111,20,-90,-0.65015737235,-0.180282919904,-2.40781793516,13.3557740048
111,20,0,0.631391310014,-2.09769239332,-2.73084978548,1.3018351948
111,20,90,0.65015737235,0.180282919904,2.40781793516,13.3557740048
111,45,-90,-0.358615131713,-2.52923273147,0.977814592666,-0.386605226359
111,45,0,0.271742974262,-0.776515184958,-2.43845453213,3.14025350613
111,45,90,0.358615131713,2.52923273147,-0.977814592666,-0.386605226359
111,60,-90,-0.0366666400832,-3.13384760472,2.82864575144,-0.902611137563
111,60,0,0.0266361441286,0.103612187401,-2.03638248544,-19.6538895329
111,60,90,0.0366666400832,3.13384760472,-2.82864575144,-0.902611137563
111,70,-90,0.189130645727,-3.0712360037,3.66487214463,-1.19328900163
111,70,0,-0.138825762722,0.690168875565,-1.68913087612,-2.4474167641
111,70,90,-0.189130645727,3.0712360037,-3.66487214463,-1.19328900163
111,80,-90,0.392115984392,-2.63818801403,4.05906086942,-1.53857907315
111,80,0,-0.300069519021,1.25575513169,-1.29055587986,-1.02771300495
111,80,90,-0.392115984392,2.63818801403,-4.05906086942,-1.53857907315
111,90,-90,0.547806348324,-1.88693561435,3.963666948,-2.10058409935
111,90,0,-0.452195814827,1.78318590358,-0.852767996252,-0.478227196919
111,90,90,-0.547806348324,1.88693561435,-3.963666948,-2.10058409935
112,0,-90,-0.562321825078,1.93693461515,-3.91776157145,-2.02266072422
112,0,0,0.826810472708,-2.84797379959,-2.664507659,0.935580116428
112,0,90,0.562321825078,-1.93693461515,3.91776157145,-2.02266072422
112,20,-90,-0.656166220936,-0.162134772452,-2.36347020136,14.5771950435
112,20,0,0.620028187936,-2.05742462607,-2.77196130676,1.34729665021
112,20,90,0.656166220936,0.162134772452,2.36347020136,14.5771950435
112,45,-90,-0.35066436906,-2.56058571489,0.992099521372,-0.387450228907
112,45,0,0.260221314997,-0.734498166593,-2.43846176382,3.31990177067
112,45,90,0.35066436906,2.56058571489,-0.992099521372,-0.387450228907
112,60,-90,-0.0225233392693,-3.18599958524,2.81806417431,-0.8845149219
112,60,0,0.0160710838429,0.142857897381,-2.01121604755,-14.0784379752
112,60,90,0.0225233392693,3.18599958524,-2.81806417431,-0.8845149219
112,70,-90,0.205360797755,-3.1296907697,3.63888876119,-1.16269913834
112,70,0,-0.148346979667,0.726061810178,-1.64803246312,-2.2698239186
112,70,90,-0.205360797755,3.1296907697,-3.63888876119,-1.16269913834
112,80,-90,0.408475391767,-2.69589505801,4.02080965918,-1.49145629658
112,80,0,-0.308257595267,1.28720470228,-1.23477424625,-0.959267973511
112,80,90,-0.408475391767,2.69589505801,-4.02080965918,-1.49145629658
112,90,-90,0.562321825078,-1.93693461515,3.91776157145,-2.02266072422
112,90,0,-0.458801959821,1.80923653086,-0.783998038725,-0.433330869322
112,90,90,-0.562321825078,1.93693461515,-3.91776157145,-2.02266072422
113,0,-90,-0.576666013156,1.9863436069,-3.87066280676,-1.94863708037
113,0,0,0.816870676429,-2.81373586924,-2.73247620885,0.9711203666
113,0,90,0.576666013156,-1.9863436069,3.87066280676,-1.94863708037
113,20,-90,-0.661972870348,-0.144718517693,-2.31898522974,16.0241085019
113,20,0,0.608619582316,-2.0170955631,-2.81198344968,1.39407547224
113,20,90,0.661972870348,0.144718517693,2.31898522974,16.0241085019
113,45,-90,-0.342603174229,-2.59237417581,1.00517572963,-0.387743304578
113,45,0,0.248916825927,-0.693426377186,-2.43721966817,3.51474900343
113,45,90,0.342603174229,2.59237417581,-1.00517572963,-0.387743304578
113,60,-90,-0.00837004572152,-3.23823369582,2.80583912051,-0.866472090675
113,60,0,0.00586418677767,0.180628408534,-1.98481658137,-10.9883965511
113,60,90,0.00837004572152,3.23823369582,-2.80583912051,-0.866472090675
113,70,-90,0.22153071948,-3.18797348208,3.61121423887,-1.13276169302
113,70,0,-0.157429066992,0.760180112335,-1.60575887827,-2.11234002603
113,70,90,-0.22153071948,3.18797348208,-3.61121423887,-1.13276169302
113,80,-90,0.424711610467,-2.75319661692,3.98102362418,-1.44596415662
113,80,0,-0.315938918225,1.31663412809,-1.17791100422,-0.894638061621
113,80,90,-0.424711610467,2.75319661692,-3.98102362418,-1.44596415662
113,90,-90,0.576666013156,-1.9863436069,3.87066280676,-1.94863708037
113,90,0,-0.4648491253,1.83308288211,-0.714272900353,-0.38965663109
113,90,90,-0.576666013156,1.9863436069,-3.87066280676,-1.94863708037
114,0,-90,-0.590834543181,2.03514753915,-3.82238500069,-1.87818569768
114,0,0,0.806682053428,-2.77864084769,-2.79961241997,1.007547421
114,0,90,0.590834543181,-2.03514753915,3.82238500069,-1.87818569768
114,20,-90,-0.667580286474,-0.128020790205,-2.27438425102,17.7657413876
114,20,0,0.597170858164,-1.97672494139,-2.85092581334,1.44224709956
114,20,90,0.667580286474,0.128020790205,2.27438425102,17.7657413876
114,45,-90,-0.334441368545,-2.62455938489,1.0170272861,-0.38750400999
114,45,0,0.237836857638,-0.653327734949,-2.43477367356,3.72672633245
114,45,90,0.334441368545,2.62455938489,-1.0170272861,-0.38750400999
114,60,-90,0.00578255035454,-3.29050887063,2.79196396645,-0.848490028814
114,60,0,-0.00397665271149,0.21689334553,-1.95724730323,-9.02400808307
114,60,90,-0.00578255035454,3.29050887063,-2.79196396645,-0.848490028814
114,70,-90,0.23763075074,-3.24604771679,3.58184932746,-1.10344937597
114,70,0,-0.16606406592,0.792492914047,-1.56238286669,-1.97147865804
114,70,90,-0.23763075074,3.24604771679,-3.58184932746,-1.10344937597
114,80,-90,0.440817175529,-2.81006530173,3.93971079711,-1.401999731
114,80,0,-0.323105706519,1.34401298639,-1.12004621736,-0.833359668915
114,80,90,-0.440817175529,2.81006530173,-3.93971079711,-1.401999731
114,90,-90,0.590834543181,-2.03514753915,3.82238500069,-1.87818569768
114,90,0,-0.470329943724,1.85469590425,-0.643677530478,-0.347052866728
114,90,90,-0.590834543181,2.03514753915,-3.82238500069,-1.87818569768
115,0,-90,-0.604823099281,2.08333154574,-3.77294285912,-1.81101412631
115,0,0,0.796247707259,-2.74269942521,-2.86589584203,1.04491794314
115,0,90,0.604823099281,-2.08333154574,3.77294285912,-1.81101412631
115,20,-90,-0.672991554982,-0.112027772671,-2.22968781196,19.9029915423
115,20,0,0.585687215715,-1.93633181265,-2.88879859771,1.49189233934
115,20,90,0.672991554982,0.112027772671,2.22968781196,19.9029915423
115,45,-90,-0.326188895909,-2.65710212941,1.02763975149,-0.386752071029
115,45,0,0.226988326402,-0.614228418685,-2.43117013738,3.95808800671
115,45,90,0.326188895909,2.65710212941,-1.02763975149,-0.386752071029
115,60,-90,0.0199236793505,-3.34278371739,2.77643356029,-0.830575291439
115,60,0,-0.0134440999347,0.251624558925,-1.92857247445,-7.66448427246
115,60,90,-0.0199236793505,3.34278371739,-2.77643356029,-0.830575291439
115,70,-90,0.253651193566,-3.30387688024,3.55079601091,-1.07473617802
115,70,0,-0.174244640145,0.822971814906,-1.51797825652,-1.8445081946
115,70,90,-0.253651193566,3.30387688024,-3.55079601091,-1.07473617802
115,80,-90,0.456784630345,-2.86647373131,3.89688005845,-1.35946826091
115,80,0,-0.329750845136,1.36931348873,-1.0612610374,-0.775031463672
115,80,90,-0.456784630345,2.86647373131,-3.89688005845,-1.35946826091
115,90,-90,0.604823099281,-2.08333154574,3.77294285912,-1.81101412631
115,90,0,-0.47523773756,1.87404926511,-0.572297938682,-0.305380413064
115,90,90,-0.604823099281,2.08333154574,-3.77294285912,-1.81101412631
