Strike,Dip,Rake,P,SV,SH,SH/SV
0,0,-90,0.818346310427,1.98825032196,1.35584419625,0.681928317216
0,0,0,-0.463752553992,-1.12673100988,2.39254767649,-2.12344175806
0,0,90,-0.818346310427,-1.98825032196,-1.35584419625,0.681928317216
0,20,-90,0.740454113335,-1.11198372397,2.25422526151,-2.02721066227
0,20,0,-0.632295230206,-0.374153940512,3.0230777039,-8.07976978611
0,20,90,-0.740454113335,1.11198372397,-2.25422526151,-2.02721066227
0,45,-90,0.176674951375,-4.09944403863,1.89111975855,-0.461311275561
0,45,0,-0.734196367216,0.618707162231,3.29367853414,5.32348538242
0,45,90,-0.176674951375,4.09944403863,-1.89111975855,-0.461311275561
0,60,-90,-0.256168159111,-4.54434783983,0.959835654379,-0.211215269651
0,60,0,-0.729458019512,1.17017059669,3.15818266333,2.69890789623
0,60,90,0.256168159111,4.54434783983,-0.959835654379,-0.211215269651
0,70,-90,-0.513325173964,-4.1581599453,0.176951436956,-0.0425552261778
0,70,0,-0.698520539439,1.49563217856,2.94709530306,1.9704679702
0,70,90,0.513325173964,4.1581599453,-0.176951436956,-0.0425552261778
0,80,-90,-0.708567596965,-3.27043659347,-0.627275735289,0.191801833597
0,80,0,-0.646358866243,1.77564973352,2.64646194331,1.49041891165
0,80,90,0.708567596965,3.27043659347,0.627275735289,0.191801833597
0,90,-90,-0.818346310427,-1.98825032196,-1.35584419625,0.681928317216
0,90,0,-0.57455790597,2.00171506985,2.26541717658,1.13173808336
0,90,90,0.818346310427,1.98825032196,1.35584419625,0.681928317216
1,0,-90,0.826315270379,2.00761166933,1.31388198015,0.654450260584
1,0,0,-0.449399809816,-1.09185965058,2.41584602387,-2.21259758302
1,0,90,-0.826315270379,-2.00761166933,-1.31388198015,0.654450260584
1,20,-90,0.752935832341,-1.1193695366,2.1959298244,-1.96175592832
1,20,0,-0.614580605397,-0.356113713042,3.08964505292,-8.67600696003
1,20,90,-0.752935832341,1.1193695366,-2.1959298244,-1.96175592832
1,45,-90,0.186596022381,-4.13400827861,1.85043677985,-0.447613225505
1,45,0,-0.715307422633,0.612915380326,3.40251398593,5.55136009823
1,45,90,-0.186596022381,4.13400827861,-1.85043677985,-0.447613225505
1,60,-90,-0.251560739563,-4.5839620234,0.945584269376,-0.206280999831
1,60,0,-0.711577350489,1.15031333813,3.28295053774,2.8539619849
1,60,90,0.251560739563,4.5839620234,-0.945584269376,-0.206280999831
1,70,-90,-0.513052609935,-4.19520906306,0.182945844792,-0.0436082784057
1,70,0,-0.681996769118,1.46709367701,3.07780478899,2.09789247764
1,70,90,0.513052609935,4.19520906306,-0.182945844792,-0.0436082784057
1,80,-90,-0.712662763699,-3.30045197503,-0.601758548667,0.182326103582
1,80,0,-0.631694061023,1.7392971169,2.77914149917,1.59785322022
1,80,90,0.712662763699,3.30045197503,0.601758548667,0.182326103582
1,90,-90,-0.826315270379,-2.00761166933,-1.31388198015,0.654450260584
