Strike,Dip,Rake,P,SV,SH,SH/SV
110,0,-90,-0.339136566521,1.22885052582,-4.4947350606,-3.65767436004
110,0,0,0.934814806664,-3.38727161891,-1.63062138619,0.481396702021
110,0,90,0.339136566521,-1.22885052582,4.4947350606,-3.65767436004
110,20,-90,-0.581619824865,-0.401832781422,-3.02395561422,7.52540796576
110,20,0,0.780346209673,-2.7724888529,-2.06620935485,0.745254341668
110,20,90,0.581619824865,0.401832781422,3.02395561422,7.52540796576
110,45,-90,-0.500672598185,-2.08962786138,0.652176855825,-0.312101914355
110,45,0,0.458213619721,-1.54646688315,-2.25688540701,1.45938165997
110,45,90,0.500672598185,2.08962786138,-0.652176855825,-0.312101914355
110,60,-90,-0.264026905746,-2.42409607532,2.81216925521,-1.16008985116
110,60,0,0.219028813682,-0.65419992187,-2.16725997625,3.31284046941
110,60,90,0.264026905746,2.42409607532,-2.81216925521,-1.16008985116
110,70,-90,-0.0620324603806,-2.28454101488,3.86237801872,-1.69065820818
110,70,0,0.0502189336866,-0.0306611042785,-2.0246562828,66.0333778068
110,70,90,0.0620324603806,2.28454101488,-3.86237801872,-1.69065820818
110,80,-90,0.147444015208,-1.86943659181,4.44672699054,-2.37864552883
110,80,0,-0.120116823197,0.593809335451,-1.82053443271,-3.06585687362
110,80,90,-0.147444015208,1.86943659181,-4.44672699054,-2.37864552883
110,90,-90,0.339136566521,-1.22885052582,4.4947350606,-3.65767436004
110,90,0,-0.28680289119,1.20023717901,-1.56109656512,-1.30065673055
110,90,90,-0.339136566521,1.22885052582,-4.4947350606,-3.65767436004
111,0,-90,-0.355399682329,1.28777940694,-4.46559222351,-3.46766860803
111,0,0,0.928753680645,-3.36530932221,-1.70881697776,0.50777411945
111,0,90,0.355399682329,-1.28777940694,4.46559222351,-3.46766860803
111,20,-90,-0.590793970738,-0.370434319879,-2.98437626637,8.05642486727
111,20,0,0.770613154409,-2.73495473864,-2.12379472418,0.776537430099
111,20,90,0.590793970738,0.370434319879,2.98437626637,8.05642486727
111,45,-90,-0.49556340882,-2.11100923241,0.679020309519,-0.321656721863
111,45,0,0.445580542634,-1.49600506269,-2.27931718571,1.52360258835
111,45,90,0.49556340882,2.11100923241,-0.679020309519,-0.321656721863
111,60,-90,-0.25147066006,-2.47207732636,2.82084494948,-1.14108281299
111,60,0,0.205775043409,-0.600435824589,-2.16611160919,3.60756557235
111,60,90,0.25147066006,2.47207732636,-2.82084494948,-1.14108281299
111,70,-90,-0.0462900672692,-2.34342683718,3.85730794974,-1.64601168193
111,70,0,0.0370530766735,0.0232726631082,-2.00773110489,-86.2699337653
111,70,90,0.0462900672692,2.34342683718,-3.85730794974,-1.64601168193
111,80,-90,0.164473790803,-1.93212448613,4.42852268345,-2.29204832051
111,80,0,-0.132794729047,0.646274022713,-1.78834670693,-2.76716476924
111,80,90,-0.164473790803,1.93212448613,-4.42852268345,-2.29204832051
111,90,-90,0.355399682329,-1.28777940694,4.46559222351,-3.46766860803
111,90,0,-0.298607634122,1.24963867317,-1.51462429922,-1.21204979626
111,90,90,-0.355399682329,1.28777940694,-4.46559222351,-3.46766860803
112,0,-90,-0.371554539951,1.34631601798,-4.43508912376,-3.29424077597
112,0,0,0.922409647257,-3.34232191969,-1.78649204713,0.534506277389
112,0,90,0.371554539951,-1.34631601798,4.43508912376,-3.29424077597
