Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
18,54.1820730891,62.3663612718,179.400758126,16.8002249187,276.15007694,21.2688742325,34,28,128,0.017869540856,"[35, 'Combined', 140374, array([-4.91412348,  0.66117243, -0.28732971]), array([-0.98682913,  0.15078749, -0.05857818])]"
32,180.36736212,9.59060845492,64.0235147266,69.1547421427,273.575769239,18.3265696312,48,84,-160,0.0180608597123,"[35, 'Combined', 201970, array([-4.88440384,  0.72633875, -0.37714042]), array([-0.98682913,  0.15078749, -0.05857818])]"
25,36.7250006035,53.5597800904,175.819264513,29.1630137638,277.444727913,19.8552938627,46,36,146,0.0180953523017,"[35, 'Combined', 189703, array([-4.88002935,  0.72465397, -0.37672786]), array([-0.98682913,  0.15078749, -0.05857818])]"
132,115.771753592,66.8536738966,8.53241109253,7.2205195332,275.617996388,21.8664490145,352,24,72,0.0183601331867,"[35, 'Combined', 1427886, array([-4.91248426,  0.72029252, -0.37784324]), array([-0.98682913,  0.15078749, -0.05857818])]"
81,162.246292338,42.9170067471,19.7113666296,40.485423022,271.80860445,19.8043315262,212,76,132,0.0184611112042,"[35, 'Combined', 865596, array([-4.89825571,  0.81581885, -0.22811306]), array([-0.98682913,  0.15078749, -0.05857818])]"
99,175.949014979,18.0577365716,44.0,64.0,272.050985021,18.0577365716,314,64,0,0.0187650147355,"[35, 'Combined', 1277550, array([-4.88048762,  0.78587833, -0.20598683]), array([-0.98682913,  0.15078749, -0.05857818])]"
74,146.733973783,57.0410088726,12.5294439439,24.3263919775,272.632766837,20.8161622236,202,70,116,0.0187934663031,"[35, 'Combined', 824548, array([-4.90703405,  0.82272138, -0.23212028]), array([-0.98682913,  0.15078749, -0.05857818])]"
57,24.898924892,41.6520739367,169.149666442,42.3784077181,277.259809473,18.8127507836,156,76,46,0.0189874812291,"[35, 'Combined', 638753, array([-4.86904559,  0.72508669, -0.38087981]), array([-0.98682913,  0.15078749, -0.05857818])]"
19,48.1108978122,61.0584476809,178.05386438,19.5461064304,275.667328324,20.4647509425,36,30,132,0.0191155148319,"[35, 'Combined', 148656, array([-4.89666438,  0.79656605, -0.20895863]), array([-0.98682913,  0.15078749, -0.05857818])]"
62,47.1361123786,60.7815903457,178.606447572,20.3240428984,276.379188259,20.0592408487,170,68,68,0.0193692848025,"[35, 'Combined', 694744, array([-4.88077959,  0.84042575, -0.26872208]), array([-0.98682913,  0.15078749, -0.05857818])]"
15,62.2162765027,64.6875641635,180.574344369,12.6612023162,275.660725463,21.5366901962,28,26,120,0.0194134517192,"[35, 'Combined', 115890, array([-4.92033443,  0.66006824, -0.25826511]), array([-0.98682913,  0.15078749, -0.05857818])]"
95,173.800275774,23.3452250141,36.0386152844,59.7591344973,271.914695532,18.1096460043,314,60,4,0.0194659165538,"[35, 'Combined', 1277192, array([-4.87592444,  0.82332047, -0.23260969]), array([-0.98682913,  0.15078749, -0.05857818])]"
16,57.1487203795,64.0991046348,181.223846872,15.2199494884,277.041572719,20.4338365965,32,28,124,0.0195097575891,"[35, 'Combined', 132272, array([-4.87979317,  0.812047  , -0.36145987]), array([-0.98682913,  0.15078749, -0.05857818])]"
3,90.1289973177,68.8882728619,184.344836519,1.62584348794,274.970520222,21.043003136,8,24,94,0.0196343264007,"[35, 'Combined', 34697, array([-4.89931338,  0.83986689, -0.25398973]), array([-0.98682913,  0.15078749, -0.05857818])]"
69,127.22727993,64.2938142095,8.66405930656,12.9620762821,273.383665023,21.7931280638,194,68,104,0.0196487434692,"[35, 'Combined', 791962, array([-4.92785412,  0.70658425, -0.20547037]), array([-0.98682913,  0.15078749, -0.05857818])]"
136,107.406216851,68.3121629103,7.1507530761,4.05012010135,275.571418857,21.2684005789,358,24,80,0.0196579887159,"[35, 'Combined', 1452190, array([-4.89685825,  0.82311949, -0.35545782]), array([-0.98682913,  0.15078749, -0.05857818])]"
65,58.0776199001,63.5222186035,180.131015772,14.8071558781,276.085900781,21.428114419,174,68,74,0.0197475488951,"[35, 'Combined', 710947, array([-4.91671186,  0.65203432, -0.29014562]), array([-0.98682913,  0.15078749, -0.05857818])]"
11,67.2573561479,66.7396387735,182.190248951,10.2708489194,276.102388124,20.6321549943,24,26,114,0.0197905803183,"[35, 'Combined', 99687, array([-4.88690095,  0.84594808, -0.29772974]), array([-0.98682913,  0.15078749, -0.05857818])]"
120,146.567748828,56.1351983481,13.3464002678,24.6820278607,272.834621243,21.6518837018,326,32,38,0.019911809787,"[35, 'Combined', 1323289, array([-4.93048411,  0.68001489, -0.22422432]), array([-0.98682913,  0.15078749, -0.05857818])]"
58,25.7537076621,42.9170067471,168.28863337,40.485423022,276.19139555,19.8043315262,156,76,48,0.0202558827069,"[35, 'Combined', 638754, array([-4.90180962,  0.64918916, -0.27199297]), array([-0.98682913,  0.15078749, -0.05857818])]"
21,44.7034769027,59.3116040736,178.711059881,22.4075385393,277.265937092,19.8382195102,40,32,136,0.0203546627238,"[35, 'Combined', 165038, array([-4.87035836,  0.82528508, -0.35102853]), array([-0.98682913,  0.15078749, -0.05857818])]"
24,38.9215007328,54.9482571866,175.230308312,26.8975491591,276.293199973,20.7200674763,44,34,144,0.0203786849692,"[35, 'Combined', 181422, array([-4.91006029,  0.64896476, -0.27670744]), array([-0.98682913,  0.15078749, -0.05857818])]"
38,24.0473233764,40.4195082319,167.06738531,43.1674452505,276.481617937,19.5127206998,52,46,162,0.0204453747961,"[35, 'Combined', 214911, array([-4.89504442,  0.64910146, -0.31585429]), array([-0.98682913,  0.15078749, -0.05857818])]"
124,141.961645451,60.0771019725,11.9061106628,20.3240428984,273.740612866,20.9803291331,332,30,46,0.0204541643322,"[35, 'Combined', 1347413, array([-4.90074339,  0.8479326 , -0.32000986]), array([-0.98682913,  0.15078749, -0.05857818])]"
67,90.0626775345,68.9371754303,184.813749126,1.82702950763,275.514451652,20.9758514213,184,66,88,0.0204580019728,"[35, 'Combined', 751274, array([-4.89310031,  0.84989713, -0.30351542]), array([-0.98682913,  0.15078749, -0.05857818])]"
84,168.377698728,33.2646038555,28.582650709,49.3399955401,272.645066235,20.5904659018,218,82,140,0.0205147484845,"[35, 'Combined', 890440, array([-4.92362185,  0.64943297, -0.29974224]), array([-0.98682913,  0.15078749, -0.05857818])]"
42,19.8206292118,35.8427432187,163.200551672,48.0124023488,275.523994508,18.8732925544,52,50,166,0.0205904343994,"[35, 'Combined', 215273, array([-4.88804483,  0.73113582, -0.18920596]), array([-0.98682913,  0.15078749, -0.05857818])]"
27,178.167844429,12.4106189571,55.7957348092,67.6570907469,272.33508773,18.2743197341,46,86,-158,0.0208079029656,"[35, 'Combined', 194051, array([-4.89051764,  0.73072614, -0.18832871]), array([-0.98682913,  0.15078749, -0.05857818])]"
