Model,Depth,173a Pa,173a Sa,235b Pa,235b Sa,325a Pa,325a Sa,325ab Pa,325ab Sa,173ab Pa,173ab Sa,183a Pa,183a Sa
NewGudkova,45,25.7155744123,23.2554592445,25.9138684883,23.3840147745,24.2745826206,22.3023153954,25.0596018501,22.8237305913,25.8087372229,23.3164243439,23.4284507012,21.7196255933
NewGudkova,35,25.7616857903,23.2873853891,25.9592949215,23.4151953432,24.320875696,22.3362493358,25.1061680296,22.8566196853,25.8550433362,23.3478141362,23.4719003771,21.7538849657
NewGudkova,25,25.8069143311,23.3189663656,26.0048703578,23.4460031066,24.3667774764,22.3702176427,25.1522417464,22.8892637515,25.9007439319,23.3789523346,23.514619826,21.7879270205
NewGudkova,15,25.8527326404,23.350121962,26.0498141732,23.4764087817,24.4121591275,22.4039229718,25.1975711234,22.9212398292,25.9455440126,23.4099751476,23.5576946273,21.8216166541
NewGudkova,10,25.875462418,23.3655901682,26.0719628308,23.4914347503,24.4343455321,22.4206279472,25.2195291903,22.936576547,25.9682306199,23.4253915326,23.5789844589,21.8386779802
NewGudkova,5,25.8862153261,23.3722311492,26.0820227211,23.497750959,24.4459348304,22.4285598294,25.2310932577,22.9439705282,25.9788740959,23.4318711525,23.5905671583,21.8470222384
