,Strike,Dip,Rake,Misfit,Extra
79,54,44,-100,0.0248839779334,"[535, 'iasp91', 123700, array([ 0.06870963, -1.99211189, -2.28242219]), array([ 0.        , -0.64981277, -0.76009431])]"
323,170,50,44,0.0249357158443,"[535, 'iasp91', 385072, array([ 0.05690476, -1.78426509, -2.03141369]), array([ 0.        , -0.64981277, -0.76009431])]"
166,142,78,44,0.0249695291581,"[535, 'iasp91', 323472, array([-0.13669567, -3.55566571, -4.1616451 ]), array([ 0.        , -0.64981277, -0.76009431])]"
139,134,86,42,0.0250708525665,"[535, 'iasp91', 305871, array([-0.14779355, -3.83360176, -4.47882529]), array([ 0.        , -0.64981277, -0.76009431])]"
153,138,86,42,0.0250795534621,"[535, 'iasp91', 314871, array([-0.04931865, -3.92267557, -4.37471941]), array([ 0.        , -0.64981277, -0.76009431])]"
149,138,82,42,0.0251381190348,"[535, 'iasp91', 314671, array([-0.13027455, -3.67047051, -4.38714471]), array([ 0.        , -0.64981277, -0.76009431])]"
99,62,32,-74,0.0251556159815,"[535, 'iasp91', 141113, array([ 0.02492443, -0.79379484, -0.90218057]), array([ 0.        , -0.64981277, -0.76009431])]"
228,154,68,42,0.0251918352194,"[535, 'iasp91', 349971, array([  3.57238845e-04,  -2.90787209e+00,  -3.58016426e+00]), array([ 0.        , -0.64981277, -0.76009431])]"
225,152,74,40,0.0253110048157,"[535, 'iasp91', 345770, array([ 0.07924689, -3.31136795, -3.72239323]), array([ 0.        , -0.64981277, -0.76009431])]"
0,34,80,-88,0.0254083590722,"[535, 'iasp91', 80506, array([-0.02202289, -0.63439216, -0.72556391]), array([ 0.        , -0.64981277, -0.76009431])]"
240,156,66,42,0.0254701604987,"[535, 'iasp91', 354371, array([ 0.01419107, -2.78086003, -3.42430868]), array([ 0.        , -0.64981277, -0.76009431])]"
4,36,70,-92,0.0255664068161,"[535, 'iasp91', 84504, array([-0.03078285, -0.8533605 , -0.97901007]), array([ 0.        , -0.64981277, -0.76009431])]"
30,44,54,-90,0.0256119268692,"[535, 'iasp91', 101705, array([-0.00392682, -0.84069665, -1.03559342]), array([ 0.        , -0.64981277, -0.76009431])]"
101,64,32,-74,0.0256325524396,"[535, 'iasp91', 145613, array([ 0.03587173, -0.91004116, -1.06323334]), array([ 0.        , -0.64981277, -0.76009431])]"
177,144,76,44,0.0256472818961,"[535, 'iasp91', 327872, array([-0.12650805, -3.42965571, -4.09250495]), array([ 0.        , -0.64981277, -0.76009431])]"
134,130,14,0,0.0256657309054,"[535, 'iasp91', 293250, array([ 0.00644373, -0.31503473, -0.3854791 ]), array([ 0.        , -0.64981277, -0.76009431])]"
346,174,38,44,0.0256798626998,"[535, 'iasp91', 393472, array([ 0.03963028, -1.13378298, -1.29599052]), array([ 0.        , -0.64981277, -0.76009431])]"
158,140,82,40,0.0257686526637,"[535, 'iasp91', 319170, array([-0.05742736, -3.60602533, -4.42644649]), array([ 0.        , -0.64981277, -0.76009431])]"
81,54,44,-96,0.0258924762382,"[535, 'iasp91', 123702, array([ 0.0600218 , -1.69975835, -2.03985299]), array([ 0.        , -0.64981277, -0.76009431])]"
125,118,14,-12,0.0259293268758,"[535, 'iasp91', 266244, array([ 0.00654426, -0.31468338, -0.38519091]), array([ 0.        , -0.64981277, -0.76009431])]"
288,164,60,44,0.0260179376879,"[535, 'iasp91', 372072, array([ 0.05252961, -2.432087  , -2.72304591]), array([ 0.        , -0.64981277, -0.76009431])]"
47,48,46,-80,0.0260961700005,"[535, 'iasp91', 110310, array([ 0.00171205, -0.34277589, -0.42264116]), array([ 0.        , -0.64981277, -0.76009431])]"
10,38,66,-92,0.0260971308026,"[535, 'iasp91', 88804, array([-0.02377103, -0.83331801, -1.01263798]), array([ 0.        , -0.64981277, -0.76009431])]"
340,172,56,52,0.0261059758542,"[535, 'iasp91', 389876, array([ 0.00375229, -1.97349521, -2.19013742]), array([ 0.        , -0.64981277, -0.76009431])]"
198,148,74,46,0.0261616269749,"[535, 'iasp91', 336773, array([-0.10311116, -3.39837525, -3.84289125]), array([ 0.        , -0.64981277, -0.76009431])]"
87,56,42,-94,0.0261632069434,"[535, 'iasp91', 128103, array([ 0.06783877, -1.71171411, -1.98634269]), array([ 0.        , -0.64981277, -0.76009431])]"
68,52,44,-96,0.0262297296415,"[535, 'iasp91', 119202, array([ 0.03828114, -1.67241447, -1.87373903]), array([ 0.        , -0.64981277, -0.76009431])]"
210,150,74,38,0.0262452325248,"[535, 'iasp91', 341269, array([ 0.06964637, -3.20644955, -3.92501934]), array([ 0.        , -0.64981277, -0.76009431])]"
327,170,56,52,0.0262695748296,"[535, 'iasp91', 385376, array([-0.02165663, -1.93545249, -2.3834763 ]), array([ 0.        , -0.64981277, -0.76009431])]"
331,172,38,42,0.0263373633734,"[535, 'iasp91', 388971, array([ 0.0433829 , -1.16387288, -1.39228875]), array([ 0.        , -0.64981277, -0.76009431])]"
98,62,30,-70,0.0263994016362,"[535, 'iasp91', 141015, array([ 0.01219469, -0.49883835, -0.60941078]), array([ 0.        , -0.64981277, -0.76009431])]"
85,56,40,-88,0.0264136850068,"[535, 'iasp91', 128006, array([ 0.04449007, -1.35582419, -1.53836864]), array([ 0.        , -0.64981277, -0.76009431])]"
148,138,14,8,0.0264546214092,"[535, 'iasp91', 311254, array([ 0.00579479, -0.31418354, -0.35054246]), array([ 0.        , -0.64981277, -0.76009431])]"
110,90,20,-44,0.0265289520678,"[535, 'iasp91', 203528, array([ 0.02575059, -0.64119917, -0.7586772 ]), array([ 0.        , -0.64981277, -0.76009431])]"
137,132,88,42,0.0265428653831,"[535, 'iasp91', 301471, array([-0.15523058, -3.89769471, -4.51155946]), array([ 0.        , -0.64981277, -0.76009431])]"
83,56,36,-78,0.0265594556611,"[535, 'iasp91', 127811, array([ 0.0138696 , -0.69106847, -0.7717836 ]), array([ 0.        , -0.64981277, -0.76009431])]"
296,166,52,40,0.0266303344062,"[535, 'iasp91', 376170, array([ 0.07892346, -1.96455795, -2.32677481]), array([ 0.        , -0.64981277, -0.76009431])]"
294,166,26,34,0.0266491155283,"[535, 'iasp91', 374867, array([ 0.02933881, -0.77475247, -0.88889387]), array([ 0.        , -0.64981277, -0.76009431])]"
206,148,80,38,0.0267272433599,"[535, 'iasp91', 337069, array([ 0.12269151, -3.54420945, -4.03122163]), array([ 0.        , -0.64981277, -0.76009431])]"
242,156,66,46,0.0267322980734,"[535, 'iasp91', 354373, array([-0.05558085, -2.78250215, -3.41446225]), array([ 0.        , -0.64981277, -0.76009431])]"
265,160,62,44,0.0268286278871,"[535, 'iasp91', 363172, array([ 0.00730255, -2.50813819, -3.09796625]), array([ 0.        , -0.64981277, -0.76009431])]"
147,136,88,42,0.0269501383677,"[535, 'iasp91', 310471, array([-0.05576283, -3.9865335 , -4.43128385]), array([ 0.        , -0.64981277, -0.76009431])]"
253,158,64,44,0.0269559065942,"[535, 'iasp91', 358772, array([-0.0067543 , -2.64390173, -3.26660471]), array([ 0.        , -0.64981277, -0.76009431])]"
75,54,40,-82,0.0269577074514,"[535, 'iasp91', 123509, array([ 0.0188524 , -0.80386999, -0.98431818]), array([ 0.        , -0.64981277, -0.76009431])]"
96,60,36,-80,0.0269698214363,"[535, 'iasp91', 136810, array([ 0.04052691, -1.03900461, -1.2402657 ]), array([ 0.        , -0.64981277, -0.76009431])]"
313,168,56,46,0.0270416259304,"[535, 'iasp91', 380873, array([ 0.04337254, -2.12720577, -2.37360342]), array([ 0.        , -0.64981277, -0.76009431])]"
305,166,62,56,0.027091912038,"[535, 'iasp91', 376678, array([-0.09844373, -2.36107099, -2.77218976]), array([ 0.        , -0.64981277, -0.76009431])]"
311,168,54,44,0.0271137639516,"[535, 'iasp91', 380772, array([ 0.05911332, -2.03538981, -2.29094976]), array([ 0.        , -0.64981277, -0.76009431])]"
317,168,60,52,0.0271978364027,"[535, 'iasp91', 381076, array([-0.02015363, -2.29288832, -2.54214609]), array([ 0.        , -0.64981277, -0.76009431])]"
279,162,62,50,0.0272196704027,"[535, 'iasp91', 367675, array([-0.06160011, -2.45195677, -2.99981476]), array([ 0.        , -0.64981277, -0.76009431])]"
156,140,80,42,0.0273618531134,"[535, 'iasp91', 319071, array([-0.12008828, -3.57335385, -4.32709358]), array([ 0.        , -0.64981277, -0.76009431])]"
167,142,80,40,0.0274574315731,"[535, 'iasp91', 323570, array([-0.04565006, -3.52054516, -4.34356726]), array([ 0.        , -0.64981277, -0.76009431])]"
157,140,80,44,0.0274807667823,"[535, 'iasp91', 319072, array([-0.14565486, -3.67339556, -4.22081493]), array([ 0.        , -0.64981277, -0.76009431])]"
135,130,16,-2,0.0275831167371,"[535, 'iasp91', 293349, array([ 0.01678359, -0.52738252, -0.59514978]), array([ 0.        , -0.64981277, -0.76009431])]"
76,54,42,-92,0.0276564645898,"[535, 'iasp91', 123604, array([ 0.04288924, -1.51468745, -1.70075548]), array([ 0.        , -0.64981277, -0.76009431])]"
250,158,64,38,0.0277366226004,"[535, 'iasp91', 358769, array([ 0.09751034, -2.6700519 , -3.21999594]), array([ 0.        , -0.64981277, -0.76009431])]"
284,164,24,32,0.0277534243247,"[535, 'iasp91', 370266, array([ 0.02564881, -0.71007218, -0.807113  ]), array([ 0.        , -0.64981277, -0.76009431])]"
262,160,62,38,0.0278386614478,"[535, 'iasp91', 363169, array([ 0.11029887, -2.57791911, -3.01001708]), array([ 0.        , -0.64981277, -0.76009431])]"
291,164,62,48,0.0278424552597,"[535, 'iasp91', 372174, array([ 0.00454549, -2.52941176, -2.79726944]), array([ 0.        , -0.64981277, -0.76009431])]"
336,172,52,48,0.0278781087742,"[535, 'iasp91', 389674, array([ 0.03636085, -1.81167947, -2.01717337]), array([ 0.        , -0.64981277, -0.76009431])]"
115,108,18,-26,0.0278994478175,"[535, 'iasp91', 243937, array([ 0.0288157 , -0.67081283, -0.78504774]), array([ 0.        , -0.64981277, -0.76009431])]"
282,162,64,54,0.0279311872025,"[535, 'iasp91', 367777, array([-0.11001928, -2.59161995, -3.00931479]), array([ 0.        , -0.64981277, -0.76009431])]"
23,42,58,-90,0.0279603132181,"[535, 'iasp91', 97405, array([-0.009093  , -0.77318161, -0.95539418]), array([ 0.        , -0.64981277, -0.76009431])]"
349,174,46,48,0.0279909841782,"[535, 'iasp91', 393874, array([ 0.02758176, -1.40050462, -1.72392713]), array([ 0.        , -0.64981277, -0.76009431])]"
188,146,74,46,0.0283223281519,"[535, 'iasp91', 332273, array([-0.14633087, -3.35553033, -3.93778717]), array([ 0.        , -0.64981277, -0.76009431])]"
16,40,60,-92,0.028332938231,"[535, 'iasp91', 93004, array([-0.01969063, -0.90622825, -1.00924019]), array([ 0.        , -0.64981277, -0.76009431])]"
175,142,86,40,0.0283339940567,"[535, 'iasp91', 323870, array([ 0.06885042, -3.86496989, -4.29243778]), array([ 0.        , -0.64981277, -0.76009431])]"
239,156,66,40,0.0283903339045,"[535, 'iasp91', 354370, array([ 0.04907236, -2.77495536, -3.42297563]), array([ 0.        , -0.64981277, -0.76009431])]"
199,148,76,38,0.0284030096012,"[535, 'iasp91', 336869, array([ 0.05629807, -3.29744721, -4.06893993]), array([ 0.        , -0.64981277, -0.76009431])]"
271,162,24,30,0.0284285829654,"[535, 'iasp91', 365765, array([ 0.02732985, -0.71646943, -0.8633839 ]), array([ 0.        , -0.64981277, -0.76009431])]"
306,168,30,36,0.02843858811,"[535, 'iasp91', 379568, array([ 0.03921035, -0.93456963, -1.07717554]), array([ 0.        , -0.64981277, -0.76009431])]"
295,166,28,34,0.0285014505719,"[535, 'iasp91', 374967, array([ 0.03529326, -0.85635084, -1.02354302]), array([ 0.        , -0.64981277, -0.76009431])]"
91,58,36,-80,0.0285865336112,"[535, 'iasp91', 132310, array([ 0.02768679, -0.9522192 , -1.06750677]), array([ 0.        , -0.64981277, -0.76009431])]"
103,68,26,-64,0.0286662337125,"[535, 'iasp91', 154318, array([ 0.01326984, -0.48588375, -0.59540659]), array([ 0.        , -0.64981277, -0.76009431])]"
88,56,42,-92,0.028691631695,"[535, 'iasp91', 128104, array([ 0.06272005, -1.55685152, -1.86816073]), array([ 0.        , -0.64981277, -0.76009431])]"
202,148,76,44,0.0287356602159,"[535, 'iasp91', 336872, array([-0.03774824, -3.51519834, -3.88743   ]), array([ 0.        , -0.64981277, -0.76009431])]"
114,106,18,-28,0.0287501484462,"[535, 'iasp91', 239436, array([ 0.02804967, -0.66974651, -0.7701176 ]), array([ 0.        , -0.64981277, -0.76009431])]"
260,158,66,52,0.0288193006469,"[535, 'iasp91', 358876, array([-0.12287917, -2.79117274, -3.24693966]), array([ 0.        , -0.64981277, -0.76009431])]"
308,168,48,40,0.0289193780057,"[535, 'iasp91', 380470, array([ 0.07663155, -1.75428271, -2.03255543]), array([ 0.        , -0.64981277, -0.76009431])]"
322,170,48,44,0.0289353093091,"[535, 'iasp91', 384972, array([ 0.04555911, -1.62626191, -1.99283155]), array([ 0.        , -0.64981277, -0.76009431])]"
90,58,34,-76,0.0289543819181,"[535, 'iasp91', 132212, array([ 0.01517047, -0.68000149, -0.75655645]), array([ 0.        , -0.64981277, -0.76009431])]"
301,166,60,48,0.0290234482113,"[535, 'iasp91', 376574, array([ 0.01616779, -2.37760451, -2.62491931]), array([ 0.        , -0.64981277, -0.76009431])]"
93,58,40,-90,0.029025685582,"[535, 'iasp91', 132505, array([ 0.06825809, -1.57520947, -1.81955445]), array([ 0.        , -0.64981277, -0.76009431])]"
117,110,18,-24,0.029029429247,"[535, 'iasp91', 248438, array([ 0.02950033, -0.67294637, -0.79784501]), array([ 0.        , -0.64981277, -0.76009431])]"
332,172,40,42,0.0290951061084,"[535, 'iasp91', 389071, array([ 0.0511619 , -1.29034963, -1.47087617]), array([ 0.        , -0.64981277, -0.76009431])]"
272,162,58,38,0.029119752808,"[535, 'iasp91', 367469, array([ 0.10289001, -2.33733076, -2.77043329]), array([ 0.        , -0.64981277, -0.76009431])]"
343,172,60,58,0.0291896595255,"[535, 'iasp91', 390079, array([-0.06019664, -2.11430894, -2.36485269]), array([ 0.        , -0.64981277, -0.76009431])]"
3,36,66,-98,0.0292020995411,"[535, 'iasp91', 84301, array([-0.05220561, -1.19933339, -1.42663046]), array([ 0.        , -0.64981277, -0.76009431])]"
347,174,42,46,0.0292121422991,"[535, 'iasp91', 393673, array([ 0.03416984, -1.24417189, -1.52654749]), array([ 0.        , -0.64981277, -0.76009431])]"
169,142,80,44,0.0292193419251,"[535, 'iasp91', 323572, array([-0.09915463, -3.7182312 , -4.15050876]), array([ 0.        , -0.64981277, -0.76009431])]"
178,144,78,40,0.0292802112248,"[535, 'iasp91', 327970, array([-0.03327308, -3.42715673, -4.24935634]), array([ 0.        , -0.64981277, -0.76009431])]"
63,50,46,-90,0.029324276124,"[535, 'iasp91', 114805, array([ 0.01917967, -1.10409061, -1.36498478]), array([ 0.        , -0.64981277, -0.76009431])]"
249,156,68,50,0.0293677022377,"[535, 'iasp91', 354475, array([-0.09989834, -2.98744801, -3.36147948]), array([ 0.        , -0.64981277, -0.76009431])]"
205,148,80,36,0.0293813939258,"[535, 'iasp91', 337068, array([ 0.15196696, -3.44489483, -4.0913611 ]), array([ 0.        , -0.64981277, -0.76009431])]"
320,170,40,40,0.0294264703505,"[535, 'iasp91', 384570, array([ 0.05520136, -1.31299596, -1.57321963]), array([ 0.        , -0.64981277, -0.76009431])]"
55,50,44,-88,0.0294488688998,"[535, 'iasp91', 114706, array([ 0.01204449, -1.04065418, -1.14949274]), array([ 0.        , -0.64981277, -0.76009431])]"
367,178,26,48,0.0294774384105,"[535, 'iasp91', 401874, array([ 0.00857452, -0.45208465, -0.5586159 ]), array([ 0.        , -0.64981277, -0.76009431])]"
129,122,18,-12,0.0295344559979,"[535, 'iasp91', 275444, array([ 0.03189383, -0.70305818, -0.82775076]), array([ 0.        , -0.64981277, -0.76009431])]"
187,146,74,44,0.0295493503172,"[535, 'iasp91', 332272, array([-0.11512416, -3.29686558, -4.01257082]), array([ 0.        , -0.64981277, -0.76009431])]"
307,168,32,36,0.0295643222363,"[535, 'iasp91', 379668, array([ 0.04609704, -1.03084833, -1.19464452]), array([ 0.        , -0.64981277, -0.76009431])]"
64,52,38,-76,0.0295965475389,"[535, 'iasp91', 118912, array([ 0.0021255 , -0.30281172, -0.33393614]), array([ 0.        , -0.64981277, -0.76009431])]"
131,124,18,-10,0.0296034953629,"[535, 'iasp91', 279945, array([ 0.03200171, -0.70999486, -0.8246776 ]), array([ 0.        , -0.64981277, -0.76009431])]"
237,154,72,38,0.02974662238,"[535, 'iasp91', 350169, array([ 0.12377695, -3.15859121, -3.58692648]), array([ 0.        , -0.64981277, -0.76009431])]"
