,Strike,Dip,Rake,Misfit,Extra
119,112,14,-18,0.0187868883922,"[535, 'iasp91', 252741, array([ 0.00617371, -0.31768829, -0.36144037]), array([ 0.        , -0.64981277, -0.76009431])]"
7,36,86,-82,0.0188663748786,"[535, 'iasp91', 85309, array([-0.00238092, -0.20539226, -0.23203323]), array([ 0.        , -0.64981277, -0.76009431])]"
344,174,22,44,0.0189560890333,"[535, 'iasp91', 392672, array([ 0.00646685, -0.36500753, -0.44034611]), array([ 0.        , -0.64981277, -0.76009431])]"
54,50,42,-78,0.0189780810075,"[535, 'iasp91', 114611, array([ 0.00222733, -0.31354232, -0.38074498]), array([ 0.        , -0.64981277, -0.76009431])]"
109,84,18,-46,0.0189971474404,"[535, 'iasp91', 189927, array([ 0.00672266, -0.32599228, -0.39204928]), array([ 0.        , -0.64981277, -0.76009431])]"
14,40,58,-98,0.0190428964104,"[535, 'iasp91', 92901, array([-0.03271786, -1.28775873, -1.47861015]), array([ 0.        , -0.64981277, -0.76009431])]"
136,132,14,2,0.0190849266678,"[535, 'iasp91', 297751, array([ 0.00632327, -0.31514167, -0.37935469]), array([ 0.        , -0.64981277, -0.76009431])]"
65,52,40,-80,0.0190957252236,"[535, 'iasp91', 119010, array([ 0.00720404, -0.58329807, -0.65892837]), array([ 0.        , -0.64981277, -0.76009431])]"
77,54,42,-90,0.019201654383,"[535, 'iasp91', 123605, array([ 0.03905944, -1.35773546, -1.57533858]), array([ 0.        , -0.64981277, -0.76009431])]"
106,76,22,-56,0.0192917006385,"[535, 'iasp91', 172122, array([ 0.01350008, -0.49088297, -0.56622652]), array([ 0.        , -0.64981277, -0.76009431])]"
303,166,60,52,0.0192956684002,"[535, 'iasp91', 376576, array([-0.04938466, -2.2634696 , -2.72018249]), array([ 0.        , -0.64981277, -0.76009431])]"
312,168,54,46,0.0193144452481,"[535, 'iasp91', 380773, array([ 0.02908953, -1.95170562, -2.36225011]), array([ 0.        , -0.64981277, -0.76009431])]"
172,142,84,38,0.0193351342777,"[535, 'iasp91', 323769, array([ 0.05373226, -3.64530352, -4.41284411]), array([ 0.        , -0.64981277, -0.76009431])]"
214,150,76,38,0.0195594857808,"[535, 'iasp91', 341369, array([ 0.10062175, -3.34192366, -3.9104567 ]), array([ 0.        , -0.64981277, -0.76009431])]"
2,34,88,-84,0.0195754415865,"[535, 'iasp91', 80908, array([-0.00864201, -0.37367771, -0.44860689]), array([ 0.        , -0.64981277, -0.76009431])]"
209,150,72,46,0.0196069498252,"[535, 'iasp91', 341173, array([-0.0928792 , -3.24799353, -3.75435925]), array([ 0.        , -0.64981277, -0.76009431])]"
171,142,82,42,0.0196706337935,"[535, 'iasp91', 323671, array([-0.0343678 , -3.76031893, -4.23541243]), array([ 0.        , -0.64981277, -0.76009431])]"
111,92,18,-40,0.0199006925498,"[535, 'iasp91', 207930, array([ 0.01490223, -0.4886245 , -0.57428173]), array([ 0.        , -0.64981277, -0.76009431])]"
286,164,58,42,0.0200130674254,"[535, 'iasp91', 371971, array([ 0.06736633, -2.30904048, -2.66827006]), array([ 0.        , -0.64981277, -0.76009431])]"
365,176,58,60,0.0200293361052,"[535, 'iasp91', 398980, array([-0.0518694 , -1.83809451, -2.11691436]), array([ 0.        , -0.64981277, -0.76009431])]"
145,136,86,42,0.0201132129477,"[535, 'iasp91', 310371, array([-0.09826624, -3.88096271, -4.43747655]), array([ 0.        , -0.64981277, -0.76009431])]"
66,52,42,-86,0.0201614590257,"[535, 'iasp91', 119107, array([ 0.0176492 , -0.99894654, -1.13036324]), array([ 0.        , -0.64981277, -0.76009431])]"
9,38,64,-94,0.0201717359144,"[535, 'iasp91', 88703, array([-0.03026522, -0.98191034, -1.14392845]), array([ 0.        , -0.64981277, -0.76009431])]"
264,160,62,42,0.0204613147201,"[535, 'iasp91', 363171, array([ 0.04169941, -2.53449584, -3.07238117]), array([ 0.        , -0.64981277, -0.76009431])]"
368,178,32,48,0.0205661563196,"[535, 'iasp91', 402174, array([ 0.01762503, -0.71952145, -0.86469869]), array([ 0.        , -0.64981277, -0.76009431])]"
335,172,50,48,0.0206484031852,"[535, 'iasp91', 389574, array([ 0.02539155, -1.64426567, -1.99559407]), array([ 0.        , -0.64981277, -0.76009431])]"
6,36,78,-86,0.0206924695499,"[535, 'iasp91', 84907, array([-0.01127858, -0.46088525, -0.55412172]), array([ 0.        , -0.64981277, -0.76009431])]"
207,150,72,42,0.020817270203,"[535, 'iasp91', 341171, array([-0.02643117, -3.16135713, -3.85224798]), array([ 0.        , -0.64981277, -0.76009431])]"
263,160,62,40,0.0208784465449,"[535, 'iasp91', 363170, array([ 0.07604547, -2.5577656 , -3.04305287]), array([ 0.        , -0.64981277, -0.76009431])]"
270,160,64,50,0.020902284059,"[535, 'iasp91', 363275, array([-0.07532534, -2.62684317, -3.13489713]), array([ 0.        , -0.64981277, -0.76009431])]"
259,158,66,50,0.0209167472741,"[535, 'iasp91', 358875, array([-0.08818081, -2.80602032, -3.2552574 ]), array([ 0.        , -0.64981277, -0.76009431])]"
84,56,38,-82,0.020969177488,"[535, 'iasp91', 127909, array([ 0.02536822, -0.95520032, -1.09148433]), array([ 0.        , -0.64981277, -0.76009431])]"
