Model,Depth,173a Pe,173a Se,235b Pe,235b Se,325a Pe,325a Se,325ab Pe,325ab Se,173ab Pe,173ab Se,183a Pe,183a Se
Gudkova,45,61.9109757821,63.1753546539,62.692307469,63.7731205608,56.7048691898,59.0608096799,59.4491002715,61.2485347309,62.2756070146,63.4573698663,53.9388297304,56.7615782515
Gudkova,35,62.3042679712,63.7821244544,63.0944066282,64.3917590802,57.0343299156,59.5853543213,59.8108445721,61.8139620776,62.6750371791,64.0688332609,54.2325080718,57.2459233403
Gudkova,25,62.4831814794,63.9315514865,63.2794948795,64.5406253788,57.1912738375,59.7264898393,59.9803314423,61.9588701663,62.8581701303,64.2175253938,54.3694018131,57.3788186753
Gudkova,15,62.8369297356,64.4043268329,63.6404882568,65.021970465,57.4851322601,60.1384036581,60.3021876227,62.3992498867,63.2126659822,64.6953015467,54.6315849615,57.7577298369
Gudkova,10,53.8279900044,53.6987825645,54.3857869594,54.0972438638,49.9180761074,50.8076871481,52.0114796814,52.3651917625,54.0904230285,53.8877048526,47.7223491453,49.1045163468
Gudkova,5,23.0057668532,21.0282620749,23.1772570216,21.1399751536,21.7433044132,20.1878784813,22.4319196497,20.6469965659,23.0868689883,21.081344991,20.9922134578,19.6694691662
