Model,Depth,173a Pe,173a Se,235b Pe,235b Se,325a Pe,325a Se,325ab Pe,325ab Se,173ab Pe,173ab Se,183a Pe,183a Se
NewGudkova,45,61.9206103044,63.1813933346,62.7017560908,63.7790072444,56.7145901004,59.0672392203,59.4588594261,61.2547139626,62.2852467776,63.4633164632,53.9480061196,56.76814161
NewGudkova,35,62.3139618088,63.7882837655,63.1041119775,64.3977630562,57.0441531097,59.5919980852,59.8207038798,61.820355057,62.6847914102,64.0748572342,54.2416950549,57.2525929317
NewGudkova,25,62.4930769449,63.9377020697,63.2892186436,64.5466168317,57.2011132383,59.7331471013,59.9901904784,61.9652333409,62.8679165124,64.2236304543,54.3785164781,57.3854597239
NewGudkova,15,62.8469234193,64.4105044414,63.6502696073,65.0280185456,57.4949730479,60.1451096321,60.3119772839,62.4055219459,63.2226284977,64.7014909507,54.6409282346,57.764554404
NewGudkova,10,53.8349774684,53.7028607902,54.3924679424,54.1011443254,49.9253005653,50.8124643711,52.0188779383,52.3696970819,54.0973519258,53.8916991184,47.7295575328,49.1094796347
NewGudkova,5,23.0079295407,21.0294116912,23.1792361185,21.1410632371,21.7458676246,20.1893084251,22.4343010842,20.6483031398,23.0890025272,21.0824650299,20.9947515996,19.6710031392
