Strike,Dip,Rake,P,SV,SH,SH/SV
0,0,-90,0.915842236304,1.40229078895,1.17732832693,0.839575026956
0,0,0,-0.320185146258,-0.490251119197,3.36757348178,-6.86907862096
0,0,90,-0.915842236304,-1.40229078895,-1.17732832693,0.839575026956
0,20,-90,0.813844240923,-2.3599127086,1.82835327976,-0.774754622533
0,20,0,-0.433243426095,0.14134711275,4.40218829611,31.1445222364
0,20,90,-0.813844240923,2.3599127086,-1.82835327976,-0.774754622533
0,45,-90,0.174658601593,-5.34255751567,1.44132749796,-0.269782308143
0,45,0,-0.500067840701,0.898007277443,4.94011589099,5.50119805828
0,45,90,-0.174658601593,5.34255751567,-1.44132749796,-0.269782308143
0,60,-90,-0.306662332183,-5.32793592422,0.659562064945,-0.123793167622
0,60,0,-0.495259625802,1.27927417138,4.81776415813,3.76601378025
0,60,90,0.306662332183,5.32793592422,-0.659562064945,-0.123793167622
0,70,-90,-0.589307470865,-4.50834684162,0.0245816346206,-0.00545247193355
0,70,0,-0.473187330053,1.48639486397,4.55234270563,3.0626738668
0,70,90,0.589307470865,4.50834684162,-0.0245816346206,-0.00545247193355
0,80,-90,-0.800873431309,-3.1449845938,-0.613363703625,0.195029160026
0,80,0,-0.436737476726,1.64835220078,4.14860062362,2.51681686818
0,80,90,0.800873431309,3.1449845938,0.613363703625,0.195029160026
0,90,-90,-0.915842236304,-1.40229078895,-1.17732832693,0.839575026956
0,90,0,-0.387017576168,1.76022519007,3.61880541096,2.05587639092
0,90,90,0.915842236304,1.40229078895,1.17732832693,0.839575026956
1,0,-90,0.921290750403,1.41063327506,1.11837675301,0.792818922386
1,0,0,-0.304152729569,-0.465703102785,3.3876077965,-7.27417914169
1,0,90,-0.921290750403,-1.41063327506,-1.11837675301,0.792818922386
1,20,-90,0.822263898471,-2.37283289541,1.74203910934,-0.734160046715
1,20,0,-0.412297967247,0.137671796171,4.45466874156,32.3571629444
1,20,90,-0.822263898471,2.37283289541,-1.74203910934,-0.734160046715
1,45,-90,0.181263977202,-5.37259994592,1.37730223644,-0.256356745394
1,45,0,-0.476574826998,0.860075940489,5.02386070006,5.8411826951
1,45,90,-0.181263977202,5.37259994592,-1.37730223644,-0.256356745394
1,60,-90,-0.303666166153,-5.35812467507,0.633590348942,-0.118248526745
1,60,0,-0.472354949547,1.22383276336,4.91299711541,4.01443502943
1,60,90,0.303666166153,5.35812467507,-0.633590348942,-0.118248526745
1,70,-90,-0.589235421215,-4.53404845868,0.0285865154206,-0.00630485441017
1,70,0,-0.451548986381,1.42131524845,4.65165940534,3.27278512662
1,70,90,0.589235421215,4.53404845868,-0.0285865154206,-0.00630485441017
1,80,-90,-0.803734188289,-3.16309908274,-0.579865273753,0.183321881037
1,80,0,-0.417022935759,1.57561178892,4.2489833781,2.69671971736
1,80,90,0.803734188289,3.16309908274,0.579865273753,0.183321881037
1,90,-90,-0.921290750403,-1.41063327506,-1.11837675301,0.792818922386
1,90,0,-0.369825854257,1.6820341625,3.717204141,2.20994568594
1,90,90,0.921290750403,1.41063327506,1.11837675301,0.792818922386
2,0,-90,0.926458630415,1.4185460686,1.0590845107,0.746598601301
2,0,0,-0.288027665013,-0.441013228696,3.40661021307,-7.72450799976
2,0,90,-0.926458630415,-1.4185460686,-1.0590845107,0.746598601301
