Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum
5,25,-100,0.914876551901,1.15876461217,1.33601849137,1.15296797757,0.789527521203,0.684778360337,62.631608935,64.0344175574,0.000481525659997,0.000323799010774,0.00140422425513,0.0022095489259
5,25,80,0.914876551901,1.15876461217,1.33601849137,1.15296797757,0.789527521203,0.684778360337,62.631608935,64.0344175574,0.000481525659997,0.000323799010774,0.00140422425513,0.0022095489259
20,15,-40,0.90144568406,1.10251178379,1.37736666028,1.24929881071,0.81762906965,0.654470381819,62.631608935,64.0344175574,0.000306571328951,0.00122991554027,0.000273820639069,0.00181030750829
35,45,-20,0.92477279325,1.2820296262,1.48346327696,1.15712090161,0.72133496321,0.62338772224,62.631608935,64.0344175574,0.000406605956724,0.00064650590355,3.05235951464e-05,0.00108363545542
45,35,-50,0.867395716969,1.21486261128,1.47421307828,1.21348131434,0.713986675458,0.588378796626,62.631608935,64.0344175574,1.07207487052e-05,0.000916679887553,0.000969277867802,0.00189667850406
50,40,-40,0.870779424423,1.17541042621,1.41779407766,1.20621192908,0.740830100707,0.614179053322,62.631608935,64.0344175574,1.04772603441e-07,0.000161840935411,0.00014844520839,0.000310390916404
55,20,-40,0.915257230061,1.28956865504,1.49819660269,1.16178118694,0.709739048388,0.610905957479,62.631608935,64.0344175574,0.000330387748003,0.0010953313687,0.000212106663523,0.00163782578022
65,35,-10,0.936268602463,1.30332897672,1.5737205245,1.20746223909,0.718367057888,0.594939563847,62.631608935,64.0344175574,6.9334837601e-07,0.000749740172864,0.00069030298978,0.00144073651102
140,75,50,0.91937406578,1.26470351457,1.58657107898,1.25450041113,0.726948296727,0.579472346345,62.631608935,64.0344175574,0.000381628570685,0.000472806280613,0.00142695286754,0.00228138771884
150,80,-100,0.898342288974,1.12425405235,1.40083190414,1.24601009995,0.799056305022,0.641291996792,62.631608935,64.0344175574,0.000263180460869,0.000568206662007,5.27849126003e-05,0.000884172035476
150,80,80,0.898342288974,1.12425405235,1.40083190414,1.24601009995,0.799056305022,0.641291996792,62.631608935,64.0344175574,0.000263180460869,0.000568206662007,5.27849126003e-05,0.000884172035476
175,65,60,0.868767999947,1.17404387883,1.44992502817,1.23498367847,0.739979157179,0.59918132529,62.631608935,64.0344175574,0.000141127412036,0.000176127572167,0.000535764375932,0.000853019360135
