Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,source,,
40,80,-100,0.894511238,0.297010304,1.8723423,6.303964125,3.011717864,0.477749842,S0173ab_DWAK_10.csv,,
40,80,0,0.491952319,2.843954881,1.019550192,0.358497316,0.172981759,0.48251898,S0173ab_DWAK_10.csv,,
45,60,0,0.689417157,2.7734271,1.347240368,0.485767363,0.248579513,0.511725431,S0173ab_DWAK_10.csv,,
45,70,100,0.671723595,2.599509401,1.369324359,0.526762611,0.258403988,0.490551118,S0173ab_DWAK_10.csv,,
50,70,-90,0.761538006,2.028267089,1.457389287,0.718539139,0.375462389,0.522535751,S0173ab_DWAK_10.csv,,
50,70,90,0.761538006,2.028267089,1.457389287,0.718539139,0.375462389,0.522535751,S0173ab_DWAK_10.csv,,
50,90,0,0.379384424,2.726754313,0.806395941,0.295734726,0.139134069,0.470469164,S0173ab_DWAK_10.csv,,
110,0,45,0.893356366,0.898596303,1.74177239,1.938325792,0.994168753,0.51290075,S0173ab_DWAK_10.csv,,
112,0,45,0.906446316,0.911763032,1.60170773,1.75671493,0.994168753,0.565924918,S0173ab_DWAK_10.csv,,
112,0,0,0.894984955,0.900234444,1.725073336,1.916248981,0.994168753,0.518809801,S0173ab_DWAK_10.csv,,
115,20,-100,0.789146352,1.779270227,1.571640301,0.883306132,0.443522485,0.502116388,S0173ab_DWAK_10.csv,,
115,45,100,0.456866092,3.131483217,0.922767617,0.294674297,0.145894472,0.495104166,S0173ab_DWAK_10.csv,,
125,20,-90,0.747812354,1.983721248,1.560381025,0.786592888,0.376974514,0.479249838,S0173ab_DWAK_10.csv,,
125,20,90,0.747812354,1.983721248,1.560381025,0.786592888,0.376974514,0.479249838,S0173ab_DWAK_10.csv,,
140,20,100,0.734405741,2.210013251,1.426195493,0.645333458,0.332308298,0.514940445,S0173ab_DWAK_10.csv,,
140,90,0,0.379384424,2.726754313,0.806395941,0.295734726,0.139134069,0.470469164,S0173ab_DWAK_10.csv,,
150,20,45,0.836322391,2.040039409,1.627633176,0.797843987,0.409954037,0.513827319,S0173ab_DWAK_10.csv,,
155,0,-90,0.893356366,0.898596303,1.74177239,1.938325792,0.994168753,0.51290075,S0173ab_DWAK_10.csv,,
155,0,90,0.893356366,0.898596303,1.74177239,1.938325792,0.994168753,0.51290075,S0173ab_DWAK_10.csv,,
155,20,45,0.803718493,2.086067824,1.712771159,0.82105248,0.385279177,0.469250366,S0173ab_DWAK_10.csv,,
155,70,45,0.449902725,4.093138146,0.868861782,0.212272772,0.10991633,0.517807014,S0173ab_DWAK_10.csv,,
155,90,-90,0.893356366,0.898596303,1.74177239,1.938325792,0.994168753,0.51290075,S0173ab_DWAK_10.csv,,
155,90,90,0.893356366,0.898596303,1.74177239,1.938325792,0.994168753,0.51290075,S0173ab_DWAK_10.csv,,
40,20,-90,0.463907836,2.418593866,3.262956349,1.349112968,0.191808903,0.142174086,S0173ab_DWAK_15.csv,,
40,20,90,0.463907836,2.418593866,3.262956349,1.349112968,0.191808903,0.142174086,S0173ab_DWAK_15.csv,,
40,45,0,0.838681458,1.640995773,2.373474168,1.446362146,0.511080816,0.353356051,S0173ab_DWAK_15.csv,,
40,60,45,0.924959576,1.345680571,1.744157279,1.296115375,0.687354485,0.530318904,S0173ab_DWAK_15.csv,,
45,20,100,0.531458892,2.341400268,2.990109373,1.277060319,0.226983357,0.177738947,S0173ab_DWAK_15.csv,,
45,80,-100,0.822739405,1.396108131,1.755872058,1.257690589,0.589309228,0.468564552,S0173ab_DWAK_15.csv,,
45,90,45,0.861579618,1.639887636,2.068330428,1.261263506,0.525389423,0.416558015,S0173ab_DWAK_15.csv,,
50,20,100,0.461574705,2.212306475,3.204974173,1.448702614,0.208639585,0.144018229,S0173ab_DWAK_15.csv,,
50,45,45,0.83448436,1.677177741,2.172610911,1.295396939,0.497552728,0.38409287,S0173ab_DWAK_15.csv,,
110,60,45,0.22375537,3.27297996,4.526768197,1.383072385,0.068364418,0.049429385,S0173ab_DWAK_15.csv,,
112,90,0,0.386452589,2.054166612,2.923451171,1.423181135,0.188131083,0.13219054,S0173ab_DWAK_15.csv,,
115,45,0,0.333668116,2.0440116,3.006371576,1.470819235,0.163241792,0.110986985,S0173ab_DWAK_15.csv,,
115,60,0,0.08135827,2.266999416,3.071078049,1.354688505,0.035888086,0.026491763,S0173ab_DWAK_15.csv,,
115,70,0,0.091018687,2.330340346,2.997626086,1.286346903,0.039058109,0.030363589,S0173ab_DWAK_15.csv,,
130,70,-100,0.388693734,2.69403424,3.701689814,1.374032207,0.144279433,0.105004404,S0173ab_DWAK_15.csv,,
130,90,45,0.838681458,1.640995773,2.373474168,1.446362146,0.511080816,0.353356051,S0173ab_DWAK_15.csv,,
140,70,-90,0.503751041,2.487446477,3.133836726,1.259860968,0.202517339,0.160745784,S0173ab_DWAK_15.csv,,
140,70,90,0.503751041,2.487446477,3.133836726,1.259860968,0.202517339,0.160745784,S0173ab_DWAK_15.csv,,
150,80,-100,0.852245655,1.511906321,1.974149529,1.30573535,0.563689458,0.431702686,S0173ab_DWAK_15.csv,,
155,0,-100,0.970070894,0.700636227,0.884626421,1.262604454,1.384557145,1.096588199,S0173ab_DWAK_15.csv,,
155,90,0,0.389483499,2.070277238,2.897304605,1.399476627,0.188131083,0.1344296,S0173ab_DWAK_15.csv,,
160,80,-90,0.891205276,1.188535339,1.568761277,1.319911345,0.749834899,0.568094897,S0173ab_DWAK_15.csv,,
160,80,90,0.891205276,1.188535339,1.568761277,1.319911345,0.749834899,0.568094897,S0173ab_DWAK_15.csv,,
140,90,100,0.678158919,1.032244454,2.472785403,2.395542445,0.656975115,0.274248998,S0173ab_DWAK_15.csv,,
