Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum,source
50,10,-80,0.40152234071,1.75408789428,3.7750972149,2.15217106691,0.2289066255,0.106360794929,38.792168224,40.3134129541,0.0778985810555,0.000311793981772,0.0111055554858,0.0893159305231,S0235b_DWAK_10.csv
50,10,-70,0.543183266329,1.88646195186,3.31674795884,1.75818439146,0.287937567886,0.163769835113,38.792168224,40.3134129541,0.0387822338628,0.0014187688853,0.00240261730804,0.0426036200561,S0235b_DWAK_10.csv
50,10,-60,0.668339843264,1.96151681762,2.7576209944,1.40586150964,0.34072603266,0.24236102228,38.792168224,40.3134129541,0.00917685554309,0.00734479415899,0.000698592149048,0.0172202418511,S0235b_DWAK_10.csv
50,10,-50,0.773189252257,1.97697198746,2.11470511148,1.06966872818,0.391097727819,0.365625092625,38.792168224,40.3134129541,0.00141966652265,0.016931510377,0.019371358412,0.0377225353117,S0235b_DWAK_10.csv
50,15,-80,0.289211411317,2.28411999674,3.76959496877,1.65034891956,0.126618308902,0.0767221448756,38.792168224,40.3134129541,0.0286626362182,0.0136280643059,0.018163811041,0.0604545115651,S0235b_DWAK_10.csv
50,15,-70,0.437989099331,2.42409886598,3.34953193682,1.38176374893,0.180681203014,0.130761284738,38.792168224,40.3134129541,0.00767493843266,0.00408764635852,0.00661322830717,0.0183758130983,S0235b_DWAK_10.csv
50,15,-60,0.573458710195,2.49042271782,2.82769507192,1.13542775356,0.230265611573,0.202800760199,38.792168224,40.3134129541,6.38857776822e-05,0.00026787045059,0.000126746605723,0.000458502833995,S0235b_DWAK_10.csv
50,15,-50,0.691504068334,2.4810763356,2.21994012313,0.894748819806,0.278711323151,0.311496720623,38.792168224,40.3134129541,0.0160831569858,0.000848319546877,0.00821293884504,0.0251444153778,S0235b_DWAK_10.csv
50,20,-80,0.171746860598,2.75023651389,3.64400741313,1.32497964983,0.0624480330075,0.0471313148209,38.792168224,40.3134129541,0.00456301550792,0.0325154262068,0.0269776877114,0.0640561294261,S0235b_DWAK_10.csv
50,20,-70,0.32664428245,2.89888655588,3.26961450948,1.12788632686,0.11267922223,0.09990299514,38.792168224,40.3134129541,0.000127680292791,0.017025408048,0.0124931397385,0.0296462280792,S0235b_DWAK_10.csv
50,20,-60,0.47161678307,2.95945539677,2.79587602346,0.944726528575,0.159359314415,0.168683009945,38.792168224,40.3134129541,0.00994849010358,0.00716678766149,0.00195677420912,0.0190720519742,S0235b_DWAK_10.csv
50,20,-50,0.602259446386,2.93010268298,2.23718625925,0.763518040593,0.205542095806,0.269203980624,38.792168224,40.3134129541,0.041873039739,0.00159749010237,0.00266508194328,0.0461356117846,S0235b_DWAK_10.csv
50,25,-100,0.266885593675,2.54299029375,3.72992546308,1.46674781742,0.104949513307,0.0715525273405,38.792168224,40.3134129541,0.0133812811829,0.0190773186844,0.0195760760977,0.052034675965,S0235b_DWAK_10.csv
50,25,-90,0.108737588295,2.88479573494,3.62150437699,1.25537636274,0.0376933406335,0.0300255299942,38.792168224,40.3134129541,0.00171580599202,0.0420298725476,0.032880137307,0.0766258158466,S0235b_DWAK_10.csv
50,25,-80,0.0527143536807,3.1389481175,3.40304571298,1.08413569947,0.0167936365009,0.0154903454513,38.792168224,40.3134129541,0.00095975141393,0.0510287002604,0.0383596570087,0.090348108683,S0235b_DWAK_10.csv
50,25,-70,0.212564596695,3.2977251499,3.081187227,0.934337183041,0.0644579481409,0.068987887147,38.792168224,40.3134129541,0.0110797527593,0.0317974834684,0.0202967231447,0.0631739593724,S0235b_DWAK_10.csv
50,25,-60,0.365956172002,3.35630247234,2.66570842629,0.794239627761,0.109035516023,0.137282895756,38.792168224,40.3134129541,0.0344128694626,0.0179776916126,0.00561229338262,0.0580028544578,S0235b_DWAK_10.csv
50,25,-50,0.508228354205,3.31290024254,2.16923342395,0.654783804263,0.153408891605,0.234289380107,38.792168224,40.3134129541,0.0767261575554,0.00818395967041,0.00035318069714,0.085263297923,S0235b_DWAK_10.csv
50,25,60,0.554295199622,1.64031031004,3.60692115449,2.19892610101,0.337920938636,0.153675441153,38.792168224,40.3134129541,0.0825178335231,0.00691996264077,0.00346482489811,0.092902621062,S0235b_DWAK_10.csv
50,25,70,0.416924415342,2.1239173793,3.7250146514,1.75384159841,0.19629973341,0.111925577309,38.792168224,40.3134129541,0.0383644993037,0.00238654679432,0.00997674134486,0.0507277874429,S0235b_DWAK_10.csv
50,25,80,0.266885593675,2.54299029375,3.72992546308,1.46674781742,0.104949513307,0.0715525273405,38.792168224,40.3134129541,0.0133812811829,0.0190773186844,0.0195760760977,0.052034675965,S0235b_DWAK_10.csv
50,25,90,0.108737588295,2.88479573494,3.62150437699,1.25537636274,0.0376933406335,0.0300255299942,38.792168224,40.3134129541,0.00171580599202,0.0420298725476,0.032880137307,0.0766258158466,S0235b_DWAK_10.csv
50,30,-100,0.380463002709,2.79262845696,3.29762346119,1.18083143247,0.136238317618,0.115374907774,38.792168224,40.3134129541,0.000130000692518,0.0115095793064,0.00930806168671,0.0209476416856,S0235b_DWAK_10.csv
50,30,-90,0.225802237289,3.16391648414,3.22529218056,1.01939864618,0.0713679512153,0.0700098548126,38.792168224,40.3134129541,0.00380956574904,0.0293917546262,0.0200079648433,0.0532092852186,S0235b_DWAK_10.csv
50,30,60,0.650755967105,1.80935419725,3.14254283613,1.73683120801,0.359662009845,0.207079426133,38.792168224,40.3134129541,0.0367352745879,0.0105203890466,5.11508318753e-05,0.0473068144664,S0235b_DWAK_10.csv
