Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum
95,80,-30,-0.266720936042,0.254128774354,-0.0766024103648,-0.301431471346,-1.04955031842,3.48188698987,68.6248475585,33.8027931826,1.16244562464,0.560592618753,0.0853648275111,1.80840307091
95,85,-30,-0.311794026,0.647117361034,0.0320260291438,0.0494902950719,-0.4818199059,-9.73564423488,68.6248475585,33.8027931826,0.54161977428,1.23054412899,0.00807428567459,1.78023818894
100,75,-30,-0.281409059562,0.0528765650244,-0.0223041268442,-0.421814972927,-5.32199963126,12.616905451,68.6248475585,33.8027931826,1.40320128545,0.0300101264951,0.00838923058729,1.44160064253
100,80,-30,-0.328514548171,0.435214817996,0.149422166269,0.343329684767,-0.754833095259,-2.19856635983,68.6248475585,33.8027931826,0.206732113596,0.831214863408,0.171705615533,1.20965259254
100,85,-30,-0.376169766152,0.83546286318,0.270046090813,0.323229317202,-0.450253126417,-1.39298356447,68.6248475585,33.8027931826,0.223510167104,1.28875299127,0.372256716361,1.88451987473
105,75,-30,-0.324190809629,0.178043338984,0.223581391467,1.25576948142,-1.8208533466,-1.44999012441,68.6248475585,33.8027931826,0.0127469527244,0.239829704099,0.349580308078,0.602156964902
105,80,-30,-0.373652006434,0.566802332061,0.409737586449,0.7228932615,-0.659228068232,-0.911930022511,68.6248475585,33.8027931826,0.025431400449,0.951525856591,0.67064579741,1.64760305445
110,75,-30,-0.348537181485,0.248457988326,0.491060924683,1.97643443864,-1.40280126968,-0.709763623955,68.6248475585,33.8027931826,0.100484326467,0.368212325707,0.88557182395,1.35426847612
110,85,-20,-0.572830937462,1.50655578684,0.105115407958,0.0697719984062,-0.380225506725,-5.44954301741,68.6248475585,33.8027931826,0.512282395133,1.42791250545,0.0285553353323,1.96875023591
115,75,-30,-0.353371794963,0.260922072695,0.768131603238,2.94391193242,-1.35431928512,-0.460040692863,68.6248475585,33.8027931826,0.209711674747,0.388780059254,1.27040998007,1.86890171407
