Strike,Dip,Rake,Sum
0,8,65,0.000307071413124
0,12,10,0.00200793189176
0,60,-35,0.00138238067124
2,8,65,0.00227817262716
2,12,15,0.000983033597566
2,28,55,0.00082583783719
2,56,5,0.00113495199389
2,58,5,0.00164271963554
2,64,0,0.00218822304751
2,88,-70,0.00177209741554
4,8,70,0.00245137317023
4,44,15,0.00107449225785
4,46,15,0.00248369400967
4,68,-40,0.00219360859323
4,72,-5,9.95414552716e-06
6,8,70,0.000665011469141
6,10,20,0.000127100882047
6,26,60,0.00236321093158
6,40,20,0.000968671661569
6,70,-40,0.00073754024918
6,78,-10,0.00156507659429
6,90,-75,0.0013319173745
8,26,65,0.00186639934672
8,84,-15,0.00175963536488
10,8,75,0.00240497952322
10,10,25,0.00138426319545
10,36,25,0.00189060701373
12,24,70,0.00223059678864
12,34,30,0.00242614807399
12,76,-45,0.00204554560469
12,78,-45,0.00212509366418
14,8,30,0.00162061451424
16,24,75,0.00142895280549
16,30,35,0.00117231338233
18,8,35,0.000228878000058
18,82,-50,0.00210365621296
20,28,40,0.0022175804151
22,8,40,0.000326227306925
24,88,-55,0.000808439174604
26,6,-85,0.00208990272481
26,6,95,0.00208990272481
26,8,45,0.00165094347559
26,88,-55,0.00249365106309
28,22,-90,0.00172749695418
28,22,90,0.00172749695418
30,6,-80,0.00137665671215
30,6,100,0.00137665671215
30,22,-90,0.00258816084602
30,22,90,0.00258816084602
30,24,55,0.00204799801079
32,22,-85,0.00176122526645
32,22,95,0.00176122526645
34,6,-75,0.00152273077309
34,22,-85,0.00222700098971
34,22,95,0.00222700098971
36,22,-80,0.00238281887922
36,22,100,0.00238281887922
38,6,-70,0.00227592599407
38,22,-80,0.00152150428296
38,22,100,0.00152150428296
40,6,-70,0.00255666670423
42,22,-75,0.000836666641724
44,6,-65,0.0020706470291
46,6,65,0.00209769400317
46,22,-70,0.00145735448627
48,6,-60,0.00218718120936
48,22,75,0.00124848988135
50,6,70,0.00141809760172
52,22,-100,0.000536524286629
52,22,80,0.000536524286629
54,6,75,0.00124918884388
54,24,-60,0.00166227976209
56,22,-95,0.000255798872189
56,22,85,0.000255798872189
58,6,-100,0.00178259840353
58,6,80,0.00178259840353
58,24,-55,0.000812807741728
60,22,-90,0.00027960116177
60,22,90,0.00027960116177
62,8,-45,0.00247477397301
62,26,-50,0.00176127334101
64,6,-95,0.0023664609556
64,6,85,0.0023664609556
64,22,-85,0.00155987242928
64,22,95,0.00155987242928
64,88,55,2.11590205451e-05
66,8,-40,0.000756105915761
68,6,-90,0.00243353278569
68,6,90,0.00243353278569
70,8,-35,0.000161264688437
70,28,-40,0.00156663530942
70,84,50,0.00125535089857
72,24,-75,0.00188050506437
74,8,-30,0.000980654254198
76,24,-70,0.000676419007927
76,34,-30,0.00218557552565
76,78,45,0.00137975896996
78,8,-75,0.00225991470491
78,76,45,0.00125029682045
80,26,-65,0.00232835716641
80,36,-25,0.00111709456023
82,8,-70,0.00173475634367
82,10,-20,0.00032802418611
82,40,-20,4.12065649643e-05
82,70,40,0.00231770833313
82,80,10,0.000381259065606
84,8,-70,0.00112821294819
84,44,-15,0.00127932064144
84,46,-15,0.00140420462664
84,68,40,0.000299489159165
84,72,5,0.00238404232107
84,74,5,0.0018197961644
86,10,-15,0.00192303499115
86,12,-15,0.00169823930204
86,50,-10,0.000455121742638
86,58,-5,0.000432369005525
86,64,0,0.000261020920501
86,66,0,0.00251205871832
86,88,70,0.000174815495809
88,8,-65,0.000105573275818
88,28,-55,0.00218646018418
88,62,35,0.00206984091618
90,12,-10,0.000659482795034
90,30,-50,0.00119729860173
90,58,35,0.000860448744523
92,14,-5,0.00174304266706
94,8,-60,0.00222194513335
94,10,-55,0.00244002254723
94,32,-45,0.0010037576058
94,50,30,0.000456005164347
96,16,0,0.000364593958669
96,18,0,0.00235160489735
96,34,-40,0.00272929837708
96,80,60,0.0026338696067
98,18,5,0.000486318838673
98,20,5,0.000575064667719
98,40,25,0.000273715260324
98,42,25,0.00231815755626
98,80,10,0.00137761544419
100,10,-50,7.3024686049e-05
100,20,10,0.00234624919158
100,22,10,0.000749488764176
100,26,15,0.00123795295496
100,28,15,0.000154087020909
100,32,20,0.000433226149157
100,34,20,0.00158874762589
100,74,5,0.00180257723403
100,76,5,0.000343905092766
102,46,-25,0.00126201098676
102,66,-5,0.00245524655805
102,72,50,0.000366153367321
104,52,-20,0.00165687241153
104,56,-15,0.00144380232327
104,58,-15,0.00204531124654
104,68,45,0.000904889560351
106,12,-40,0.000827042810328
108,12,-40,0.00104234840533
108,14,-35,0.00130291350267
110,14,-35,0.000763898036754
110,56,30,0.00231508800824
112,16,-30,0.000945088957428
112,52,25,0.000761495514416
114,18,-25,0.000528012266175
114,48,20,8.43695910039e-05
114,50,25,0.00262632771594
116,20,-20,5.7799815106e-06
116,40,10,0.000506619613546
116,44,15,0.00105046603212
118,22,-15,0.00101823819104
118,26,-10,0.000178744866067
118,28,-5,0.00256228999635
118,30,-5,0.00151057547092
118,32,0,0.000611189466311
118,36,5,0.000569116697706
176,90,25,0.000336381501858
178,88,30,0.00154464670651
180,84,35,0.000937784537054
