Strike,Dip,Rake,Sum
0,4,45,0.00941570313806
0,4,70,0.00794135020212
0,6,45,0.00526828092325
0,6,70,0.00228524268025
0,8,45,0.0149664614811
0,28,45,0.0197368018712
0,28,65,0.0202504105166
0,30,45,0.0055071457626
0,32,45,0.00710377489696
0,34,45,0.0174556629162
0,82,-60,0.00453506161844
0,84,-55,0.0182425068602
0,90,-75,5.04214421977e-05
2,2,75,0.0189462197063
2,4,45,0.00697282033937
2,4,75,0.00759542687026
2,6,45,0.00170622339281
2,6,70,0.00549095250727
2,8,45,0.0154033440844
2,26,65,0.000743644798657
2,28,65,0.00616846116313
2,30,45,0.0114483786913
2,32,45,0.0192216023447
2,84,-60,0.000504367892561
2,86,-60,0.0184916185124
2,90,-80,0.0108886815229
2,90,100,0.0108886815229
4,4,50,0.0122118326786
4,4,75,0.00436808235007
4,6,50,0.00840363045506
4,6,75,0.00617868340162
4,26,70,0.0197040467828
4,28,50,0.00304510420203
4,30,50,0.0044589663279
4,32,50,0.0169683509172
4,84,-65,0.020185240537
4,86,-60,0.00266546962795
4,88,-60,0.0206288342515
4,90,-80,0.00979227045897
4,90,100,0.00979227045897
6,2,-100,0.0177136647366
6,2,50,0.0191936265369
6,2,80,0.0177136647366
6,4,-100,0.0114802327646
6,4,50,0.00477806263286
6,4,75,0.0203755369713
6,4,80,0.0114802327646
6,6,50,0.00102885637253
6,6,75,0.00305611195182
6,8,50,0.0203525010106
6,24,70,0.0100504630842
6,26,70,0.000795030599605
6,28,50,0.0163879804517
6,28,70,0.0149493035153
6,84,-65,0.0193799235988
6,86,-65,0.0100601382172
6,88,-60,0.0174446020326
8,4,-100,0.00294382436304
8,4,50,0.0157890349098
8,4,55,0.016778088748
8,4,80,0.00294382436304
8,6,-100,0.0116584707809
8,6,50,0.0181098877845
8,6,55,0.0126921107847
8,6,80,0.0116584707809
8,26,55,0.00556705622539
8,26,75,0.0202479316238
8,28,55,0.0018739799377
8,30,55,0.0135238114398
8,86,-65,0.0110866267895
8,88,-65,0.0022402351663
10,2,-95,0.0187237922306
10,2,55,0.0183715058146
10,2,85,0.0187237922306
10,4,-100,0.0125066301604
10,4,-95,0.0169377583934
10,4,55,0.00389172656717
10,4,80,0.0125066301604
10,4,85,0.0169377583934
10,6,-100,0.002486003795
10,6,55,0.00103830485729
10,6,80,0.002486003795
10,24,75,0.00275090896587
10,26,75,0.00417182076256
10,28,55,0.0203310197641
10,88,-65,0.00813906757475
10,90,-65,0.0025912745594
12,2,-95,0.0191616790991
12,2,85,0.0191616790991
12,4,-95,0.00345657352769
12,4,55,0.0108143613704
