Strike,Dip,Rake,P,SV,SH,SH/SV
110,0,-90,-0.33789728884,-0.410594895641,-3.23776694421,7.88555088869
110,0,0,0.931398793057,1.13178650101,-1.17461250809,-1.03783929835
110,0,90,0.33789728884,0.410594895641,3.23776694421,7.88555088869
110,20,-90,-0.494295496798,-2.24358698441,-1.59400574279,0.710472004813
110,20,0,0.750738250649,1.65308935086,-2.23256550904,-1.3505413412
110,20,90,0.494295496798,2.24358698441,1.59400574279,0.710472004813
110,45,-90,-0.366296973975,-3.0010737873,1.37878767355,-0.459431447298
110,45,0,0.401221892039,2.01917068238,-3.16428589257,-1.56712155153
110,45,90,0.366296973975,3.0010737873,-1.37878767355,-0.459431447298
110,60,-90,-0.148273840371,-2.39370869061,2.81294862382,-1.17514242015
110,60,0,0.150478835252,2.05870632668,-3.44550490098,-1.67362622649
110,60,90,0.148273840371,2.39370869061,-2.81294862382,-1.17514242015
110,70,-90,0.0233931841243,-1.61451910805,3.36654100867,-2.08516640769
110,70,0,-0.0234772004791,2.00689087473,-3.50306838065,-1.74552011012
110,70,90,-0.0233931841243,1.61451910805,-3.36654100867,-2.08516640769
110,80,-90,0.192238645368,-0.640594693295,3.51407886303,-5.48565091126
110,80,0,-0.196719893354,1.89409705909,-3.45419290021,-1.82366203656
110,80,90,-0.192238645368,0.640594693295,-3.51407886303,-5.48565091126
110,90,-90,0.33789728884,0.410594895641,3.23776694421,7.88555088869
110,90,0,-0.363985351814,1.72375206276,-3.30036351641,-1.91463934269
110,90,90,-0.33789728884,-0.410594895641,-3.23776694421,7.88555088869
111,0,-90,-0.354100975738,-0.430284758066,-3.21677400173,7.47591900812
111,0,0,0.925359815691,1.12444825544,-1.23094043358,-1.09470616155
111,0,90,0.354100975738,0.430284758066,3.21677400173,7.47591900812
111,20,-90,-0.502540316276,-2.27840864067,-1.54144563806,0.676544852643
111,20,0,0.739939474329,1.67045972825,-2.25189348438,-1.34806810742
111,20,90,0.502540316276,2.27840864067,1.54144563806,0.676544852643
111,45,-90,-0.359812834011,-3.03178120335,1.43553826618,-0.473496657539
111,45,0,0.386358130515,2.06415045485,-3.13464358136,-1.51861196648
111,45,90,0.359812834011,3.03178120335,-1.43553826618,-0.473496657539
111,60,-90,-0.134556566993,-2.41045716179,2.85159960748,-1.18301194175
111,60,0,0.134484938685,2.11648105663,-3.38858318068,-1.60104583505
111,60,90,0.134556566993,2.41045716179,-2.85159960748,-1.18301194175
111,70,-90,0.0399738532583,-1.61917414492,3.38693805952,-2.09176886263
111,70,0,-0.0396207097874,2.07105153344,-3.43001029036,-1.65616848976
111,70,90,-0.0399738532583,1.61917414492,-3.38693805952,-2.09176886263
111,80,-90,0.209682836855,-0.632594829712,3.51376179571,-5.55452183716
111,80,0,-0.212522503042,1.96269415742,-3.36721827304,-1.71561028004
111,80,90,-0.209682836855,0.632594829712,-3.51376179571,-5.55452183716
111,90,-90,0.354100975738,0.430284758066,3.21677400173,7.47591900812
111,90,0,-0.378966907583,1.79470131259,-3.20211503239,-1.78420498716
111,90,90,-0.354100975738,-0.430284758066,-3.21677400173,7.47591900812
112,0,-90,-0.370196800048,-0.449843551585,-3.19480119872,7.10202733254
112,0,0,0.91903896476,1.11676749204,-1.28689340268,-1.15233780698
112,0,90,0.370196800048,0.449843551585,3.19480119872,7.10202733254
112,20,-90,-0.510537006855,-2.31391366925,-1.48925914075,0.643610503083
112,20,0,0.72903373858,1.68676039417,-2.26953479829,-1.34549922214
112,20,90,0.510537006855,2.31391366925,1.48925914075,0.643610503083
112,45,-90,-0.353071219633,-3.06370795984,1.49053987656,-0.486514999504
112,45,0,0.371621534535,2.10734189422,-3.10197751164,-1.47198587953
112,45,90,0.353071219633,3.06370795984,-1.49053987656,-0.486514999504
112,60,-90,-0.120670245523,-2.4283271472,2.88824599782,-1.18939740106
112,60,0,0.118749960351,2.17219090501,-3.32809537121,-1.53213760519
112,60,90,0.120670245523,2.4283271472,-2.88824599782,-1.18939740106
112,70,-90,0.0566373962204,-1.62471336332,3.40546026955,-2.09603758204
112,70,0,-0.05542675742,2.13304034319,-3.35315794973,-1.57200868724
112,70,90,-0.0566373962204,1.62471336332,-3.40546026955,-2.09603758204
112,80,-90,0.227113732101,-0.625135169599,3.51192577353,-5.61786625408
112,80,0,-0.227919361214,2.02907842992,-3.27633652073,-1.61469190763
112,80,90,-0.227113732101,0.625135169599,-3.51192577353,-5.61786625408
112,90,-90,0.370196800048,0.449843551585,3.19480119872,7.10202733254
112,90,0,-0.39348675055,1.86346399532,-3.09996526446,-1.66354985781
112,90,90,-0.370196800048,-0.449843551585,-3.19480119872,7.10202733254
113,0,-90,-0.386179858827,-0.4692653184,-3.17185522832,6.75919379496
113,0,0,0.912438165658,1.10874655045,-1.34245437159,-1.21078561286
113,0,90,0.386179858827,0.4692653184,3.17185522832,6.75919379496
113,20,-90,-0.518287092273,-2.35007250315,-1.43749445192,0.61168089495
113,20,0,0.71802890308,1.70196489382,-2.28551600052,-1.342869062
113,20,90,0.518287092273,2.35007250315,1.43749445192,0.61168089495
113,45,-90,-0.346080344458,-3.09681515891,1.5437254937,-0.498488096476
113,45,0,0.357025974413,2.14868741576,-3.0663636337,-1.42708688626
113,45,90,0.346080344458,3.09681515891,-1.5437254937,-0.498488096476
113,60,-90,-0.106624440638,-2.44728793924,2.92283310818,-1.19431516877
113,60,0,0.103290183102,2.22576448885,-3.26414073078,-1.46652565764
113,60,90,0.106624440638,2.44728793924,-2.92283310818,-1.19431516877
