0,4.10688,1.96345,2.05945
1,4.10688,1.96332,2.05945
1,5.32184,3.01626,2.4162
10,5.32184,3.0145,2.4162
10,6.113,3.46103,2.77603
56.314,6.113,3.44852,2.77603
56.314,7.3557,4.19025,3.34669
80,7.3557,4.19025,3.34669
80,7.52739,4.31136,3.391
100,7.53713,4.25788,3.39543
110,7.56756,4.26174,3.40255
120,7.5779,4.25884,3.40568
130,7.59448,4.2581,3.40959
140,7.60397,4.255,3.41243
150,7.61119,4.25157,3.41493
160,7.62582,4.25037,3.41851
170,7.63037,4.24601,3.42059
180,7.63898,4.2431,3.42309
200.28,7.65527,4.23727,3.4283
220.952,7.66756,4.23023,3.43305
241.501,7.68803,4.22676,3.43859
262.134,7.69946,4.22035,3.44307
282.671,7.71101,4.21457,3.44735
303.256,7.72474,4.20997,3.45163
323.8,7.75206,4.22,3.45942
344.345,7.77973,4.22929,3.46725
364.889,7.80322,4.23687,3.47446
385.434,7.82497,4.24398,3.48158
405.978,7.85069,4.25269,3.48923
426.523,7.86986,4.25886,3.49567
447.067,7.89193,4.26605,3.50267
467.612,7.91316,4.27313,3.50954
488.156,7.93788,4.28163,3.51691
508.701,7.95929,4.28872,3.52395
529.245,7.98051,4.29604,3.53061
549.79,8.00241,4.30361,3.53736
570.334,8.0234,4.31103,3.54396
590.878,8.04304,4.31757,3.55051
611.423,8.0639,4.32486,3.55711
631.967,8.08367,4.33168,3.56357
652.512,8.10314,4.33811,3.57012
673.056,8.12316,4.34526,3.57641
693.601,8.1432,4.35248,3.58281
714.145,8.16334,4.35968,3.58926
734.69,8.18262,4.36606,3.59577
755.234,8.2014,4.37252,3.60199
775.779,8.22149,4.37992,3.60833
796.323,8.24084,4.38686,3.61474
816.868,8.26031,4.39349,3.62127
837.412,8.28014,4.40064,3.62774
857.957,8.32836,4.43299,3.63666
878.501,8.34808,4.44027,3.64339
899.046,8.3671,4.44745,3.6498
919.59,8.38682,4.4544,3.65668
940.134,8.40762,4.46207,3.66379
960.679,8.42614,4.46873,3.67031
981.223,8.44747,4.47632,3.67794
1001.768,8.46833,4.48338,3.68583
1022.312,8.54294,4.52497,3.70835
1042.857,8.67851,4.60625,3.74682
1063.401,8.84223,4.70616,3.79135
1083.946,8.93588,4.76011,3.81763
1104.49,8.95636,4.76723,3.82527
1125.035,8.9744,4.77273,3.83205
1145.579,8.99255,4.77918,3.8386
1166.124,9.01105,4.78535,3.84578
1186.668,9.0288,4.79163,3.85207
1207.213,9.05351,4.8014,3.85976
1227.757,9.09794,4.82299,3.87138
1248.301,9.14186,4.8441,3.88292
1268.846,9.18775,4.86635,3.89521
1289.39,9.23033,4.88733,3.90711
1309.935,9.27601,4.91088,3.91934
1330.479,9.32064,4.93321,3.93234
1351.024,9.36725,4.95843,3.94516
1371.568,9.38642,4.96585,3.95234
1392.113,9.40433,4.97253,3.95936
1412.657,9.4211,4.97901,3.96552
1433.202,9.43782,4.98496,3.97168
1453.746,9.45359,4.99142,3.9777
1474.291,9.46921,4.99736,3.98356
1494.835,9.48619,5.0044,3.98964
1515.38,9.50245,5.01133,3.99584
1535.924,9.51836,5.01781,4.00182
1556.469,9.53507,5.0252,4.00826
1577.013,9.55094,5.0321,4.01401
1597.557,9.56645,5.03889,4.01998
1618.102,9.58098,5.04505,4.02554
1638.646,9.60699,5.06031,4.03505
1659.191,9.6496,5.08921,4.05121
1659.191,5.00097,0,6.13984
1906.378,5.16557,0,6.31285
2153.565,5.30143,0,6.45611
2400.752,5.41044,0,6.57136
2647.939,5.494,0,6.65988
2895.126,5.55306,0,6.72254
3142.313,5.58826,0,6.75991
3389.5,5.58826,0,6.75991
3389.5,5.58826,5.58826,6.75991
