Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH
10,80,-100,0.923424868768,1.79326310922,0.83353800531,0.464816345703,0.514941094824,1.10783775051
10,80,-90,0.843138534652,2.24370195385,1.21223074892,0.540281540888,0.375780095573,0.695526437855
10,80,90,0.843138534652,2.24370195385,1.21223074892,0.540281540888,0.375780095573,0.695526437855
50,45,100,0.324394020709,2.96225565503,1.41277270523,0.47692463776,0.109509123616,0.229615152889
50,60,-100,0.668770461279,2.47063854887,1.18795887029,0.480830702991,0.270687293204,0.562957588857
100,45,-90,0.368291919075,3.56757099985,1.93952452493,0.543654078647,0.103233241634,0.189887735031
100,45,90,0.368291919075,3.56757099985,1.93952452493,0.543654078647,0.103233241634,0.189887735031
100,45,100,0.315625046139,3.11622957865,1.47060506883,0.471918076547,0.101284272604,0.214622574631
150,80,-90,0.919459601466,1.0459348409,0.508752601941,0.486409460751,0.879079236598,1.8072823568
150,80,90,0.919459601466,1.0459348409,0.508752601941,0.486409460751,0.879079236598,1.8072823568
200,45,-100,0.237979262065,3.66385285697,1.76459614811,0.481623093775,0.0649532804278,0.13486330134
200,45,-90,0.268017699942,4.13386959095,2.09326763916,0.506370022833,0.0648345802994,0.128037951253
200,45,90,0.268017699942,4.13386959095,2.09326763916,0.506370022833,0.0648345802994,0.128037951253
200,45,100,0.289912555629,4.47828078924,2.35833625224,0.526616432337,0.0647374671827,0.122930966843
230,45,100,0.56018197773,3.16550429903,1.65648291334,0.523291948725,0.176964529128,0.338175524311
255,60,-90,0.516071151474,2.47957695798,1.21318659496,0.489271603793,0.208128709138,0.425384811881
255,60,90,0.516071151474,2.47957695798,1.21318659496,0.489271603793,0.208128709138,0.425384811881
255,70,45,0.0226171586244,1.68547723856,0.892639461295,0.529606357696,0.0134188454801,0.0253373950011
255,70,45,0.0226171586244,1.68547723856,0.892639461295,0.529606357696,0.0134188454801,0.0253373950011
255,90,45,0.00517400016645,0.682426997092,0.320694068499,0.469931684803,0.00758176360035,0.0161337569811
255,90,45,0.00517400016645,0.682426997092,0.320694068499,0.469931684803,0.00758176360035,0.0161337569811
260,45,-100,0.336215864792,2.88755427331,1.31164974816,0.454242457115,0.116436206204,0.256330522126
270,45,-100,0.276407655174,3.27042102199,1.69580278583,0.518527362204,0.0845174530481,0.162995165171
270,45,-90,0.439090917522,3.16773369951,1.55184612866,0.489891599443,0.138613582824,0.282947458136
270,45,90,0.439090917522,3.16773369951,1.55184612866,0.489891599443,0.138613582824,0.282947458136
270,45,100,0.588432624533,2.96879639152,1.36073741215,0.458346492213,0.198205786767,0.432436573935
10,0,-100,0.720074800153,0.620702721873,2.48142216281,3.99776265733,1.16009608912,0.290186333848
10,0,-90,0.829463615594,0.714995614046,1.99595821381,2.79156707342,1.16009608912,0.415571633642
10,0,45,0.192394702227,0.165843764177,3.51167427794,21.1745934215,1.16009608912,0.054787171873
10,0,0,0.557376418376,0.480457113511,2.97029917668,6.18223581908,1.16009608912,0.187649925217
10,0,45,0.192394702227,0.165843764177,3.51167427794,21.1745934215,1.16009608912,0.054787171873
10,0,90,0.829463615594,0.714995614046,1.99595821381,2.79156707342,1.16009608912,0.415571633642
10,0,100,0.913649598804,0.78756372629,1.44984808449,1.84092796062,1.16009608912,0.630169193984
10,90,-90,0.829463615594,0.714995614046,1.99595821381,2.79156707342,1.16009608912,0.415571633642
10,90,90,0.829463615594,0.714995614046,1.99595821381,2.79156707342,1.16009608912,0.415571633642
50,0,-100,0.106193826767,0.0915388197264,3.55835838799,38.872670618,1.16009608912,0.0298434882574
50,0,-90,0.277131337832,0.238886537443,3.43826420622,14.3928755593,1.16009608912,0.0806021065311
50,0,45,0.482962915328,0.416312855337,3.13295551217,7.52548347237,1.16009608912,0.154155688918
50,0,0,0.960144042812,0.827641823651,0.992403969408,1.19907421429,1.16009608912,0.96749315038
50,0,45,0.482962915328,0.416312855337,3.13295551217,7.52548347237,1.16009608912,0.154155688918
50,0,90,0.277131337832,0.238886537443,3.43826420622,14.3928755593,1.16009608912,0.0806021065311
50,0,100,0.439648353432,0.378975808602,3.21370010639,8.47996107785,1.16009608912,0.13680441201
50,70,45,0.771603100835,0.697987728513,3.47072057918,4.97246647384,1.10546800368,0.222317839547
50,70,45,0.771603100835,0.697987728513,3.47072057918,4.97246647384,1.10546800368,0.222317839547
50,90,-90,0.277131337832,0.238886537443,3.43826420622,14.3928755593,1.16009608912,0.0806021065311
50,90,90,0.277131337832,0.238886537443,3.43826420622,14.3928755593,1.16009608912,0.0806021065311
100,0,-100,0.692943463451,0.597315575795,2.57857915143,4.31694611011,1.16009608912,0.26873073222
100,0,-90,0.557376418376,0.480457113511,2.97029917668,6.18223581908,1.16009608912,0.187649925217
100,0,45,0.980643992441,0.845312730243,0.688963102033,0.81503930721,1.16009608912,1.42336213586
100,0,0,0.829463615594,0.714995614046,1.99595821381,2.79156707342,1.16009608912,0.415571633642
100,0,45,0.980643992441,0.845312730243,0.688963102033,0.81503930721,1.16009608912,1.42336213586
100,0,90,0.557376418376,0.480457113511,2.97029917668,6.18223581908,1.16009608912,0.187649925217
100,0,100,0.404873772874,0.349000204957,3.27176816449,9.37468837559,1.16009608912,0.123747696205
100,80,100,0.340478628846,0.304621592454,3.07114642209,10.0818408746,1.11771009436,0.11086369129
100,90,-90,0.557376418376,0.480457113511,2.97029917668,6.18223581908,1.16009608912,0.187649925217
100,90,90,0.557376418376,0.480457113511,2.97029917668,6.18223581908,1.16009608912,0.187649925217
150,0,-100,0.997024771807,0.859432922114,0.243400929712,0.28321108425,1.16009608912,4.09622417213
150,0,-90,0.993680649158,0.856550296545,0.380278809445,0.443965533582,1.16009608912,2.61303187156
150,0,45,0.777728700381,0.670400243285,2.24724162114,3.3520895072,1.16009608912,0.346081477428
150,0,0,0.106193826767,0.0915388197264,3.55835838799,38.872670618,1.16009608912,0.0298434882574
150,0,45,0.777728700381,0.670400243285,2.24724162114,3.3520895072,1.16009608912,0.346081477428
150,0,90,0.993680649158,0.856550296545,0.380278809445,0.443965533582,1.16009608912,2.61303187156
150,0,100,0.960144042812,0.827641823651,0.992403969408,1.19907421429,1.16009608912,0.96749315038
150,90,-90,0.993680649158,0.856550296545,0.380278809445,0.443965533582,1.16009608912,2.61303187156
150,90,90,0.993680649158,0.856550296545,0.380278809445,0.443965533582,1.16009608912,2.61303187156
200,0,-100,0.588806876285,0.507550091588,2.89148935504,5.69695366619,1.16009608912,0.203634460994
200,0,-90,0.720074800153,0.620702721873,2.48142216281,3.99776265733,1.16009608912,0.290186333848
200,0,45,0.0191847521645,0.0165372095849,3.57796124211,216.358220759,1.16009608912,0.0053619228567
200,0,0,0.692943463451,0.597315575795,2.57857915143,4.31694611011,1.16009608912,0.26873073222
200,0,45,0.0191847521645,0.0165372095849,3.57796124211,216.358220759,1.16009608912,0.0053619228567
200,0,90,0.720074800153,0.620702721873,2.48142216281,3.99776265733,1.16009608912,0.290186333848
200,0,100,0.829463615594,0.714995614046,1.99595821381,2.79156707342,1.16009608912,0.415571633642
200,90,-90,0.720074800153,0.620702721873,2.48142216281,3.99776265733,1.16009608912,0.290186333848
200,90,90,0.720074800153,0.620702721873,2.48142216281,3.99776265733,1.16009608912,0.290186333848
230,0,-100,0.106193826767,0.0915388197264,3.55835838799,38.872670618,1.16009608912,0.0298434882574
230,0,-90,0.277131337832,0.238886537443,3.43826420622,14.3928755593,1.16009608912,0.0806021065311
230,0,45,0.482962915328,0.416312855337,3.13295551217,7.52548347237,1.16009608912,0.154155688918
230,0,0,0.960144042812,0.827641823651,0.992403969408,1.19907421429,1.16009608912,0.96749315038
230,0,45,0.482962915328,0.416312855337,3.13295551217,7.52548347237,1.16009608912,0.154155688918
230,0,90,0.277131337832,0.238886537443,3.43826420622,14.3928755593,1.16009608912,0.0806021065311
230,0,100,0.439648353432,0.378975808602,3.21370010639,8.47996107785,1.16009608912,0.13680441201
230,90,-90,0.277131337832,0.238886537443,3.43826420622,14.3928755593,1.16009608912,0.0806021065311
230,90,90,0.277131337832,0.238886537443,3.43826420622,14.3928755593,1.16009608912,0.0806021065311
240,0,-100,0.0679703299866,0.0585902587069,3.57033365075,60.9373252405,1.16009608912,0.0190375288798
240,0,-90,0.106193826767,0.0915388197264,3.55835838799,38.872670618,1.16009608912,0.0298434882574
240,0,45,0.627547950326,0.540944802944,2.78503707094,5.14846811686,1.16009608912,0.225328401146
240,0,0,0.993680649158,0.856550296545,0.380278809445,0.443965533582,1.16009608912,2.61303187156
240,0,45,0.627547950326,0.540944802944,2.78503707094,5.14846811686,1.16009608912,0.225328401146
240,0,90,0.106193826767,0.0915388197264,3.55835838799,38.872670618,1.16009608912,0.0298434882574
240,0,100,0.277131337832,0.238886537443,3.43826420622,14.3928755593,1.16009608912,0.0806021065311
240,90,-90,0.106193826767,0.0915388197264,3.55835838799,38.872670618,1.16009608912,0.0298434882574
240,90,90,0.106193826767,0.0915388197264,3.55835838799,38.872670618,1.16009608912,0.0298434882574
250,0,-100,0.240069242659,0.206939101778,3.47382613221,16.7867073085,1.16009608912,0.0691080190895
250,0,-90,0.0679703299866,0.0585902587069,3.57033365075,60.9373252405,1.16009608912,0.0190375288798
250,0,45,0.753065258409,0.649140416445,2.3524966876,3.62401820624,1.16009608912,0.320113206696
250,0,0,0.997024771807,0.859432922114,0.243400929712,0.28321108425,1.16009608912,4.09622417213
250,0,45,0.753065258409,0.649140416445,2.3524966876,3.62401820624,1.16009608912,0.320113206696
250,0,90,0.0679703299866,0.0585902587069,3.57033365075,60.9373252405,1.16009608912,0.0190375288798
250,0,100,0.106193826767,0.0915388197264,3.55835838799,38.872670618,1.16009608912,0.0298434882574
250,80,0,0.237528961226,0.214445466011,4.04553329403,18.8650912947,1.10764272915,0.0587138812024
250,90,-90,0.0679703299866,0.0585902587069,3.57033365075,60.9373252405,1.16009608912,0.0190375288798
250,90,90,0.0679703299866,0.0585902587069,3.57033365075,60.9373252405,1.16009608912,0.0190375288798
255,0,-100,0.323703296538,0.279031452285,3.38568068553,12.1336883631,1.16009608912,0.0956095174368
255,0,-90,0.154608116885,0.133271819752,3.53553366448,26.5287415678,1.16009608912,0.0437297821367
255,0,45,0.807455772037,0.696024906564,2.10851030349,3.02936042031,1.16009608912,0.382950830593
255,0,0,0.987306786946,0.85105604286,0.553649796878,0.65054446358,1.16009608912,1.78326948283
255,0,45,0.807455772037,0.696024906564,2.10851030349,3.02936042031,1.16009608912,0.382950830593
255,0,90,0.154608116885,0.133271819752,3.53553366448,26.5287415678,1.16009608912,0.0437297821367
255,0,100,0.0191847521645,0.0165372095849,3.57796124211,216.358220759,1.16009608912,0.00536192285669
255,90,-90,0.154608116885,0.133271819752,3.53553366448,26.5287415678,1.16009608912,0.0437297821367
255,90,90,0.154608116885,0.133271819752,3.53553366448,26.5287415678,1.16009608912,0.0437297821367
260,0,-100,0.404873772874,0.349000204957,3.27176816449,9.37468837559,1.16009608912,0.123747696205
260,0,-90,0.240069242659,0.206939101778,3.47382613221,16.7867073085,1.16009608912,0.0691080190895
