Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit
2004,154,39,51,16,304,47,306,16,-14,0.042588875
1952,154,39,53,13,308,48,304,14,-18,0.04394258
2130,154,40,50,16,304,46,310,16,-10,0.02840608
2062,154,40,51,16,304,46,308,16,-12,0.031060662
2053,154,40,52,14,308,47,308,14,-14,0.023157509
1997,154,40,53,14,308,47,306,14,-16,0.030994398
2121,154,41,52,14,308,46,310,14,-12,0.025925194
1958,155,38,53,15,305,48,304,16,-18,0.05018383
287,155,39,51,16,304,47,50,86,-106,0.043244066
303,155,39,53,14,307,47,52,86,-104,0.027453022
2003,155,39,53,15,305,47,306,16,-16,0.032110954
2286,155,41,50,16,304,44,314,16,-6,0.051313488
2207,155,41,50,16,304,45,312,16,-8,0.03684987
289,155,41,51,16,304,45,50,88,-106,0.043632662
2200,155,41,52,14,308,46,312,14,-10,0.037157794
304,155,41,53,14,308,45,52,88,-104,0.052289748
2280,155,42,52,14,308,45,314,14,-8,0.051697168
2061,156,39,53,16,306,47,308,16,-14,0.014981836
1996,156,39,55,13,310,48,306,14,-18,0.045872745
2206,156,40,52,16,306,46,312,16,-10,0.027077995
2129,156,40,53,16,306,46,310,16,-12,0.010909316
2120,156,40,54,14,310,47,310,14,-14,0.044905271
2052,156,40,55,14,310,47,308,14,-16,0.042132487
2199,156,41,54,14,310,46,312,14,-12,0.053304596
2068,157,38,53,18,303,47,308,18,-14,0.045217118
1957,157,38,55,15,307,48,304,16,-20,0.048824067
302,157,39,53,16,306,47,52,86,-106,0.015114024
2136,157,39,53,18,304,46,310,18,-12,0.040136414
318,157,39,55,14,309,47,54,86,-104,0.038292734
2060,157,39,55,15,307,47,308,16,-16,0.014801066
2285,157,41,52,16,306,45,314,16,-8,0.045641562
2008,158,37,55,17,305,48,306,18,-18,0.045492726
315,158,37,56,16,307,49,54,84,-106,0.054238357
1956,158,37,57,15,309,49,304,16,-22,0.054362153
301,158,38,53,18,304,46,52,86,-108,0.040752064
2213,158,39,53,18,304,45,312,18,-10,0.045356633
2128,158,39,55,16,308,47,310,16,-14,0.01391602
2284,158,40,54,16,308,46,314,16,-10,0.048499037
2205,158,40,55,16,308,46,312,16,-12,0.0299846
2067,159,38,55,17,305,47,308,18,-16,0.028587226
2135,159,38,55,18,305,47,310,18,-14,0.020715985
2001,159,38,57,15,309,48,306,16,-20,0.040179506
317,159,39,55,16,308,47,54,86,-106,0.014012131
2212,159,39,55,18,306,46,312,18,-12,0.030528458
2127,159,39,57,15,309,47,310,16,-16,0.032511241
2142,160,37,55,19,303,46,310,20,-14,0.052674793
314,160,37,56,18,305,48,54,84,-108,0.051117963
2007,160,37,57,17,307,48,306,18,-20,0.038851366
331,160,37,58,16,309,49,56,84,-106,0.038884145
316,160,38,55,18,306,46,54,86,-108,0.029406201
2289,160,39,55,18,306,45,314,18,-10,0.048473806
2204,160,39,57,16,310,47,312,16,-14,0.043382503
2134,161,38,57,17,307,47,310,18,-16,0.003359319
2211,161,38,57,18,307,47,312,18,-14,0.024536958
2058,161,38,59,15,311,48,308,16,-20,0.050221695
333,161,39,57,16,310,47,56,86,-106,0.04404213
2288,161,39,57,18,308,46,314,18,-12,0.046043615
2073,162,36,57,19,305,48,308,20,-18,0.043729671
2006,162,36,59,17,309,49,306,18,-22,0.040962106
2217,162,37,57,19,305,46,312,20,-14,0.036802418
2141,162,37,57,19,305,47,310,20,-16,0.033117262
330,162,37,58,18,307,48,56,84,-108,0.021438305
2065,162,37,59,17,309,48,308,18,-20,0.024247152
348,162,37,60,16,311,49,58,84,-106,0.042754586
332,162,38,57,18,308,46,56,86,-108,0.044488376
2011,163,35,59,19,307,49,306,20,-22,0.05214197
329,163,36,58,20,305,47,56,84,-110,0.036782636
88,163,36,59,19,307,48,308,20,-20,0.030442632
2005,163,36,61,16,311,50,306,18,-24,0.051059973
2292,163,38,57,20,306,46,314,20,-12,0.052143386
2210,163,38,59,17,309,47,312,18,-16,0.033085837
2287,163,38,59,18,309,47,314,18,-14,0.05239342
2010,164,35,61,18,309,50,306,20,-24,0.048939037
2140,164,36,59,19,307,48,310,20,-18,0.013485776
2064,164,36,61,17,311,49,308,18,-22,0.040559082
2291,164,37,59,19,307,46,314,20,-14,0.044496104
2216,164,37,59,19,307,47,312,20,-16,0.022834394
347,164,37,60,18,309,48,58,84,-108,0.0140472
2132,164,37,61,17,311,48,310,18,-20,0.039760607
344,165,34,61,20,306,49,58,82,-110,0.052262253
2147,165,35,59,21,305,48,310,22,-18,0.046897385
2071,165,35,61,19,309,49,308,20,-22,0.026403162
361,165,35,63,18,310,50,60,82,-108,0.043074634
2222,165,36,59,21,305,47,312,22,-16,0.045333271
346,165,36,60,20,307,47,58,84,-110,0.022195313
90,165,36,61,19,309,48,310,20,-20,0.007579193
2146,166,34,61,21,307,48,310,22,-20,0.028024697
2077,166,34,62,20,306,49,308,22,-22,0.046152856
2009,166,34,63,18,311,50,306,20,-26,0.05316106
2070,166,35,63,18,311,50,308,20,-24,0.035451543
2215,166,36,61,19,309,48,312,20,-18,0.022671043
2290,166,37,61,19,309,47,314,20,-16,0.045847798
363,166,37,62,18,311,48,60,84,-108,0.045009507
360,167,34,63,20,308,49,60,82,-110,0.020873118
345,167,35,60,22,305,47,58,84,-112,0.051903144
2221,167,35,61,21,307,48,312,22,-18,0.026732211
2138,167,35,63,19,311,49,310,20,-22,0.027521155
379,167,35,65,18,312,50,62,82,-108,0.046731901
2295,167,36,61,21,307,47,314,22,-16,0.044312941
362,167,36,62,20,309,47,60,84,-110,0.043344212
93,167,36,63,19,311,48,312,20,-20,0.036966563
2076,168,33,64,20,308,50,308,22,-24,0.037460837
2220,168,34,63,21,309,48,312,22,-20,0.014154504
2145,168,34,64,20,308,49,310,22,-22,0.012621498
2069,168,34,65,18,313,50,308,20,-26,0.051440489
2137,168,35,65,18,313,50,310,20,-24,0.048194297
359,169,33,63,22,307,48,60,82,-112,0.030738704
2152,169,33,64,22,306,49,310,24,-22,0.043857379
2227,169,33,64,23,306,48,312,24,-20,0.035550771
2075,169,33,66,20,310,51,308,22,-26,0.038221363
378,169,34,65,20,310,49,62,82,-110,0.019972113
2294,169,35,63,21,309,48,314,22,-18,0.039661626
2080,170,31,66,21,308,51,308,24,-26,0.053160582
375,170,32,66,22,308,50,62,80,-112,0.044699203
2144,170,33,66,20,310,50,310,22,-24,0.018862604
2299,170,34,64,23,307,47,314,24,-18,0.046158538
2293,170,34,65,21,311,48,314,22,-20,0.045640781
2219,170,34,66,20,310,49,312,22,-22,0.023398027
2079,171,31,68,21,309,51,308,24,-28,0.04876949
2074,171,32,68,19,312,51,308,22,-28,0.048414329
393,171,32,68,20,311,51,64,80,-110,0.041042868
377,171,33,65,22,309,48,62,82,-112,0.022835746
2226,171,33,66,22,308,49,312,24,-22,0.015450877
2298,171,33,66,23,308,48,314,24,-20,0.034940311
2143,171,33,68,20,312,51,310,22,-26,0.037638602
395,171,34,67,20,312,49,64,82,-110,0.053450327
374,172,31,66,24,306,49,62,80,-114,0.051823583
2150,172,31,68,21,310,51,310,24,-26,0.021956916
2304,172,32,66,24,306,48,314,26,-20,0.050662876
392,172,32,68,22,310,50,64,80,-112,0.012296727
376,172,33,66,24,307,48,62,82,-114,0.050249758
2218,172,33,68,20,312,50,312,22,-24,0.042406277
2156,173,30,69,23,307,51,310,26,-26,0.045645525
2078,173,30,70,21,311,52,308,24,-30,0.052441126
2231,173,31,68,24,307,50,312,26,-24,0.027147165
2149,173,31,70,21,311,51,310,24,-28,0.032121674
411,173,32,70,20,313,51,66,80,-110,0.051611175
394,173,33,67,22,311,48,64,82,-112,0.052606142
2297,173,33,68,22,310,49,314,24,-22,0.034839952
2155,174,29,71,23,309,51,310,26,-28,0.035518277
408,174,30,71,22,311,52,66,78,-112,0.045322129
391,174,31,68,24,308,49,64,80,-114,0.022896747
2224,174,31,70,21,312,51,312,24,-26,0.028510391
410,174,32,70,22,312,50,66,80,-112,0.031985505
407,175,29,71,23,309,51,66,78,-114,0.027681945
390,175,30,69,26,306,49,64,80,-116,0.052680549
2230,175,30,71,23,309,51,312,26,-26,0.007514626
2148,175,30,72,21,313,52,310,24,-30,0.049932494
2302,175,31,70,24,309,50,314,26,-24,0.024587012
2223,175,31,72,21,313,51,312,24,-28,0.050064216
2308,176,29,71,25,307,49,314,28,-24,0.037780349
2237,176,29,71,25,307,50,312,28,-26,0.042706249
2154,176,29,73,22,311,52,310,26,-30,0.035989238
2229,176,29,73,23,311,51,312,26,-28,0.016645301
427,176,30,73,22,313,52,68,78,-112,0.038636593
409,176,31,70,24,310,49,66,80,-114,0.035551111
2159,177,27,73,24,308,52,310,28,-30,0.053256275
424,177,27,74,23,310,53,68,76,-114,0.053418809
406,177,28,72,25,307,50,66,78,-116,0.037150159
2236,177,28,73,25,308,51,312,28,-28,0.025015918
2153,177,28,75,22,313,53,310,26,-32,0.047288626
426,177,29,73,23,311,51,68,78,-114,0.013948043
2301,177,30,73,23,311,51,314,26,-26,0.031961465
2313,178,27,73,27,306,50,314,30,-26,0.047284796
2158,178,27,75,24,310,53,310,28,-32,0.048482566
423,178,27,75,25,308,52,68,76,-116,0.042625006
2355,178,29,73,25,309,49,316,28,-24,0.046464199
2307,178,29,73,25,309,50,314,28,-26,0.019278778
2228,178,29,75,22,313,52,312,26,-30,0.03809114
2300,178,29,75,23,313,51,314,26,-28,0.049375543
2241,179,26,76,26,308,52,312,30,-30,0.04394353
2157,179,26,77,23,312,54,310,28,-34,0.052588191
2235,179,27,75,24,310,52,312,28,-30,0.018001364
440,179,27,76,23,312,53,70,76,-114,0.03059388
425,179,28,74,25,309,50,68,78,-116,0.027770481
2306,179,28,75,25,310,51,314,28,-28,0.016153804
441,179,29,75,23,313,51,70,78,-114,0.053781604
422,180,26,75,27,306,51,68,76,-118,0.051708149
2358,180,27,75,27,308,50,316,30,-26,0.040390464
2312,180,27,76,26,308,51,314,30,-28,0.02557038
2234,180,27,77,24,312,53,312,28,-32,0.031173674
439,180,27,77,25,310,52,70,76,-116,0.000955322
2354,180,29,75,25,311,50,316,28,-26,0.047392154
2240,181,25,78,25,309,53,312,30,-32,0.033235434
2311,181,26,78,26,310,52,314,30,-30,0.003533782
2233,181,26,79,23,314,54,312,28,-34,0.051297177
2305,181,27,77,24,312,52,314,28,-30,0.033891819
457,181,27,78,23,314,53,72,76,-114,0.048927824
2317,182,24,78,27,307,52,314,32,-30,0.040113631
2362,182,25,78,28,308,51,316,32,-28,0.039268047
454,182,25,80,25,310,54,72,74,-116,0.026518143
2239,182,25,80,25,311,54,312,30,-34,0.034951244
438,182,26,77,27,308,51,70,76,-118,0.030495334
2357,182,27,78,26,310,51,316,30,-28,0.034329785
456,182,27,79,25,312,52,72,76,-116,0.041986084
