,Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod,Normalized
12361,508,189,29,86,21,326,52,82,78,-112,0.036913603,35,NewGudkova,0.326459489
12362,1178,106,43,203,7,302,45,124,8,-170,0.036974207,35,NewGudkova,0.325329018
12363,2313,205,17,106,26,324,57,330,36,-40,0.036987004,35,NewGudkova,0.325090295
12364,870,59,18,159,27,300,55,114,36,-142,0.036990673,35,NewGudkova,0.325021855
12365,1149,76,28,179,22,301,52,122,26,-150,0.037021104,35,NewGudkova,0.324454221
12366,552,200,21,98,28,321,53,88,72,-120,0.037027866,35,NewGudkova,0.324328082
12367,79,82,34,185,17,297,49,8,82,-72,0.037078218,35,NewGudkova,0.323388829
12368,1119,99,41,201,13,306,45,122,14,-170,0.037108417,35,NewGudkova,0.32282552
12369,2554,139,46,45,3,312,42,346,4,30,0.037205822,35,NewGudkova,0.321008565
12370,871,60,17,161,29,304,54,114,38,-144,0.037209897,35,NewGudkova,0.320932552
12371,622,211,11,113,31,318,55,96,64,-126,0.037245977,35,NewGudkova,0.320259525
12372,1822,135,44,44,1,311,45,312,2,-2,0.037271062,35,NewGudkova,0.319791609
12373,2144,178,37,74,17,325,47,326,18,-18,0.03728316,35,NewGudkova,0.31956593
12374,1128,89,37,191,15,298,48,122,16,-160,0.037322326,35,NewGudkova,0.318835345
12375,1842,141,44,48,3,313,45,314,4,-4,0.037334167,35,NewGudkova,0.318614465
12376,1902,149,43,52,7,313,44,318,8,-4,0.037393603,35,NewGudkova,0.31750577
12377,2398,207,15,107,31,320,53,334,40,-36,0.037434689,35,NewGudkova,0.316739377
12378,2127,153,44,53,9,314,43,326,10,2,0.037436959,35,NewGudkova,0.316697015
12379,540,194,27,92,23,327,52,86,76,-114,0.03746403,35,NewGudkova,0.31619206
12380,1241,108,42,207,9,308,45,126,10,-172,0.037484674,35,NewGudkova,0.315806968
12381,822,113,45,210,5,305,43,112,6,172,0.037544913,35,NewGudkova,0.314683288
12382,1303,96,38,197,13,302,48,128,14,-160,0.037566916,35,NewGudkova,0.314272863
12383,1907,155,42,56,9,315,45,318,10,-8,0.037578995,35,NewGudkova,0.314047534
12384,2478,131,45,39,1,308,43,340,2,30,0.037602168,35,NewGudkova,0.313615279
12385,868,62,19,164,29,303,53,114,36,-146,0.037652114,35,NewGudkova,0.312683619
12386,2250,193,26,89,26,321,51,328,30,-28,0.037681702,35,NewGudkova,0.312131692
12387,2519,44,3,136,32,310,57,342,56,-50,0.037713116,35,NewGudkova,0.311545701
12388,2223,175,38,70,17,321,45,328,18,-12,0.037724748,35,NewGudkova,0.31132872
12389,1283,118,44,213,5,310,45,128,6,-176,0.037755968,35,NewGudkova,0.310746362
12390,1190,99,40,201,13,306,46,124,14,-168,0.037764294,35,NewGudkova,0.310591059
12391,2014,177,36,75,16,324,48,322,18,-22,0.037785013,35,NewGudkova,0.31020456
12392,12,68,23,171,26,303,52,0,74,-62,0.037819151,35,NewGudkova,0.309567771
12393,523,193,29,89,23,326,51,84,78,-114,0.037844164,35,NewGudkova,0.30910119
12394,1240,106,42,203,7,302,46,126,8,-168,0.037849504,35,NewGudkova,0.309001574
12395,1836,137,44,46,1,313,45,314,2,-2,0.038026396,35,NewGudkova,0.305701898
12396,2309,203,20,103,26,326,56,330,34,-38,0.038032669,35,NewGudkova,0.305584883
12397,135,91,37,194,15,303,48,16,84,-74,0.038032704,35,NewGudkova,0.305584234
12398,691,215,8,120,28,320,59,102,60,-124,0.038037013,35,NewGudkova,0.305503851
12399,2303,194,27,89,26,322,50,330,30,-26,0.038042972,35,NewGudkova,0.305392706
12400,2561,53,11,149,27,303,59,346,62,-58,0.038047575,35,NewGudkova,0.305306842
12401,644,211,10,115,29,319,58,98,62,-124,0.038082218,35,NewGudkova,0.30466062
12402,2019,180,34,77,18,324,49,322,20,-24,0.038090854,35,NewGudkova,0.304499531
12403,1335,105,41,203,9,304,46,130,10,-164,0.038230244,35,NewGudkova,0.301899417
12404,2334,150,45,53,5,318,43,332,6,8,0.03823928,35,NewGudkova,0.301730855
12405,603,208,14,109,30,319,55,94,66,-124,0.038241995,35,NewGudkova,0.301680211
12406,537,195,24,93,24,324,53,86,74,-116,0.038244034,35,NewGudkova,0.301642181
12407,2447,131,45,39,1,308,44,338,2,28,0.038257304,35,NewGudkova,0.301394644
12408,2467,218,3,126,32,314,57,338,50,-46,0.038282421,35,NewGudkova,0.300926122
12409,1862,143,44,50,3,315,45,316,4,-4,0.038341125,35,NewGudkova,0.299831072
12410,1859,134,45,41,1,310,44,316,2,4,0.038425785,35,NewGudkova,0.298251858
12411,2298,192,29,86,25,323,49,330,28,-24,0.038432568,35,NewGudkova,0.298125341
12412,106,86,34,189,17,301,49,12,82,-72,0.038438322,35,NewGudkova,0.298018014
12413,2427,211,13,112,31,320,54,336,42,-38,0.038454642,35,NewGudkova,0.297713573
12414,836,54,10,150,31,308,56,112,44,-138,0.038457353,35,NewGudkova,0.297663008
12415,2227,178,37,72,19,321,46,328,20,-14,0.038469826,35,NewGudkova,0.297430348
12416,1129,91,37,195,17,304,47,122,18,-164,0.0385312,35,NewGudkova,0.296285498
12417,1011,121,45,214,1,305,44,120,2,176,0.03853517,35,NewGudkova,0.29621144
12418,435,176,37,73,15,324,48,72,84,-106,0.038539925,35,NewGudkova,0.296122743
12419,2385,143,46,47,5,312,43,334,6,16,0.038542355,35,NewGudkova,0.296077424
12420,733,45,3,137,32,309,57,106,50,-134,0.03861219,35,NewGudkova,0.29477474
12421,1118,97,41,197,11,300,46,122,12,-166,0.038612696,35,NewGudkova,0.294765295
12422,1313,128,44,219,1,311,44,130,2,-180,0.038664681,35,NewGudkova,0.293795599
12423,2597,57,13,154,28,305,58,350,64,-58,0.038761525,35,NewGudkova,0.291989108
12424,2490,219,4,126,33,316,56,340,50,-44,0.038803861,35,NewGudkova,0.291199383
12425,2635,60,16,160,29,305,55,354,68,-58,0.038804196,35,NewGudkova,0.291193138
12426,1209,82,33,184,17,297,51,124,20,-152,0.038816178,35,NewGudkova,0.290969628
12427,2218,172,40,68,15,321,45,328,16,-10,0.038848867,35,NewGudkova,0.290359866
12428,2422,148,46,51,5,316,43,336,6,14,0.038934929,35,NewGudkova,0.288754507
12429,2143,168,40,64,15,317,44,326,16,-8,0.038963123,35,NewGudkova,0.288228578
12430,1212,79,31,182,18,298,52,124,22,-150,0.038974247,35,NewGudkova,0.28802107
12431,1955,164,40,62,13,317,46,320,14,-12,0.038992308,35,NewGudkova,0.287684181
12432,2284,157,44,57,9,318,43,330,10,2,0.039003927,35,NewGudkova,0.287467444
12433,2568,139,45,47,1,316,43,348,2,30,0.039052958,35,NewGudkova,0.286552836
12434,2619,57,14,156,30,306,55,352,66,-56,0.039123444,35,NewGudkova,0.285238008
12435,1951,159,42,58,11,315,45,320,12,-8,0.039216683,35,NewGudkova,0.283498767
12436,1103,114,44,212,7,309,44,122,8,-180,0.039254776,35,NewGudkova,0.282788198
12437,1616,138,46,45,1,314,42,226,88,92,0.03926266,35,NewGudkova,0.282641138
12438,771,45,0,135,30,314,59,108,52,-130,0.039304701,35,NewGudkova,0.281856929
12439,628,207,15,109,27,324,57,96,66,-120,0.039408087,35,NewGudkova,0.279928393
12440,2656,63,21,165,28,302,53,356,72,-60,0.039460011,35,NewGudkova,0.278959834
12441,478,186,33,81,21,324,48,78,82,-112,0.039469539,35,NewGudkova,0.278782092
12442,684,219,3,127,32,313,57,102,56,-130,0.039501618,35,NewGudkova,0.278183706
12443,645,213,11,115,31,320,55,98,64,-126,0.039516591,35,NewGudkova,0.277904403
12444,1263,87,35,188,16,299,50,126,18,-154,0.039555808,35,NewGudkova,0.277172881
12445,1897,143,44,48,6,312,44,318,6,0,0.039594623,35,NewGudkova,0.276448825
12446,1260,89,36,191,14,298,49,126,16,-156,0.039600672,35,NewGudkova,0.276336003
12447,796,52,8,147,32,308,56,110,46,-138,0.039614208,35,NewGudkova,0.276083497
12448,2437,217,4,124,29,315,59,336,48,-48,0.039652789,35,NewGudkova,0.275363822
12449,2160,189,30,86,21,327,51,326,24,-28,0.039722231,35,NewGudkova,0.274068492
12450,1589,125,46,218,1,309,42,218,88,88,0.039737176,35,NewGudkova,0.2737897
12451,1057,83,34,188,20,303,48,120,22,-160,0.039797148,35,NewGudkova,0.272671021
12452,1051,85,36,189,16,299,48,120,18,-160,0.039818703,35,NewGudkova,0.272268944
12453,479,184,34,80,19,326,49,78,82,-110,0.039824098,35,NewGudkova,0.272168303
12454,642,214,9,118,32,317,55,98,62,-128,0.039933047,35,NewGudkova,0.270136008
12455,2588,139,46,47,1,316,43,350,2,32,0.039935899,35,NewGudkova,0.270082808
12456,2352,200,22,96,28,322,51,332,34,-30,0.039956167,35,NewGudkova,0.269704734
12457,1206,87,35,190,18,303,49,124,20,-158,0.039964826,35,NewGudkova,0.269543225
12458,1617,140,46,45,3,312,42,226,88,94,0.039975669,35,NewGudkova,0.269340956
12459,2219,170,40,66,15,319,44,328,16,-8,0.039997827,35,NewGudkova,0.268927621
12460,2494,220,1,129,33,313,56,340,52,-46,0.039998152,35,NewGudkova,0.268921564
12461,2017,172,37,68,17,319,47,322,18,-16,0.04005475,35,NewGudkova,0.267865818
12462,605,208,16,108,31,321,53,94,68,-124,0.040055682,35,NewGudkova,0.267848434
12463,1991,161,42,62,9,321,45,322,10,-10,0.040063838,35,NewGudkova,0.267696283
12464,962,100,42,201,11,304,44,118,12,-174,0.040068102,35,NewGudkova,0.267616743
12465,1604,134,46,41,1,310,42,222,88,92,0.040102438,35,NewGudkova,0.266976263
12466,585,205,16,105,29,320,55,92,68,-122,0.040157074,35,NewGudkova,0.265957101
12467,32,72,29,176,23,299,51,2,78,-66,0.040171726,35,NewGudkova,0.26568379
12468,368,161,42,62,9,321,46,62,88,-100,0.04029408,35,NewGudkova,0.263401446
12469,2394,205,18,104,30,322,53,334,38,-34,0.040321854,35,NewGudkova,0.262883365
12470,1843,139,44,46,3,311,44,314,4,-2,0.040324953,35,NewGudkova,0.26282555
12471,793,53,11,150,32,306,55,110,44,-140,0.040374499,35,NewGudkova,0.261901337
12472,2080,182,34,79,18,326,49,324,20,-24,0.040376656,35,NewGudkova,0.261861107
12473,2089,180,34,75,20,320,48,324,22,-20,0.040399617,35,NewGudkova,0.261432793
12474,553,198,22,97,26,323,54,88,72,-118,0.040416969,35,NewGudkova,0.261109118
12475,1158,122,44,213,1,305,44,124,2,-180,0.040417785,35,NewGudkova,0.261093896
12476,1174,114,44,211,7,309,44,124,8,-178,0.040431457,35,NewGudkova,0.260838873
12477,1229,123,44,218,3,311,44,126,4,178,0.040467756,35,NewGudkova,0.260161762
12478,998,65,20,166,26,303,54,118,34,-144,0.040502168,35,NewGudkova,0.259519854
12479,343,157,42,58,9,317,46,58,88,-100,0.040527786,35,NewGudkova,0.259041988
12480,2603,55,14,154,30,304,55,350,66,-56,0.040560224,35,NewGudkova,0.258436908
12481,2198,155,44,58,8,320,44,328,8,0,0.040562518,35,NewGudkova,0.258394109
12482,2173,191,27,87,24,322,51,326,28,-28,0.040575611,35,NewGudkova,0.258149882
12483,1151,73,27,175,21,297,53,122,26,-146,0.040627256,35,NewGudkova,0.257186508
12484,2285,156,44,55,9,316,43,330,10,4,0.040643915,35,NewGudkova,0.256875757
12485,1911,160,41,60,11,317,46,318,12,-12,0.040657955,35,NewGudkova,0.256613875
12486,1347,128,44,219,1,312,45,132,2,-178,0.040662334,35,NewGudkova,0.256532183
12487,1042,93,40,195,13,300,46,120,14,-166,0.040743308,35,NewGudkova,0.255021733
12488,2222,177,38,72,17,323,46,328,18,-14,0.040778563,35,NewGudkova,0.254364095
12489,1210,83,32,186,19,301,50,124,22,-154,0.040863099,35,NewGudkova,0.252787196
12490,1623,142,46,47,3,314,42,228,88,94,0.040905763,35,NewGudkova,0.251991358
12491,2599,54,11,152,31,307,55,350,64,-54,0.040920019,35,NewGudkova,0.251725439
12492,2153,176,37,70,19,319,46,326,20,-14,0.040936295,35,NewGudkova,0.251421829
12493,2051,148,44,49,7,312,43,324,8,4,0.040974387,35,NewGudkova,0.250711274
12494,2186,146,45,51,3,318,44,328,4,6,0.041012556,35,NewGudkova,0.249999285
12495,902,108,44,206,8,303,44,116,8,-180,0.041066194,35,NewGudkova,0.248998749
12496,2634,62,17,161,27,303,56,354,68,-60,0.041082102,35,NewGudkova,0.248702
12497,2575,139,47,45,3,312,42,348,4,32,0.041083283,35,NewGudkova,0.248679965
12498,129,137,46,45,0,315,43,16,2,60,0.041086656,35,NewGudkova,0.248617063
12499,1139,84,33,188,20,303,49,122,22,-158,0.041095403,35,NewGudkova,0.248453883
12500,1304,94,38,195,12,300,48,128,14,-158,0.041111277,35,NewGudkova,0.248157777
12501,538,197,25,93,27,324,50,86,76,-118,0.041220293,35,NewGudkova,0.246124253
12502,2012,167,39,64,15,317,46,322,16,-12,0.041257575,35,NewGudkova,0.245428805
12503,1147,75,29,177,20,296,52,122,24,-148,0.041293208,35,NewGudkova,0.244764124
12504,978,79,32,184,22,301,48,118,24,-158,0.041298018,35,NewGudkova,0.244674397
12505,121,91,37,192,13,299,49,14,84,-76,0.041373623,35,NewGudkova,0.243264088
12506,2432,217,6,123,28,319,60,336,46,-48,0.041425688,35,NewGudkova,0.242292892
12507,2215,165,42,62,13,318,44,328,14,-4,0.041446449,35,NewGudkova,0.241905621
12508,2232,181,35,75,21,320,46,328,22,-16,0.0414792,35,NewGudkova,0.241294706
12509,2122,148,45,49,7,312,43,326,8,6,0.041481911,35,NewGudkova,0.241244125
12510,1958,172,37,70,15,323,48,320,16,-20,0.041525852,35,NewGudkova,0.240424472
12511,1221,122,44,213,1,306,45,126,2,-178,0.04158428,35,NewGudkova,0.239334572
12512,2296,195,27,91,24,326,51,330,28,-28,0.041588846,35,NewGudkova,0.239249405
12513,2392,208,16,108,29,324,55,334,38,-38,0.041589238,35,NewGudkova,0.2392421
12514,2435,213,8,118,32,317,56,336,46,-42,0.041603292,35,NewGudkova,0.238979927
12515,981,76,30,181,23,302,49,118,26,-156,0.041608097,35,NewGudkova,0.238890301
12516,881,53,10,149,27,304,59,114,42,-134,0.041631505,35,NewGudkova,0.238453666
12517,2356,202,20,99,29,321,52,332,36,-32,0.041753889,35,NewGudkova,0.236170766
12518,1946,153,43,54,9,313,44,320,10,-4,0.041790422,35,NewGudkova,0.235489291
12519,2034,146,44,51,3,318,44,324,4,2,0.041915846,35,NewGudkova,0.233149673
12520,1960,169,38,66,15,319,47,320,16,-16,0.041956534,35,NewGudkova,0.232390697
12521,1801,135,44,44,1,312,45,308,2,-6,0.041959425,35,NewGudkova,0.232336772
12522,914,68,24,171,27,302,51,116,32,-150,0.041980009,35,NewGudkova,0.231952801
12523,2068,163,41,60,13,315,44,324,14,-6,0.04200082,35,NewGudkova,0.231564617
12524,2497,42,1,133,31,310,58,340,54,-50,0.042003454,35,NewGudkova,0.231515484
12525,1969,140,45,47,1,316,44,322,2,4,0.042043688,35,NewGudkova,0.230764971
12526,396,169,41,66,13,321,45,66,88,-104,0.042051414,35,NewGudkova,0.23062085
12527,993,66,23,168,23,297,55,118,30,-144,0.042113691,35,NewGudkova,0.229459156
12528,1012,116,44,209,3,303,44,120,4,-180,0.042138405,35,NewGudkova,0.228998148
12529,2093,184,31,79,21,321,49,324,24,-24,0.042142802,35,NewGudkova,0.228916127
12530,1092,116,44,209,3,304,44,122,4,-178,0.042179301,35,NewGudkova,0.2282353
12531,445,182,33,77,21,320,48,74,82,-112,0.042191265,35,NewGudkova,0.228012117
12532,2395,211,13,113,28,324,57,334,40,-42,0.042212218,35,NewGudkova,0.227621276
12533,1595,127,46,220,1,311,42,220,88,88,0.042215369,35,NewGudkova,0.227562506
12534,2211,159,43,57,11,316,43,328,12,0,0.04222129,35,NewGudkova,0.227452044
12535,2340,154,45,55,7,318,43,332,8,6,0.042236706,35,NewGudkova,0.227164482
12536,2300,198,25,95,25,327,53,330,30,-32,0.0422428,35,NewGudkova,0.227050806
12537,1846,147,43,52,5,315,45,314,6,-8,0.042293052,35,NewGudkova,0.226113439
12538,2541,50,8,145,28,305,59,344,60,-56,0.042310323,35,NewGudkova,0.225791271
12539,2574,141,46,47,3,314,42,348,4,30,0.042315735,35,NewGudkova,0.225690313
12540,1334,106,41,205,9,306,46,130,10,-166,0.042321792,35,NewGudkova,0.225577329
12541,464,181,34,78,17,326,49,76,82,-108,0.04234121,35,NewGudkova,0.225215116
12542,1823,133,44,41,1,310,44,312,2,0,0.042392218,35,NewGudkova,0.224263631
12543,1301,98,39,197,11,300,47,128,12,-160,0.042402443,35,NewGudkova,0.224072899
12544,1810,137,44,46,1,314,45,310,2,-6,0.042443934,35,NewGudkova,0.223298948
12545,13,72,27,174,21,296,53,0,76,-68,0.0424446,35,NewGudkova,0.223286524
12546,1990,147,44,49,7,312,44,322,8,2,0.042504665,35,NewGudkova,0.222166086
12547,2021,177,35,73,18,320,48,322,20,-20,0.04254988,35,NewGudkova,0.221322674
12548,491,189,29,85,23,322,51,80,78,-114,0.042561745,35,NewGudkova,0.221101334
12549,144,136,46,45,0,315,43,18,2,62,0.04256514,35,NewGudkova,0.221038016
12550,2225,181,36,77,18,324,47,328,20,-18,0.042652631,35,NewGudkova,0.21940599
12551,874,57,15,155,27,300,58,114,38,-138,0.042665551,35,NewGudkova,0.219164989
12552,802,47,4,139,28,309,61,110,48,-130,0.042678653,35,NewGudkova,0.218920589
12553,945,115,44,210,3,303,44,118,4,178,0.042714598,35,NewGudkova,0.218250075
12554,2532,137,46,43,3,310,42,344,4,30,0.042749316,35,NewGudkova,0.217602461
12555,2242,195,26,93,23,327,53,328,28,-32,0.042789807,35,NewGudkova,0.216847164
12556,2207,154,44,53,9,314,43,328,10,4,0.042799361,35,NewGudkova,0.216668957
12557,2069,175,38,72,15,325,47,324,16,-18,0.042813209,35,NewGudkova,0.21641063
12558,1165,116,44,209,3,304,45,124,4,-176,0.042836521,35,NewGudkova,0.215975779
12559,864,109,44,208,7,305,43,114,8,176,0.042853862,35,NewGudkova,0.215652306
12560,1866,149,43,54,5,317,45,316,6,-8,0.042888292,35,NewGudkova,0.215010071
12561,599,122,45,214,1,305,43,94,2,150,0.042893841,35,NewGudkova,0.214906555
12562,1750,127,45,37,0,308,45,290,0,-18,0.042898545,35,NewGudkova,0.214818805
12563,845,128,45,37,0,308,45,114,0,166,0.042898545,35,NewGudkova,0.214818805
12564,544,128,45,38,0,308,45,88,0,140,0.042898545,35,NewGudkova,0.214818805
12565,2322,127,45,38,0,308,45,332,0,24,0.042898545,35,NewGudkova,0.214818805
12566,1336,103,41,201,9,302,47,130,10,-162,0.042981687,35,NewGudkova,0.21326792
12567,2347,199,24,96,27,325,51,332,32,-30,0.043089616,35,NewGudkova,0.21125464
12568,766,46,4,139,29,308,59,108,48,-132,0.043092853,35,NewGudkova,0.211194266
12569,573,199,22,98,24,326,55,90,72,-116,0.043118607,35,NewGudkova,0.210713854
12570,957,108,44,208,10,307,44,118,10,-180,0.043120444,35,NewGudkova,0.210679588
12571,1261,90,36,192,16,303,48,126,18,-158,0.043123707,35,NewGudkova,0.210618727
12572,2084,176,36,70,19,319,46,324,20,-16,0.043146793,35,NewGudkova,0.210188099
12573,2455,145,46,49,5,314,42,338,6,18,0.043236718,35,NewGudkova,0.208510673
12574,955,113,44,212,7,309,43,118,8,176,0.043252103,35,NewGudkova,0.20822368
12575,2536,50,7,144,28,307,60,344,58,-56,0.043255072,35,NewGudkova,0.208168305
12576,1974,145,44,52,4,318,44,322,4,0,0.043263646,35,NewGudkova,0.20800836
12577,420,174,37,71,15,322,48,70,84,-106,0.043265489,35,NewGudkova,0.207973984
12578,568,203,18,102,29,320,53,90,70,-122,0.043284016,35,NewGudkova,0.207628388
12579,976,81,34,186,20,301,48,118,22,-160,0.043293748,35,NewGudkova,0.207446857
12580,180,98,41,201,13,306,45,22,88,-76,0.04330812,35,NewGudkova,0.20717877
12581,2491,44,0,134,29,313,60,340,52,-52,0.043323614,35,NewGudkova,0.206889739
12582,554,200,23,97,28,323,51,88,74,-120,0.043341181,35,NewGudkova,0.206562054
12583,1277,124,44,217,4,311,44,128,4,-180,0.043350142,35,NewGudkova,0.206394895
12584,913,67,25,170,25,298,53,116,30,-148,0.043364772,35,NewGudkova,0.206121999
12585,2539,46,4,140,33,309,56,344,58,-50,0.043392406,35,NewGudkova,0.205606521
12586,1378,118,44,211,3,305,45,134,4,-168,0.04339954,35,NewGudkova,0.205473445
12587,799,48,6,142,28,306,60,110,46,-132,0.043399756,35,NewGudkova,0.205469429
12588,1065,75,30,177,20,296,52,120,24,-150,0.043423379,35,NewGudkova,0.205028764
12589,2294,189,31,84,23,323,48,330,26,-22,0.043423481,35,NewGudkova,0.20502686
12590,107,85,34,189,19,303,49,12,82,-70,0.043443615,35,NewGudkova,0.204651286
12591,380,168,40,64,15,318,44,64,88,-106,0.043449721,35,NewGudkova,0.204537399
12592,2581,56,13,153,26,301,59,348,64,-60,0.043490086,35,NewGudkova,0.203784443
12593,2424,143,46,47,5,312,42,336,6,18,0.043508085,35,NewGudkova,0.203448701
12594,1236,114,43,211,7,310,44,126,8,-176,0.043585283,35,NewGudkova,0.202008673
12595,980,76,31,179,21,298,50,118,24,-154,0.043614111,35,NewGudkova,0.201470935
12596,1194,92,38,193,13,298,48,124,14,-160,0.043671498,35,NewGudkova,0.200400454
12597,2149,182,35,79,18,326,49,326,20,-22,0.043707669,35,NewGudkova,0.199725747
12598,772,223,0,133,29,314,60,108,52,-128,0.043725953,35,NewGudkova,0.199384682
12599,841,50,6,144,28,308,60,112,46,-132,0.043742091,35,NewGudkova,0.199083639
12600,669,212,11,116,27,322,59,100,62,-122,0.04379461,35,NewGudkova,0.198103976
12601,896,115,45,210,3,303,44,116,4,176,0.043880328,35,NewGudkova,0.196505023
12602,911,70,26,174,26,302,51,116,30,-152,0.043920814,35,NewGudkova,0.195749826
12603,705,118,46,212,3,305,43,104,4,162,0.043971548,35,NewGudkova,0.194803441
12604,1609,134,46,224,0,314,43,224,88,90,0.044030179,35,NewGudkova,0.193709763
12605,280,133,46,44,0,314,43,44,2,90,0.044030179,35,NewGudkova,0.193709763
12606,1048,90,38,195,17,304,46,120,18,-166,0.044058715,35,NewGudkova,0.193177468
12607,1395,120,44,213,3,307,45,136,4,-168,0.044078834,35,NewGudkova,0.192802176
12608,2362,210,13,113,27,323,59,332,40,-44,0.044118419,35,NewGudkova,0.19206377
12609,2308,196,25,92,27,321,50,330,32,-28,0.044134324,35,NewGudkova,0.19176709
12610,583,122,46,214,1,305,43,92,2,148,0.044160684,35,NewGudkova,0.191275374
12611,2376,145,45,51,3,318,44,334,4,12,0.044181597,35,NewGudkova,0.190885282
12612,2008,174,37,72,15,325,48,322,16,-20,0.044243945,35,NewGudkova,0.189722263
12613,1316,122,44,213,1,305,45,130,2,-174,0.044303168,35,NewGudkova,0.188617549
12614,43,77,30,179,19,297,52,4,78,-70,0.044303557,35,NewGudkova,0.188610276
12615,2556,50,5,143,31,311,57,346,58,-52,0.044305709,35,NewGudkova,0.188570144
12616,961,102,42,203,11,305,44,118,12,-176,0.044311051,35,NewGudkova,0.188470494
12617,495,186,32,83,19,327,51,80,80,-110,0.044315836,35,NewGudkova,0.188381242
12618,863,111,45,210,7,307,43,114,8,174,0.044381226,35,NewGudkova,0.187161475
12619,1812,133,44,42,1,309,45,310,2,-2,0.044400286,35,NewGudkova,0.186805943
12620,861,111,45,208,5,303,44,114,6,176,0.044412966,35,NewGudkova,0.186569406
12621,2535,45,2,137,33,312,56,344,56,-48,0.044424377,35,NewGudkova,0.186356566
12622,1445,134,45,44,0,314,45,150,0,-164,0.044425646,35,NewGudkova,0.186332884
12623,842,133,45,44,0,314,45,114,0,160,0.044425646,35,NewGudkova,0.186332884
12624,2097,133,45,43,0,313,45,326,0,12,0.044425646,35,NewGudkova,0.186332884
12625,2257,133,45,43,0,314,45,330,0,16,0.044425646,35,NewGudkova,0.186332884
12626,788,117,46,214,5,309,43,110,6,166,0.04444474,35,NewGudkova,0.185976723
12627,2123,161,43,62,9,321,45,326,10,-6,0.044487817,35,NewGudkova,0.185173178
12628,2164,183,33,77,22,320,48,326,24,-20,0.044494401,35,NewGudkova,0.185050362
12629,715,218,6,125,29,319,59,104,58,-126,0.044504611,35,NewGudkova,0.184859907
12630,2636,64,20,164,24,298,57,354,70,-64,0.044549826,35,NewGudkova,0.184016491
12631,604,206,15,108,28,321,56,94,66,-122,0.044646981,35,NewGudkova,0.182204198
12632,1827,139,44,46,3,311,45,312,4,-4,0.044658855,35,NewGudkova,0.181982697
12633,867,63,21,164,27,300,53,114,34,-146,0.04468819,35,NewGudkova,0.181435501
12634,288,133,46,224,0,314,43,46,2,92,0.04469969,35,NewGudkova,0.181220978
12635,1390,128,44,219,1,311,45,136,2,-174,0.044702775,35,NewGudkova,0.181163442
12636,353,163,41,60,13,315,45,60,88,-104,0.044755083,35,NewGudkova,0.180187706
12637,477,184,32,81,19,325,51,78,80,-110,0.044759641,35,NewGudkova,0.180102675
12638,1869,143,44,48,5,312,44,316,6,-2,0.044766837,35,NewGudkova,0.179968444
12639,1114,104,42,205,11,308,44,122,12,-174,0.044779005,35,NewGudkova,0.179741478
12640,917,64,22,165,25,298,55,116,32,-144,0.044837024,35,NewGudkova,0.178659205
12641,2007,162,41,60,13,315,45,322,14,-8,0.044855329,35,NewGudkova,0.178317749
12642,1883,139,44,47,1,316,44,318,2,0,0.044856758,35,NewGudkova,0.178291092
12643,1205,85,35,186,16,297,50,124,18,-154,0.04486795,35,NewGudkova,0.178082326
12644,2224,173,39,68,17,319,45,328,18,-10,0.044878801,35,NewGudkova,0.17787991
12645,2246,190,29,84,25,321,49,328,28,-24,0.044936003,35,NewGudkova,0.176812895
12646,26,74,27,176,21,298,53,2,76,-68,0.0449516,35,NewGudkova,0.176521946
12647,535,198,23,95,28,321,51,86,74,-120,0.044966174,35,NewGudkova,0.176250095
12648,2175,195,24,93,24,324,54,326,30,-34,0.044980234,35,NewGudkova,0.175987834
12649,1359,112,43,207,5,304,46,132,6,-166,0.045041176,35,NewGudkova,0.174851038
12650,906,106,44,205,10,305,44,116,10,-180,0.04509362,35,NewGudkova,0.173872768
12651,1185,104,42,205,11,308,45,124,12,-172,0.04513739,35,NewGudkova,0.173056301
12652,1925,145,44,52,3,317,44,320,4,-2,0.045144805,35,NewGudkova,0.172917977
12653,1382,114,43,209,5,306,46,134,6,-166,0.045148342,35,NewGudkova,0.172852013
12654,1873,149,43,52,7,313,45,316,8,-6,0.045170383,35,NewGudkova,0.172440864
12655,2293,191,30,86,23,325,49,330,26,-24,0.045178825,35,NewGudkova,0.17228339
12656,1909,164,40,64,11,321,47,318,12,-16,0.045250986,35,NewGudkova,0.170937329
12657,2138,163,42,60,13,316,44,326,14,-4,0.045286525,35,NewGudkova,0.170274406
2139,1236,104,44,199,5,296,45,114,6,-176,0.04530784,35,NewGudkova,0.169876798
2140,408,173,29,70,21,310,52,66,78,-112,0.045322129,35,NewGudkova,0.169610249
2141,2222,165,35,59,21,304,46,312,22,-16,0.045333271,35,NewGudkova,0.169402414
2142,2213,157,39,52,17,303,45,312,18,-10,0.045356633,35,NewGudkova,0.168966629
12658,1021,119,45,216,5,311,44,120,6,174,0.0453686,35,NewGudkova,0.168743403
12659,1256,92,38,193,12,298,48,126,14,-158,0.045369831,35,NewGudkova,0.168720443
12660,1184,100,41,199,9,300,46,124,10,-166,0.045370303,35,NewGudkova,0.168711645
2143,2367,184,22,80,28,306,51,316,34,-30,0.04538789,35,NewGudkova,0.168383569
12661,2512,222,1,131,33,315,56,342,52,-46,0.045403411,35,NewGudkova,0.168094056
