,Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod,Normalized
12136,921,62,20,162,26,299,56,116,34,-142,0.029360962,35,NewGudkova,0.467343409
12137,587,205,18,104,29,322,53,92,70,-122,0.029362593,35,NewGudkova,0.467312985
12138,1896,145,44,50,5,314,44,318,6,-2,0.029406113,35,NewGudkova,0.466501171
12139,2062,159,42,58,11,316,44,324,12,-4,0.029419564,35,NewGudkova,0.466250264
12140,1055,83,35,186,18,299,49,120,20,-158,0.029441453,35,NewGudkova,0.465841962
12141,2363,209,13,111,28,322,57,332,40,-42,0.029487461,35,NewGudkova,0.464983751
12142,382,165,41,64,11,321,45,64,88,-102,0.029501174,35,NewGudkova,0.46472794
12143,1168,118,44,213,6,309,44,124,6,-180,0.029588396,35,NewGudkova,0.463100946
12144,835,53,11,149,28,303,58,112,42,-136,0.029595479,35,NewGudkova,0.462968818
12145,11,70,24,172,24,301,53,0,74,-64,0.029603964,35,NewGudkova,0.462810543
12146,1901,151,43,54,7,315,45,318,8,-6,0.029653775,35,NewGudkova,0.461881394
12147,999,64,20,164,26,301,56,118,34,-142,0.029665372,35,NewGudkova,0.461665055
12148,394,168,39,66,13,321,47,66,86,-104,0.029774731,35,NewGudkova,0.459625133
12149,1980,149,44,54,5,318,44,322,6,-2,0.029777333,35,NewGudkova,0.459576587
12150,1220,124,44,215,1,307,44,126,2,-180,0.029787125,35,NewGudkova,0.459393937
12151,2384,146,46,49,5,314,43,334,6,14,0.029863491,35,NewGudkova,0.457969423
12152,1099,112,44,207,5,304,45,122,6,-176,0.029916679,35,NewGudkova,0.456977291
12153,76,81,32,184,19,300,51,8,80,-70,0.029964824,35,NewGudkova,0.456079205
12154,1258,93,37,195,15,302,48,126,16,-160,0.03005433,35,NewGudkova,0.454409603
12155,2193,150,45,53,5,318,44,328,6,4,0.030109244,35,NewGudkova,0.453385254
12156,2206,155,44,55,9,316,43,328,10,2,0.030192422,35,NewGudkova,0.451833685
12157,1885,136,45,43,1,312,44,318,2,4,0.030193197,35,NewGudkova,0.451819226
12158,2399,212,11,116,28,322,58,334,42,-44,0.030286256,35,NewGudkova,0.450083343
12159,2236,185,33,79,22,322,48,328,24,-20,0.030346837,35,NewGudkova,0.448953288
12160,2155,185,33,81,20,326,49,326,22,-24,0.0303913,35,NewGudkova,0.448123887
12161,2172,192,27,89,23,324,52,326,28,-30,0.030397875,35,NewGudkova,0.448001245
12162,769,45,2,136,29,311,60,108,50,-130,0.030399613,35,NewGudkova,0.447968833
12163,1278,122,44,215,3,310,44,128,4,-178,0.030410387,35,NewGudkova,0.447767847
12164,990,70,25,174,25,302,52,118,30,-150,0.030427974,35,NewGudkova,0.447439785
12165,898,117,45,214,5,309,43,116,6,172,0.030554743,35,NewGudkova,0.445075105
12166,162,97,39,199,13,304,47,20,86,-76,0.030559493,35,NewGudkova,0.444986495
12167,151,93,38,196,15,304,46,18,86,-74,0.030573683,35,NewGudkova,0.444721788
12168,983,73,29,177,22,299,51,118,26,-152,0.030607554,35,NewGudkova,0.444089987
12169,1196,94,38,197,15,304,47,124,16,-164,0.030705095,35,NewGudkova,0.44227049
12170,2231,182,35,77,20,322,47,328,22,-18,0.030740194,35,NewGudkova,0.441615777
